WATERSHED,SAMPLE_DATE,SITE_NAME,SITE_TYPE,MEDIUM,PARAM_TYPE,PARAMETER,RESULT,UNIT,FILTER,SAMPLE_ID,SAMPLE_SITE_NO,METHOD,QC_FLAG,PROJECT,Location,DATA_REF_NO,LAT_DD_WGS84,LON_DD_WGS84,SAMPLE_REF_NO,TIME_NULL,QC_TYPE
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050263,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050264,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050265,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050266,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050267,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050268,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050269,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050271,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050272,,,432458,false,
Bull Creek,06/20/2013 09:01:00 AM,ISMP Upper Bull Creek 140,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,8561--Groundcover,8561,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050273,,,432458,false,
Bull Creek,06/20/2013 11:57:00 AM,ISMP Upper Bull Creek 124,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,15,(%) Percent,Total,8545--Groundcover,8545,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050274,,,432441,false,
Bull Creek,06/20/2013 11:57:00 AM,ISMP Upper Bull Creek 124,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,5,(%) Percent,Total,8545--Groundcover,8545,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050275,,,432441,false,
Bull Creek,06/20/2013 11:57:00 AM,ISMP Upper Bull Creek 124,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,40,(%) Percent,Total,8545--Groundcover,8545,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050276,,,432441,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,5940--Canopy,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050277,,,432436,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,100,(%) Percent,Total,5940--Canopy,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050278,,,432436,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,0,Count,Total,5940--Canopy,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050279,,,432436,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050280,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050281,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050282,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050283,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050284,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050285,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050286,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050287,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050288,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050289,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050290,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050291,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050292,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050293,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,27.5,(%) Percent,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050294,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,4,Count,Total,5940--Understory,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050295,,,432459,false,
South Brushy Creek,06/21/2013 08:48:00 AM,ISMP Brushy Creek 13,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP HABITAT TYPE (1=Wooded;2=Open;3=Edge;4=Incompatible),1,None,Total,5940--Groundcover,5940,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050296,,,432460,false,
Little Walnut Creek,05/25/2004 01:00:00 PM,Little Walnut Creek Upstream of Mearns Meadow,Stream,Benthic Macroinvertebrate,Benthic Macroinvertebrates,FALLCEON,20,Count,Total,LWT-R1,3537,SURBER,U,PAH Biological Effects Study,"(30.36889899, -97.7028113)",1095461,30.36889899,-97.7028113,258658,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050298,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050299,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,10,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050300,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050301,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050302,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050303,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050304,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050305,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050306,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050307,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050308,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,91,(%) Percent,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050309,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,1,Count,Total,5955--Understory,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050310,,,432461,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP HABITAT TYPE (1=Wooded;2=Open;3=Edge;4=Incompatible),2,None,Total,5955--Groundcover,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050311,,,432462,false,
Little Walnut Creek,05/25/2004 01:00:00 PM,Little Walnut Creek Upstream of Mearns Meadow,Stream,Benthic Macroinvertebrate,Benthic Macroinvertebrates,HYDROPTILA,2,Count,Total,LWT-R1,3537,SURBER,U,PAH Biological Effects Study,"(30.36889899, -97.7028113)",1095462,30.36889899,-97.7028113,258658,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,5955--Groundcover,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050313,,,432462,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,5955--Groundcover,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050314,,,432462,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,5955--Groundcover,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050315,,,432462,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,5955--Groundcover,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050316,,,432462,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,5955--Groundcover,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050317,,,432462,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,5955--Groundcover,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050318,,,432462,false,
South Brushy Creek,06/21/2013 09:39:00 AM,ISMP Brushy Creek 28,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,5955--Groundcover,5955,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050319,,,432462,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050320,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050321,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050322,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050323,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050324,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050325,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050326,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050327,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050328,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050329,,,432457,false,
Bull Creek,06/20/2013 10:16:00 AM,ISMP Tanglewood 24,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,8421--Understory,8421,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050330,,,432457,false,
South Brushy Creek,06/20/2013 09:15:00 AM,ISMP Brushy Creek 42,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,5969--Groundcover,5969,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050331,,,432440,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050332,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,SOHA SORGHUM HALEPENSE,1,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050333,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,AIAL AILANTHUS ALTISSIMA,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050334,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,BRPA4 BROUSSONETIA PAPYRIFERA,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050335,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,FISI2 FIRMIANA SIMPLEX,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050336,,,432552,false,
Not Applicable,06/09/2004 12:00:00 PM,Paveshield Pavement Sealer,Non-spatial or Protected Location,Pavement Sealer,Metals,SILVER,3.87,MG/KG,Total,3195 Paveshield Dry 72,3195,EPA 6020,U,Asphalt Pavement Study,,1154960,,,248791,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,MAUN3 MACFADYENA UNGUIS-CATI,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050337,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,NADO NANDINA DOMESTICA,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050338,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,TRSE6 TRIADICA SEBIFERA,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050339,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LOJA LONICERA JAPONICA,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050340,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Habitat Evaluation,ISMP OTHER INVASIVE SPECIES,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050341,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NO VEGETATIVE COVER,1,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050342,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Habitat Evaluation,NATIVE SPECIES,9,Count,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050343,,,432552,false,
South Brushy Creek,06/21/2013 09:27:00 AM,ISMP Brushy Creek 19,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,5946--Understory,5946,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050344,,,432557,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050345,,,432552,false,
South Brushy Creek,06/21/2013 10:01:00 AM,ISMP Brushy Creek 26,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,5953--Groundcover,5953,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050346,,,432552,false,
South Brushy Creek,06/21/2013 10:11:00 AM,ISMP Brushy Creek 69,Non-spatial or Protected Location,Habitat,Riparian Vegetation,ARDO4 ARUNDO DONAX,0,(%) Percent,Total,5996--Canopy,5996,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050347,,,432558,false,
South Brushy Creek,06/21/2013 10:11:00 AM,ISMP Brushy Creek 69,Non-spatial or Protected Location,Habitat,Riparian Vegetation,LIGUS2 LIGUSTRUM,0,(%) Percent,Total,5996--Canopy,5996,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050348,,,432558,false,
South Brushy Creek,06/21/2013 10:11:00 AM,ISMP Brushy Creek 69,Non-spatial or Protected Location,Habitat,Riparian Tree - Small,LISI LIGUSTRUM SINENSE,0,(%) Percent,Total,5996--Canopy,5996,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050349,,,432558,false,
South Brushy Creek,06/21/2013 10:11:00 AM,ISMP Brushy Creek 69,Non-spatial or Protected Location,Habitat,Riparian Tree - Large,MEAZ MELIA AZEDARACH,0,(%) Percent,Total,5996--Canopy,5996,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050350,,,432558,false,
South Brushy Creek,06/21/2013 10:11:00 AM,ISMP Brushy Creek 69,Non-spatial or Protected Location,Habitat,Riparian Vegetation,PHAU8 PHYLLOSTACHYS AUREA,0,(%) Percent,Total,5996--Canopy,5996,Alex Duncan Invasive Assessment Method,U,Austin Invasives Management Project,,2050351,,,432558,false,
