INTERSECTIONID,ONST,CRST,QUAD,INSPECTOR,DATE,EVNT_LAT,EVNT_LON,EVNT_MAP,EVNT_TYPE,PED_SIGNAL_PRES,CPL_SIZE,CPL_FORCE,CPL_OP,CPL_CTRST,CPL_VIS,CPL_AUD,CMNT_1,CPL_LDG,CPL_PROX,CPL_PLACE,CPL_SEP,CPL_HGT,CPL_CW_1,CPL_CW_2,CMNT_2,OA_CMNT,Mapped Location
3827,Harding Place,I-24 Ramp,Southwest,Greg Roddy,04/10/2019 12:00:00 AM,36.086262,-86.698799,13414,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,false,false,true,true,36,8,12,The push button is only 36” high and does not have a landing.,The push button is only 36” high and does not have a landing. The Ped signal light is in good working condition.,POINT (-86.698799 36.086262)
2805,N 7th st,Main st,Northeast,Chase Clark,04/25/2019 12:00:00 AM,36.174679,-86.76091,82161,PED_SIGNAL,true,true,true,true,true,true,true,Chrome arrow black housing,true,true,true,true,42,6,12,,Push button and pedestrian signals working properly,POINT (-86.76091 36.174679)
4762,Lone Oak Rd,Richard Jones Rd,Southwest,Greg Roddy,04/18/2019 12:00:00 AM,36.104313,-86.809036,11715,PED_SIGNAL,true,true,true,true,true,true,true,The push button is chrome with a black housing.,true,true,true,true,42,5,8,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.809036 36.104313)
3088,Central pike,Central pike,Southwest,Chase Clark,04/23/2019 12:00:00 AM,36.174,-86.605286,86151,NA,false,,,,,,,,,,,,,,,,No push button or pedestrian signals working properly,POINT (-86.605286 36.174)
4722,Copprfield Way,Old Hickory Blvd,Northwest,Greg Roddy,04/15/2019 12:00:00 AM,36.041798,-86.748734,16113,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,true,42,7,4,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.748734 36.041798)
3470,Gallatin Pike,Hart Lane,Southeast,Jeff Pedine,04/24/2019 12:00:00 AM,36.211468,-86.732468,7202,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.732468 36.211468)
4473,Murfreesboro Pike,Ransom Place,Southwest,Greg Roddy,04/11/2019 12:00:00 AM,36.088936,-86.650154,13510,PED_SIGNAL,true,true,true,true,true,true,true,The push button is silver with a yellow housing and a black arrow.,true,true,true,false,42,9,11,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.650154 36.088936)
4514,Idlewild Avenue,Neelys Bend Road,Northwest,Jeff Pedine,04/05/2019 12:00:00 AM,36.255775,-86.707367,5201,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,44,10,2,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.707367 36.255775)
3010,Brick Church Pike,Ewing Drive,Northwest,Jeff Pedine,04/25/2019 12:00:00 AM,36.231712,-86.781662,6002,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,41,8,7,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.781662 36.231712)
3174,Cloverland Dr,Jones Pkwy,Southeast,Greg Roddy,04/12/2019 12:00:00 AM,36.032444,-86.768417,17103,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.768417 36.032444)
3500,Burchwood Avenue,Gallatin Pike,Southeast,Jeff Pedine,04/23/2019 12:00:00 AM,36.200863,-86.739914,7210,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,false,true,41,2,12,The push button is close to the curb line (2’).,The push button is close to the curb line (2’).,POINT (-86.739914 36.200863)
2805,N 7th st,Main st,Southwest,Chase Clark,04/25/2019 12:00:00 AM,36.174419,-86.760948,82161,PED_SIGNAL,true,true,true,true,true,true,true,Chrome arrow black housing,true,true,true,true,42,6,12,,"No push button, pedestrian signals present",POINT (-86.760948 36.174419)
2941,Glen Echo Rd,Belmont Blvd,Northwest,Greg Roddy,04/18/2019 12:00:00 AM,36.107403,-86.800713,11716,PED_SIGNAL,true,true,true,true,true,true,true,The push button is chrome with a yellow housing.,true,true,true,true,43,9,9,The push button is 43” high from the landing.,The push button is 43” high from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.800713 36.107403)
4560,Nolensville pk,Elysian Fields rd,Northwest,Jacob Locey,04/17/2019 12:00:00 AM,36.086929,-86.730484,13315,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational.,POINT (-86.730484 36.086929)
4520,Shell gas station driveway,Nolensville pk,Southwest,Jacob Locey,04/17/2019 12:00:00 AM,36.095638,-86.737518,13306,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing. Pole next to push button , see photographs for further information.",true,true,false,true,49,2.3,8,Section of sidewalk used as the landing. Curb is not layed down. Curb to push button is about 28”.,Push button and pedestrian signal are operational.,POINT (-86.737518 36.095638)
3580,Emmitt Avenue,Gallatin Pike S,Southwest,Jeff Pedine,04/11/2019 12:00:00 AM,36.253304,-86.716942,5104,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,41,4,11,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.716942 36.253304)
2918,Brookview Estates Dr,Bell Road,Northwest,Greg Roddy,04/09/2019 12:00:00 AM,36.044106,-86.693298,16210,PED_SIGNAL,true,true,true,true,true,true,true,The push button is chrome with a yellow housing.,true,true,true,true,42,9,8,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.693298 36.044106)
4239,Disspayne Dr,Lebanon pike,Southwest,Chase Clark,04/17/2019 12:00:00 AM,36.172432,-86.649422,85153,PED_SIGNAL,true,true,true,true,true,true,true,Works properly,false,false,false,true,42,,,No curb line or landing. Push button mounted at edge of parking on Lebanon pike 20 ft from crosswalk,No Landing or curbline. Push button working properly,POINT (-86.649422 36.172432)
2712,Delaware Ave,51st Ave N,Northwest,Greg Roddy,04/24/2019 12:00:00 AM,36.154415,-86.848915,9111,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,true,true,36,7,8,The push button is only 36” high from the landing.,The push button is only 36” high from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.848915 36.154415)
4693,Douglas Street,Old Hickory Boulevard,Northeast,Jeff Pedine,04/10/2019 12:00:00 AM,36.26347,-86.714447,4216,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,false,true,35,2,25,The push button shows low height (35”) and is close to the curb line (2’).,The push button shows low height (35”) and is close to the curb line (2’).,POINT (-86.714447 36.26347)
2927,Zelida Ave,Bell Road,Southwest,Greg Roddy,04/05/2019 12:00:00 AM,36.055054,-86.642647,16307,PED_SIGNAL,true,true,true,true,true,true,true,The push button is silver with a yellow housing and a black arrow.,true,true,true,false,42,12,12,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.642647 36.055054)
3320,Lakeland,Donaldson,Southwest,Chase Clark,04/18/2019 12:00:00 AM,,,96094,NA,false,,,,,,,,,,,,,,,,"No pedestrian signals or push button, looks like one is being installed",
4120,Hillsboro Pk,Richard Jones Rd,Southeast,Greg Roddy,04/17/2019 12:00:00 AM,36.104717,-86.814369,11714,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,true,true,42,5,9,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.814369 36.104717)
4431,Lester ave,Murfreesboro pk,Southeast,Jacob Locey,04/24/2019 12:00:00 AM,36.145397,-86.752464,10504,PED_SIGNAL,true,true,true,true,true,true,true,"Black arrow, chrome button, with yellow housing.",true,true,true,false,42,11,11,Two push buttons are located on one pole.,Push button is operational. Pedestrian signal does not change from don’t walk.,POINT (-86.752464 36.145397)
4225,Andrew Jackson Parkway,Lebanon Pike,Southwest,Jeff Pedine,04/19/2019 12:00:00 AM,36.215012,-86.597862,6416,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,42,4,6,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.597862 36.215012)
4895,E Trinity Lane,Ellington Parkway,Northeast,Jeff Pedine,04/24/2019 12:00:00 AM,36.204788,-86.749565,7205,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.749565 36.204788)
4100,Hillsboro Pk,Hobbs Rd,Southwest,Greg Roddy,04/17/2019 12:00:00 AM,36.100933,-86.819061,13102,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.819061 36.100933)
4705,Old hickory blvd,Old hickory blvd,Northwest,Chase Clark,04/22/2019 12:00:00 AM,36.169685,-86.60125,97032,NA,false,,,,,,,,,,,,,,,,No push button or pedestrian signals,POINT (-86.60125 36.169685)
4105,Lombardy Ave,Hillsboro Pk,Northeast,Greg Roddy,04/19/2019 12:00:00 AM,36.120743,-86.80777,11703,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,false,true,true,38,7,2,The push button is only 38” high and 20” from the landing.,The push button is only 38” high and 20” from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.80777 36.120743)
4345,Mcgavock Pike,Briley Parkway,Southeast,Jeff Pedine,04/26/2019 12:00:00 AM,36.216576,-86.692108,6214,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.692108 36.216576)
4520,Nothing,Nolensville pk,Northeast,Jacob Locey,04/17/2019 12:00:00 AM,36.096153,-86.737526,13306,PED_SIGNAL,true,false,true,false,true,false,false,White button with yellow housing.,true,false,false,true,41,1.1,15,Landing is 7.5 feet away from push button.,Push button and pedestrian signal are operational.,POINT (-86.737526 36.096153)
2630,42nd Ave N,Charlotte Ave,Southeast,Greg Roddy,04/25/2019 12:00:00 AM,36.152344,-86.836914,116,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,false,true,47,1,10,The push button is 47” high and only 12” from the curb.,The push button is 47” high and only 12” from the curb. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.836914 36.152344)
4345,Mcgavock Pike,Briley Parkway,Southeast,Jeff Pedine,04/26/2019 12:00:00 AM,36.216431,-86.692261,6214,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.692261 36.216431)
2350,21st ave s,Blakemore ave,Southwest,Jacob Locey,04/25/2019 12:00:00 AM,36.13744,-86.800888,10408,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational.,POINT (-86.800888 36.13744)
4415,Nothing,Murfreesboro pk,Northeast,Jacob Locey,04/18/2019 12:00:00 AM,36.107868,-86.676605,12016,PED_SIGNAL,true,true,true,true,true,true,true,"Black arrow, chrome button, with yellow housing.",true,true,true,true,42,8,9.5,No issues observed.,Push button and pedestrian signal are operational.,POINT (-86.676605 36.107868)
4693,Douglas Street,Old Hickory Boulevard,Southeast,Jeff Pedine,04/10/2019 12:00:00 AM,36.263187,-86.714508,4216,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,false,32,1,25,The push button shows low height (32”) and is only separated from the adjacent button by 12”.,The push button shows low height (32”) and is only separated from the adjacent button by 12”.,POINT (-86.714508 36.263187)
4398,Nothing,Murfreesboro pk,Northeast,Jacob Locey,04/18/2019 12:00:00 AM,36.10923,-86.679924,12016,PED_SIGNAL,true,true,true,true,true,true,true,"Black arrow, chrome button, with yellow housing.",true,true,true,true,44,7,8,No sidewalk leading to landing. Landing is covered with debris.,Push button and pedestrian signal are operational.,POINT (-86.679924 36.10923)
2690,Alabama Ave,51st Ave N,Southeast,Greg Roddy,04/24/2019 12:00:00 AM,36.153008,-86.848495,9111,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,true,42,12,1,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.848495 36.153008)
4979,Brookwood Terr,White Bridge Pk,Northwest,Greg Roddy,04/23/2019 12:00:00 AM,36.129429,-86.854721,10314,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,true,42,12,12,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.854721 36.129429)
4140,Hillsboro Pk,Woodlawn Dr,Southwest,Greg Roddy,04/19/2019 12:00:00 AM,36.125267,-86.805771,11703,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.805771 36.125267)
4330,Donaldson,Munn rd,Northwest,Chase Clark,04/19/2019 12:00:00 AM,,,96021,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,false,45,12,14,,Push button and pedestrian signals working properly,
4060,Abbott Martin Rd,Hillsboro Pk,Northeast,Greg Roddy,04/18/2019 12:00:00 AM,36.105938,-86.813751,11714,PED_SIGNAL,true,true,true,true,true,true,true,The push button is chrome with a black housing.,true,true,true,false,50,10,4,The push button is 50” high from the landing.,The push button is 50” high from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.813751 36.105938)
4970,Mayfield Rd,West End Ave,Northeast,Greg Roddy,04/24/2019 12:00:00 AM,36.131561,-86.834251,10312,PED_SIGNAL,true,true,true,true,true,false,false,The push button is chrome with a yellow housing. There is no visual or audible indicators.,true,true,false,true,42,2,4,The push button is only 24” from the curb.,The push button is only 24” from the curb and does not have a visual or audible indicator. The Ped signal light is in good working condition.,POINT (-86.834251 36.131561)
3835,Harding place,Jonquil dr,Northwest,Jacob Locey,04/16/2019 12:00:00 AM,36.08046,-86.718048,14704,NA,false,,,,,,,No push button observed.,,,,,,,,,No push button observed. Pedestrian signal is operational.,POINT (-86.718048 36.08046)
3580,Gallatin Pike S,Emmitt Avenue,Southeast,Jeff Pedine,04/11/2019 12:00:00 AM,36.253113,-86.716637,5104,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.716637 36.253113)
2790,Woodland st,S 5th st,Northwest,Chase Clark,04/26/2019 12:00:00 AM,36.171852,-86.764923,82154,PED_SIGNAL,true,true,true,true,true,true,true,Chrome arrow black housing,true,true,true,true,42,9,12,,Push button and pedestrian signals working properly,POINT (-86.764923 36.171852)
2007,Kirkwood Ave,12th Ave S,Southeast,Greg Roddy,04/25/2019 12:00:00 AM,36.120739,-86.790443,11801,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,true,true,42,12,8,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.790443 36.120739)
3323,McCampbell,Donaldson,Southwest,Chase Clark,04/18/2019 12:00:00 AM,36.159077,-86.664795,96092,NA,false,,,,,,,,,,,,,,,,No pedestrian signals or push button,POINT (-86.664795 36.159077)
4453,Harding Place,Murfreesboro Pike,Northwest,Greg Roddy,04/11/2019 12:00:00 AM,36.098595,-86.659599,13506,PED_SIGNAL,true,true,true,true,true,false,false,"The push button is silver with a yellow housing and a black arrow. The push button, visual and audible indicators do not appear to work.",true,true,true,true,42,16,,,The push button is not working and the visual and audible indicators do not work. The ped signal light is not working.,POINT (-86.659599 36.098595)
3336,Spence lane,Elm hill pk,Northeast,Jacob Locey,04/19/2019 12:00:00 AM,36.14402,-86.722435,10603,PED_SIGNAL,true,false,true,false,true,false,false,"Black black, with yellow housing.",true,true,false,true,42,7,13,Push button is not parallel with crosswalk.,Push button has no audio or visual indicators. Pedestrian signal is operational.,POINT (-86.722435 36.14402)
4058,Warfield Dr,Hillsboro Cir,Southeast,Greg Roddy,04/17/2019 12:00:00 AM,36.103462,-86.819283,13102,PED_SIGNAL,true,true,true,true,true,true,true,The push button is chrome with a black housing.,true,false,true,true,42,6,3,The push button is 36” from the landing.,The push button is 36” from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.819283 36.103462)
2883,Cherokee Ct,Antioch Pike,West,Greg Roddy,04/09/2019 12:00:00 AM,36.080391,-86.685883,14803,PED_SIGNAL,true,false,false,false,false,false,false,"The push button is only 1/2”, does not have a visual or audible indicator and cannot be pushed with a fist.",true,true,true,false,36,10,8,The push button is only 36” high from the landing.,"The push button is only 1/2”, does not have a visual or audible indicator and cannot be pushed with a fist. The push button is only 36” high from the landing. The ped signal light is in good working condition.",POINT (-86.685883 36.080391)
3095,Charlotte Pk,Davidson Drive,Southwest,Greg Roddy,04/23/2019 12:00:00 AM,36.129375,-86.903412,10214,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.903412 36.129375)
1610,8th ave s,Bradford ave,Southeast,Jacob Locey,04/24/2019 12:00:00 AM,36.128559,-86.777748,10514,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational,POINT (-86.777748 36.128559)
3135,Annex Avenue,Unnamed,Southwest,Greg Roddy,04/22/2019 12:00:00 AM,36.140778,-86.883026,10208,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.883026 36.140778)
2868,Andrew Jackson Parkway,Unnamed,Northwest,Jeff Pedine,04/18/2019 12:00:00 AM,36.217304,-86.597794,6416,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.597794 36.217304)
4990,Belmont Blvd,Woodmont Blvd,Northwest,Greg Roddy,04/18/2019 12:00:00 AM,36.113197,-86.800095,11712,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,true,42,8,8,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.800095 36.113197)
2650,Charlotte Ave,46th Ave N,Northeast,Greg Roddy,04/24/2019 12:00:00 AM,36.152378,-86.842148,9116,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.842148 36.152378)
3844,Harding mall rd,Harding place,Northeast,Jacob Locey,04/16/2019 12:00:00 AM,36.080517,-86.72319,14703,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with yellow housing.",true,false,true,true,52,9,8.5,Push button is 17” away from landing.,Push button and pedestrian signal are operational.,POINT (-86.72319 36.080517)
4687,Eulala Dr,Old Hickory Blvd,Northeast,Greg Roddy,04/09/2019 12:00:00 AM,36.045555,-86.703453,16209,PED_SIGNAL,true,true,true,true,true,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,true,42,9,6,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.703453 36.045555)
2115,Wedgewood ave,15th ave s,Northeast,Jacob Locey,04/25/2019 12:00:00 AM,36.136147,-86.791847,10509,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational.,POINT (-86.791847 36.136147)
3510,Gallatin Pike,Carolyn Avenue,Northwest,Jeff Pedine,04/24/2019 12:00:00 AM,36.197128,-86.742134,7214,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.742134 36.197128)
3835,Recovery rd,Harding place,Southeast,Jacob Locey,04/16/2019 12:00:00 AM,36.080284,-86.717796,14704,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing.",true,false,true,true,43,8,8,Landing is 18” away from push button.,Push button and pedestrian signal are operational.,POINT (-86.717796 36.080284)
3169,Kings Lane,Clarksville Pike,Northwest,Jeff Pedine,04/22/2019 12:00:00 AM,36.218613,-86.837212,5816,PED_SIGNAL,true,false,true,false,true,false,false,The push button is small and has no visible or audible indicators.,true,true,true,true,38,23,0,,The push button is small and has no visible or audible indicators.,POINT (-86.837212 36.218613)
4070,Hillsboro Pk,Glen Echo Rd,Southeast,Greg Roddy,04/18/2019 12:00:00 AM,36.108566,-86.812096,11715,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.812096 36.108566)
3088,Central pike,Exit ramp,Northwest,Chase Clark,04/23/2019 12:00:00 AM,36.173954,-86.605484,86151,NA,false,,,,,,,,,,,,,,,,No push button or pedestrian signals,POINT (-86.605484 36.173954)
2870,Hillsboro Cir,Abbott Martin Rd,Southwest,Greg Roddy,04/17/2019 12:00:00 AM,36.1064,-86.819557,11714,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,true,false,42,9,12,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.819557 36.1064)
3035,Robertson Ave,Briley Parkway,Southwest,Greg Roddy,04/25/2019 12:00:00 AM,36.153751,-86.857681,1910,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a yellow housing and a chrome arrow.,true,true,true,true,42,6,5,The landing has sediment buildup.,The landing has sediment buildup. The push button and signal light are both in good working condition and free of any issues.,POINT (-86.857681 36.153751)
4979,White Bridge Pk,Brookwood Terr,Northeast,Greg Roddy,04/23/2019 12:00:00 AM,36.129707,-86.854584,10314,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.854584 36.129707)
3630,Gallatin Pike,Thomas Avenue,Southwest,Jeff Pedine,04/23/2019 12:00:00 AM,36.204975,-86.737717,7206,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.737717 36.204975)
4697,Old Hickory Boulevard,Heritage Drive,Northeast,Jeff Pedine,04/10/2019 12:00:00 AM,36.264263,-86.72406,4211,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.72406 36.264263)
3845,Harding Place,S. Perimeter Park Dr,Southwest,Greg Roddy,04/10/2019 12:00:00 AM,36.086739,-86.696007,13414,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow.,true,true,true,false,45,8,10,The push button is 45” high from the landing.,The push button is 45” high from the landing. The signage is not legible. The ped signal light is in good working condition.,POINT (-86.696007 36.086739)
2927,Bell Road,Zelida Ave,Northwest,Greg Roddy,04/05/2019 12:00:00 AM,36.055168,-86.642471,16307,PED_SIGNAL,true,true,true,true,true,true,true,The push button is chrome with a yellow housing and a black arrow.,true,false,true,false,42,12,12,The push button is 12” from the landing.,The push button is 12” from the landing. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.642471 36.055168)
4835,Foster ave,Thompson lane,Northwest,Jacob Locey,04/18/2019 12:00:00 AM,36.110947,-86.743065,11909,PED_SIGNAL,true,true,true,true,true,true,true,"Chrome arrow, black button, with black housing.",true,true,true,true,42,7,9.5,No issues observed.,Push button and pedestrian signal are operational.,POINT (-86.743065 36.110947)
3326,Royal pkwy,Donelson pk,Southwest,Jacob Locey,04/19/2019 12:00:00 AM,36.145908,-86.66671,10801,PED_SIGNAL,true,true,true,true,true,false,false,Unknown if button is working due to audio and visual indicators not working. Chrome arrow and button with yellow housing.,true,true,true,true,41,4,10.5,No issues observed.,"Due to audio and visual indicators not work, i was unable to ensure push button is operational. Pedestrian signal is operational.",POINT (-86.66671 36.145908)
4600,Nolensville pk,Joyner ave,Southeast,Jacob Locey,04/18/2019 12:00:00 AM,36.116474,-86.747856,11905,NA,false,,,,,,,,,,,,,,,,Pedestrian signal is operational.,POINT (-86.747856 36.116474)
2830,S 11th st,Shelby ave,Southeast,Chase Clark,04/24/2019 12:00:00 AM,36.171104,-86.750725,83133,PED_SIGNAL,true,true,true,true,true,true,true,Chrome arrow black housing,true,true,true,true,42,5,8,,Push button and pedestrian signals working properly,POINT (-86.750725 36.171104)
4990,Woodmont Blvd,Belmont Blvd,Northeast,Greg Roddy,04/18/2019 12:00:00 AM,36.11314,-86.799881,11712,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light. There is no sidewalk at this corner.",,,,,,,,,There is no push button for this crosswalk. There is no sidewalk at this corner. The Ped signal light is in good working condition.,POINT (-86.799881 36.11314)
3495,Gallatin Pike,Broadmoor Drive,Northwest,Jeff Pedine,04/23/2019 12:00:00 AM,36.229206,-86.725243,6107,NA,false,,,,,,,,,,,,,,,,There is no push button at this location.,POINT (-86.725243 36.229206)
2933,Bell rd,Lincoya bay dr,Northeast,Jacob Locey,04/19/2019 12:00:00 AM,36.145561,-86.626091,10901,NA,false,,,,,,,No push button observed.,,,,,,,,,Pedestrian signal is operational.,POINT (-86.626091 36.145561)
2925,Cane Ridge Rd,Bell Road,Southwest,Greg Roddy,04/08/2019 12:00:00 AM,36.044933,-86.661659,16309,PED_SIGNAL,true,true,true,true,false,true,true,The push button is black with a black housing and a chrome arrow. There is no signage for this push button.,true,true,true,true,42,8,10,,There is no signage for this push button. The push button and signal light are both in good working condition and free of any other issues.,POINT (-86.661659 36.044933)
4265,Jackson downs,Lebanon pike,South,Chase Clark,04/17/2019 12:00:00 AM,36.181583,-86.641502,85074,PED_SIGNAL,true,true,true,true,true,true,true,Chrome button black housing mounted on 2” inch steel pole. No button sign.,true,true,true,true,32,7,,No crosswalk,Push button working properly. No crosswalk,POINT (-86.641502 36.181583)
4895,Ellington Parkway,E Trinity Lane,Northwest,Jeff Pedine,04/24/2019 12:00:00 AM,36.2048,-86.749794,7205,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,true,41,11,0,,"The push button shows good working order, properly spaced, visual contrast, and audio/visual indicators.",POINT (-86.749794 36.2048)
4702,Old Hickory Blvd,Hill Rd,Northwest,Greg Roddy,04/15/2019 12:00:00 AM,36.041729,-86.74942,16113,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.74942 36.041729)
3710,Gallatin Pike N,Old Hickory Boulevard,Northeast,Jeff Pedine,04/05/2019 12:00:00 AM,36.263229,-86.711639,4313,PED_SIGNAL,true,true,true,true,true,true,true,,true,true,true,false,42,10,8,The push button is separated from the adjacent button by only 12”.,The push button shows good condition in all aspects except for being too close to the adjacent button (12” apart).,POINT (-86.711639 36.263229)
4431,Nothing,Murfreesboro pk,Northeast,Jacob Locey,04/24/2019 12:00:00 AM,36.145683,-86.752441,10504,PED_SIGNAL,true,true,true,true,true,true,true,"Black arrow, chrome button, with yellow housing.",true,true,true,true,42,7,11,No issues observed.,Push button is operational. Pedestrian signal never changes from don’t walk.,POINT (-86.752441 36.145683)
1250,4th ave s,Chestnut st,Northwest,Jacob Locey,04/23/2019 12:00:00 AM,36.145031,-86.766739,10503,NA,false,,,,,,,No push button observed.,,,,,,,,,No push button observed. Pedestrian signal is operational.,POINT (-86.766739 36.145031)
4400,Arlington ave,Murfreesboro pk,Northwest,Jacob Locey,04/19/2019 12:00:00 AM,36.139229,-86.733086,10606,PED_SIGNAL,true,true,true,true,true,false,false,"Visual and audio indicators are not working, push button appears to be new. Black arrow, chrome button, with yellow housing.",true,true,true,true,42,7,7,No issues observed.,Push button has no audio or visual indicators. Pedestrian signal is operational.,POINT (-86.733086 36.139229)
4681,Cozy Creek Lane,Old Hickory Blvd,Southwest,Greg Roddy,04/15/2019 12:00:00 AM,36.040958,-86.746483,16113,PED_SIGNAL,true,true,true,true,true,false,false,The push button is chrome with a yellow housing. The push button does not have a visual or audible indicator.,true,true,true,true,42,8,10,,The push button and signal light are both in good working condition and free of any issues.,POINT (-86.746483 36.040958)
2610,Charlotte Ave,Sylvan Heights Way,Southwest,Greg Roddy,04/25/2019 12:00:00 AM,36.152359,-86.834915,9116,NA,false,,,,,,,"There is no push button for this crosswalk, however there is a Ped signal light.",,,,,,,,,There is no push button for this crosswalk. The Ped signal light is in good working condition.,POINT (-86.834915 36.152359)
