ADDRESS,PERMIT,Permit Status,Inspection Date,Inspection Type,Inspection Result,Latitude/Longitude
5792 W JEFFERSON BLVD,16043 10000 00427,Issued,07/19/2016,Final,Corrections Issued,"(34.02554, -118.37522)"
4522 N CARPENTER AVE,15014 20001 04909,Issued,07/20/2016,Footing/Foundation/Slab,Approved,"(34.15276, -118.3909)"
340 S MAIN ST,16042 90000 12274,Issued,07/19/2016,Rough,Partial Approval,"(33.99519, -118.47673)"
5008 N VELOZ AVE,15043 20000 05826,Issued,07/22/2016,Final,Insp Scheduled,"(34.16119, -118.54036)"
21101 S NORMANDIE AVE,13010 10000 03296,Issued,07/18/2016,Verify Sprinkler Sign Off,Not Ready for Inspection,"(33.83794, -118.2994)"
5059 N WESTPARK DR,16047 20000 00760,Issued,07/21/2016,Final,Conditional Approval,"(34.16251, -118.38294)"
2041 W BEVERLY BLVD,16041 90000 23325,Permit Finaled,07/19/2016,Final,Permit Finaled,"(34.06675, -118.27004)"
7407 S DUNBARTON AVE,16016 90000 11865,Permit Finaled,07/21/2016,Final,Permit Finaled,"(33.97311, -118.41037)"
6406 W 87TH PL,16044 90000 04421,Issued,07/22/2016,Final,Insp Scheduled,"(33.95772, -118.39918)"
3848-3864 S CRENSHAW BLVD,16041 10000 13806,Issued,07/19/2016,Final,Partial Inspection,"(34.01604, -118.33474)"
1474 N BLUE JAY WAY,14016 30000 10605,Issued,07/18/2016,Footing/Foundation/Slab,Approved,"(34.09839, -118.38654)"
7832-7832 1/2 S FLIGHT AVE,15042 70000 25536,Permit Finaled,07/18/2016,Final,Permit Finaled,"(33.96749, -118.38359)"
100 WORLD WAY SKYCAP,16043 10000 02027,Issued,07/21/2016,Rough,Partial Approval,"(33.94572, -118.40095)"
215 E VENICE WAY,16016 10000 11219,Permit Finaled,07/18/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(33.98746, -118.47013)"
10274 W CRESTA DR,16016 10000 11422,Issued,07/21/2016,ELECTRICAL-Rough,Approved,"(34.04105, -118.40602)"
730-736 S LOS ANGELES ST,14016 10000 11297,Issued,07/19/2016,Deputy Steel/Welding,Conditional Approval,"(34.04254, -118.25109)"
1715 S PACIFIC AVE,16016 10000 06026,Permit Finaled,07/18/2016,Smoke Detectors,Approved,"(33.98676, -118.47171)"
1156 N TAMARIND AVE,16041 90000 24756,Issued,07/22/2016,Service/Power Release,Not Ready for Inspection,"(34.0924, -118.3189)"
1726 N MALTMAN AVE,16016 90000 15447,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.09322, -118.27482)"
4707 S 11TH AVE,16014 70000 02197,Issued,07/21/2016,Insulation,Approved,"(34.0007, -118.32949)"
838 E LANZIT AVE,12010 10000 00981,Issued,07/21/2016,Service/Power Release,Not Ready for Inspection,"(33.93413, -118.25872)"
7863 W MULHOLLAND DR,13010 10000 04345,Issued,07/18/2016,Deputy Reinf. Concrete,Conditional Approval,"(34.13126, -118.37235)"
401 S OCEAN FRONT WALK,15016 10000 22842,Issued,07/18/2016,Smoke Detectors,Cancelled,"(33.99386, -118.47965)"
4955 N WINNETKA AVE,15047 20000 02024,CofO in Progress,07/23/2016,Inspection,OK for CofO,"(34.16162, -118.5702)"
17837 W BULLOCK ST,16014 20003 01757,Issued,07/22/2016,Posting Pre-Inspection,Not Ready for Inspection,"(34.17982, -118.52171)"
20305 W LONDELIUS ST,16041 90000 24052,Issued,07/19/2016,Final,Cancelled,"(34.22919, -118.57568)"
143 N VAN NESS AVE,16014 20000 00740,Issued,07/21/2016,HVAC-Rough,Approved,"(34.07424, -118.31587)"
5550 W HOLLYWOOD BLVD,13010 10000 03431,Issued,07/20/2016,Deputy Wood Construction,Conditional Approval,"(34.10155, -118.31097)"
344 E 69TH ST,16042 90000 13740,Issued,07/19/2016,Final,Not Ready for Inspection,"(33.97688, -118.26792)"
2748 W MOSS AVE,16016 90000 10096,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.11249, -118.23917)"
10051 N MONTGOMERY AVE,16016 20000 15909,Issued,07/22/2016,PLUMBING-Rough,Insp Scheduled,"(34.25347, -118.4818)"
7414 N ALABAMA AVE,16042 90000 14357,Issued,07/18/2016,Final,Corrections Issued,"(34.20503, -118.5989)"
1901 W 6TH ST 1-53,14041 20000 08644,Issued,07/19/2016,Final,Partial Approval,"(34.05872, -118.27264)"
6200 N KESTER AVE,15030 20000 05847,Issued,07/18/2016,Deputy Grading,Approved,"(34.1828, -118.4573)"
6200 N KESTER AVE,15030 20000 05847,Issued,07/18/2016,Deputy Grading,Approved,"(34.1828, -118.4573)"
401 S GRAND VIEW ST,14010 20000 00994,CofO in Progress,07/21/2016,Final,Conditional Approval,"(34.06322, -118.27542)"
4476 N LIBBIT AVE,16010 20000 01120,Issued,07/20/2016,Floor/Roof Diaphrgm/Shear Wall,Partial Inspection,"(34.15318, -118.49328)"
6193 E ROY ST,16014 10000 00572,Issued,07/21/2016,Final,Not Ready for Inspection,"(34.12325, -118.18331)"
651 E MILDRED AVE,14010 20000 00881,Issued,07/21/2016,Structural Steel Frame,Approved,"(33.98732, -118.46173)"
1833 S LA CIENEGA BLVD,16041 70000 22499,Issued,07/22/2016,Final,Insp Scheduled,"(34.04342, -118.37677)"
8935 N ORION AVE,14042 10000 12208,Issued,07/18/2016,Rough,Partial Approval,"(34.23288, -118.4722)"
3717 W JEFFERSON BLVD,15016 10000 08427,Issued,07/22/2016,Special/Order Compliance,Insp Scheduled,"(34.02571, -118.33695)"
15649 W MAYALL ST,16041 20000 23833,Issued,07/18/2016,Final,Not Ready for Inspection,"(34.25381, -118.47342)"
16650 W OLDHAM ST,16016 20000 16344,Issued,07/21/2016,ELECTRICAL-Rough,Cancelled,"(34.14201, -118.49549)"
21850 W OXNARD ST,16042 20000 07009,Issued,07/18/2016,Rough,Partial Approval,"(34.17895, -118.60413)"
1575 N GOWER ST 6TH FLR,16041 10000 23171,Issued,07/20/2016,Life Safety,Partial Approval,"(34.09907, -118.3226)"
4225-4227 N MAYCREST AVE,16041 10000 25312,Issued,07/21/2016,Rough,Partial Inspection,"(34.094, -118.16145)"
10625 W TABOR ST,15042 10000 12100,Issued,07/18/2016,Rough,Partial Approval,"(34.02357, -118.41014)"
139 E 91ST ST,16014 10000 02792,Issued,07/18/2016,Insulation,Approved,"(33.95388, -118.27245)"
23043 W BURTON ST,16047 20000 00477,Issued,07/22/2016,Excavation/Setback/Form/Re-Bar,Approved,"(34.21857, -118.62949)"
4119-4121 S MCKINLEY AVE,13042 70000 06434,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.00866, -118.26137)"
12600 W BURTON ST,16014 30000 02417,Issued,07/19/2016,BUILDING-Rough-Frame,Not Ready for Inspection,"(34.22046, -118.40759)"
3435 W WILSHIRE BLVD,15046 20000 00657,Issued,07/20/2016,Final,Insp Scheduled,"(34.06194, -118.29866)"
2365 S SCARFF ST,12016 10000 24073,CofO in Progress,07/20/2016,Electrical Verification,OK for CofO,"(34.03175, -118.28096)"
13012 W WELBY WAY,13014 20000 02241,Issued,07/18/2016,Green Building Final,Corrections Issued,"(34.19299, -118.41629)"
12360 W OSBORNE PL 5,13010 20000 04166,Issued,07/18/2016,HVAC-Rough,Approved,"(34.25922, -118.40237)"
12655 W JEFFERSON BLVD flrs-3 AND 4,16016 10001 09598,Issued,07/20/2016,Deputy Fireproofing,Conditional Approval,"(33.97916, -118.41469)"
"4611 W MARTIN LUTHER KING, JR BLVD",16042 20000 14490,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.01922, -118.34817)"
10250 W SANTA MONICA BLVD,16041 90000 20884,Issued,07/18/2016,Rough,Partial Approval,"(34.05949, -118.42045)"
1200 S GRAND AVE,13010 10000 02721,Issued,07/19/2016,Wood Frame,Partial Approval,"(34.03989, -118.26331)"
12011 N BRADFORD PL,16041 90000 24682,Issued,07/22/2016,Final,Insp Scheduled,"(34.28934, -118.50407)"
3637 N VALLEY MEADOW ROAD,16016 20000 10071,Permit Finaled,07/19/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.13633, -118.47884)"
11269 W ACAMA ST,12014 20000 03082,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.14658, -118.37702)"
11269 W ACAMA ST,12014 20000 03082,CofO Issued,07/21/2016,Inspection,Permit Finaled,"(34.14658, -118.37702)"
3882 N CORBIN AVE,16016 20000 11016,Issued,07/19/2016,Insulation,Approved,"(34.14055, -118.56478)"
12830 W ROSE AVE,15014 30000 05326,Issued,07/19/2016,Gas Test,Not Ready for Inspection,"(34.0109, -118.44932)"
2900 N CHADWICK DR,16020 10000 00393,Issued,07/18/2016,Final,Not Ready for Inspection,"(34.07964, -118.17468)"
8678 W FRANKLIN AVE,16030 20000 00123,Issued,07/20/2016,Initial Grading,Approved,"(34.09872, -118.37827)"
6866-6868 W CAMROSE DR,15014 20000 05221,Issued,07/22/2016,Floor/Roof Diaphrgm/Shear Wall,Insp Scheduled,"(34.10893, -118.33929)"
1616 W 260TH ST 6,14010 10000 00184,Issued,07/20/2016,Floor/Roof Diaphrgm/Shear Wall,Partial Approval,"(33.78667, -118.30487)"
6555 W BARTON AVE 5th-floor,16016 10000 13266,Issued,07/20/2016,Light Gage Steel Frame,Approved,"(34.08785, -118.33475)"
17614 W SATICOY ST,15014 20000 01969,CofO in Progress,07/21/2016,CofO Issuance,CofO in Progress,"(34.20826, -118.51695)"
1411 N HIGHLAND AVE,13042 10004 09282,Permit Finaled,07/18/2016,Inspection,Permit Finaled,"(34.09649, -118.33888)"
900 W WILSHIRE BLVD,16043 10000 00002,Issued,07/20/2016,Rough,Partial Approval,"(34.04999, -118.2596)"
2508 E HOUSTON ST,16041 90000 20830,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.05002, -118.2027)"
2800 E OLYMPIC BLVD,15016 10000 20299,Issued,07/22/2016,Wood Frame,Approved,"(34.02314, -118.21766)"
4197 N HAYVENHURST DR,15010 20000 03701,Issued,07/19/2016,Final,Not Ready for Inspection,"(34.14618, -118.49306)"
3072 S GRAND VIEW BLVD,15010 10000 00649,Issued,07/21/2016,Green Building Rough,Approved,"(34.01828, -118.44313)"
13612 W VICTORY BLVD,16042 10000 07936,Issued,07/22/2016,Final,Insp Scheduled,"(34.1865, -118.42988)"
10777 W WILSHIRE BLVD,15043 10000 03803,Issued,07/20/2016,Standpipe Hydro,Cancelled,"(34.06035, -118.439)"
10334 W LORENZO DR,16047 30000 00225,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.04033, -118.40777)"
10334 W LORENZO DR,16047 30000 00225,CofO Issued,07/18/2016,Inspection,Permit Finaled,"(34.04033, -118.40777)"
751 E 112TH ST,16041 90000 25221,Issued,07/22/2016,Final,Partial Inspection,"(33.93293, -118.26086)"
6600 N TOPANGA CANYON BLVD #1017,16016 10000 05664,Issued,07/20/2016,Light Gage Steel Frame,Cancelled,"(34.19008, -118.60565)"
3531 N ALANA DR,15016 20000 26673,CofO Issued,07/21/2016,CofO Issuance,CofO Issued,"(34.13506, -118.48107)"
207 1/2 N LAKE SHORE TER,16016 90000 11498,Issued,07/18/2016,Wood Frame,Approved,"(34.06462, -118.26119)"
10022 N RESEDA BLVD NO 8,16042 90000 13519,Permit Finaled,07/18/2016,Final,Permit Finaled,"(34.2526, -118.53588)"
333 N BELMONT AVE,14041 10000 31990,Issued,07/18/2016,Rough,Not Ready for Inspection,"(34.06787, -118.26342)"
1658 S HI POINT ST,16047 20000 00504,Issued,07/18/2016,Equipment Noise Level,No Access for Inspection,"(34.04628, -118.37003)"
2341 S PELHAM AVE,16014 30000 01851,Issued,07/18/2016,PLUMBING-Rough,Partial Approval,"(34.04325, -118.42461)"
817 W 133RD ST,06014 10000 03154,Issued,07/19/2016,Special/Order Compliance,Corrections Issued,"(33.91138, -118.29008)"
1647 S SHERBOURNE DR,15014 30002 00654,Issued,07/19/2016,Drywall Nailing,Approved,"(34.04849, -118.38042)"
2607 W SUNSET BLVD,15048 20000 03043,Issued,07/19/2016,Final,Not Ready for Inspection,"(34.08024, -118.26981)"
5246 N GOODLAND AVE,15016 20000 28469,Issued,07/21/2016,Smoke Detectors,Not Ready for Inspection,"(34.16626, -118.41189)"
6620 W WHITLEY TER,15016 20000 24785,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.107, -118.33391)"
6270 W MULHOLLAND HWY,16014 30000 03274,Issued,07/21/2016,Excavation/Setback/Form/Re-Bar,Not Ready for Inspection,"(34.12774, -118.32435)"
3769 W FRANKLIN AVE,16047 20000 00649,Issued,07/19/2016,Excavation/Setback/Form/Re-Bar,Approved,"(34.10131, -118.27541)"
900 W WILSHIRE BLVD,12010 10000 01270,Issued,07/20/2016,Drywall Nailing,Partial Approval,"(34.04999, -118.2596)"
941 W PRINCETON DR,16047 20000 01096,Issued,07/22/2016,Rough-Electrical,Insp Scheduled,"(33.98529, -118.44903)"
2235 S BEVERLY DR,16014 30000 00402,Issued,07/21/2016,Floor/Roof Diaphrgm/Shear Wall,Partial Approval,"(34.04251, -118.39536)"
2610 W SUNSET BLVD,16016 10000 06920,CofO in Progress,07/20/2016,Inspection,OK for CofO,"(34.07998, -118.27018)"
13012 W WELBY WAY,13014 20000 02241,Issued,07/18/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Not Ready,"(34.19299, -118.41629)"
1414 N DONHILL DR,15047 30000 01360,Issued,07/21/2016,Pre-Gunite,Not Ready for Inspection,"(34.09668, -118.41719)"
12618 W HORTENSE ST,16047 20000 00070,CofO Issued,07/20/2016,Inspection,Permit Finaled,"(34.15479, -118.4079)"
12618 W HORTENSE ST,16047 20000 00070,CofO Issued,07/20/2016,Inspection,Permit Finaled,"(34.15479, -118.4079)"
1927 S COVINGTON LANE,15010 20000 03111,Issued,07/19/2016,Green Building Final,Approved,"(34.04071, -118.37189)"
400 N KIRBY ST,13030 20000 00594,Permit Finaled,07/19/2016,Final,Permit Finaled,"(34.12234, -118.18335)"
348 --350 E 120TH ST,15010 10000 03266,Issued,07/19/2016,Smoke Detectors,Insp Cancelled,"(33.92351, -118.26774)"
22815 W CALIFA ST,15016 30000 18913,Permit Finaled,07/21/2016,Final,Permit Finaled,"(34.1775, -118.624)"
16776 W HUERTA ROAD,13010 20000 00214,Issued,07/21/2016,Drywall Nailing,Not Ready for Inspection,"(34.15043, -118.49895)"
4110 N ALLOTT AVE,16047 20000 00635,Issued,07/20/2016,Grading Verification,CofO on Hold,"(34.14485, -118.4281)"
4810 S SAWTELLE BLVD,14010 10000 00301,Issued,07/20/2016,Smoke Detectors,Approved,"(33.99889, -118.40587)"
1238 S BEVERLY GREEN DR,15014 10000 03177,Issued,07/19/2016,Grading Verification,OK for CofO,"(34.0552, -118.40584)"
868 N LEONARD ROAD,15047 20000 00660,Issued,07/21/2016,Pre-Gunite,Approved,"(34.07449, -118.48706)"
12203 W IDAHO AVE 204,16044 30001 03192,Issued,07/19/2016,Final,Corrections Issued,"(34.03813, -118.46246)"
4838-4840 W 18TH ST,15010 70000 03229,Issued,07/20/2016,Final,Conditional Approval,"(34.04246, -118.34367)"
7825 N PLATT AVE,16016 90000 10070,Issued,07/20/2016,PLUMBING-Rough,Approved,"(34.21268, -118.63933)"
3184 N DONA SARITA PL,16047 10000 00016,Issued,07/22/2016,Enclosure/Fence,Not Ready for Inspection,"(34.12946, -118.37721)"
9106 W HARGIS ST,16041 10000 25158,Issued,07/22/2016,Final,Insp Scheduled,"(34.03618, -118.39092)"
1006 N HYPERION AVE,14010 10000 03714,Issued,07/21/2016,Verify Sprinkler Sign Off,Approved,"(34.08998, -118.28054)"
21627 W BRYANT ST,16044 90000 03184,Issued,07/20/2016,Final,Not Ready for Inspection,"(34.22744, -118.60147)"
14756 W ARCHWOOD ST,14044 90000 06028,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.19275, -118.45502)"
15260 W VENTURA BLVD 1st Floor,16041 20000 18233,Issued,07/22/2016,Life Safety,Insp Scheduled,"(34.15356, -118.4658)"
1457 W WASHINGTON BLVD,16410 90000 01405,Permit Finaled,07/23/2016,TSE Final,Permit Finaled,"(34.04019, -118.28798)"
4025 N WESLIN AVE,16047 20000 00826,Issued,07/21/2016,Final,Corrections Issued,"(34.14271, -118.43093)"
8822 W CADILLAC AVE 1-15,16016 20000 00711,Issued,07/19/2016,Deputy Drilled-In Anchors,No Access for Inspection,"(34.03957, -118.38297)"
12246 W HARTSOOK ST,15010 20000 03642,Issued,07/22/2016,SGSOV-Seismic Gas S/O Valve,Insp Scheduled,"(34.16385, -118.40038)"
13330 W VICTORY BLVD,16016 20000 13578,Issued,07/18/2016,Drywall Nailing,Approved,"(34.18649, -118.42379)"
225 S OLIVE ST,14016 10000 17305,Issued,07/21/2016,Green Building Final,Partial Approval,"(34.05317, -118.24961)"
401 S OCEAN FRONT WALK,15016 10000 22842,Issued,07/20/2016,METHANE-Final,Cancelled,"(33.99386, -118.47965)"
4257 N DENNY AVE,16041 20000 24799,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.14742, -118.36538)"
7863 W MULHOLLAND DR,13010 10000 04345,Issued,07/18/2016,Underground Mechanical,Approved,"(34.13126, -118.37235)"
8732 S SEPULVEDA BLVD UNIT B,14016 10000 12165,Permit Finaled,07/22/2016,Final,Permit Finaled,"(33.95785, -118.39597)"
11750 W CHENAULT ST,16041 20000 25543,Issued,07/21/2016,Rough,Not Ready for Inspection,"(34.05498, -118.46908)"
3680 N BUENA PARK DR,15014 10000 04931,Issued,07/18/2016,Shower Pan,Approved,"(34.13745, -118.38853)"
5100 W WILSHIRE BLVD 1-138,14010 30000 00584,Issued,07/18/2016,Deputy Reinf. Concrete,Approved,"(34.062, -118.34089)"
861 W 56TH ST,16016 70000 11628,Issued,07/18/2016,Final,Not Ready for Inspection,"(33.99153, -118.28925)"
1454 W 3RD ST #102,16041 10000 24948,Issued,07/21/2016,Service/Power Release,Partial Approval,"(34.05884, -118.26334)"
8000 N MAESTRO AVE,16016 30000 07898,Issued,07/21/2016,Deputy Drilled-In Anchors,No Access for Inspection,"(34.21527, -118.63941)"
5227 N VINCENT AVE,16041 10002 07723,Permit Finaled,07/21/2016,Rough,Approved,"(34.14226, -118.20245)"
129 S KINGS ROAD,15044 10000 13165,Issued,07/21/2016,Rough-A/C and Heating,Partial Approval,"(34.07354, -118.37234)"
5248 W SANTA MONICA BLVD,16041 20000 15225,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.09066, -118.30494)"
21901 W ERWIN ST,15020 10000 00839,Issued,07/20/2016,"Heat,Vent,A/C Verification",Not Applicable,"(34.18301, -118.60425)"
4648 N VARNA AVE,16044 90000 07922,Issued,07/20/2016,REFRIGERATION-Final,Conditional Approval,"(34.15546, -118.42455)"
889 S FRANCISCO ST,13010 10005 03024,Issued,07/19/2016,Deputy Steel/Welding,Approved,"(34.04763, -118.26397)"
10960 W WILSHIRE BLVD 8TH FLOOR,16041 10000 19143,Issued,07/19/2016,Life Safety,Approved,"(34.058, -118.44597)"
11916 W WILSHIRE BLVD,16016 10000 03764,CofO Issued,07/19/2016,CofO Issuance,CofO in Progress,"(34.04614, -118.46465)"
18643 W VINTAGE ST,16041 90000 06731,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.25109, -118.53987)"
1501 W WILSHIRE BLVD,13042 10000 24926,Issued,07/22/2016,Rough,Insp Scheduled,"(34.05482, -118.26845)"
20437 AURORA WAY,15043 10000 04850,Issued,07/19/2016,Rough,Approved,"(34.29205, -118.5794)"
11283 N HERRICK AVE,16014 20000 01774,Issued,07/22/2016,Final,Not Ready for Inspection,"(34.2752, -118.41934)"
3519 W FERNWOOD AVE,14016 20001 13338,Issued,07/18/2016,ELECTRICAL-Rough,Approved,"(34.09663, -118.27374)"
7033 N LUBAO AVE,16014 20000 02798,Issued,07/20/2016,Smoke Detectors,Partial Approval,"(34.19848, -118.56784)"
1635 N CAHUENGA BLVD,16042 10000 07541,Issued,07/18/2016,Rough,Cancelled,"(34.10071, -118.32971)"
19401 W PARTHENIA ST,13010 10000 03499,Issued,07/22/2016,SUSMP-Std. Urban Storm Water,Insp Scheduled,"(34.22847, -118.55614)"
700 WORLD WAY,15016 10000 08908,Issued,07/19/2016,Excavation/Setback/Form/Re-Bar,Partial Approval,"(33.94286, -118.39982)"
529 S MATHEWS ST,16016 90000 11842,Issued,07/22/2016,Final,Insp Scheduled,"(34.03791, -118.21226)"
10014 N FORBES AVE,16041 20000 25049,Permit Finaled,07/22/2016,Final,Permit Finaled,"(34.25255, -118.50005)"
9200 N OAKDALE AVE,16041 90000 25188,Issued,07/21/2016,Rough,Partial Approval,"(34.23811, -118.56674)"
5800 W SUNSET BLVD,15010 10000 02816,Issued,07/19/2016,Excavation/Setback/Form/Re-Bar,Partial Approval,"(34.09789, -118.31599)"
361 N LA JOLLA AVE,16014 20000 00511,Issued,07/19/2016,PLUMBING-Rough,Approved,"(34.07784, -118.3681)"
3808 S BAGLEY AVE,16041 20000 14416,Issued,07/21/2016,Rough,Approved,"(34.02522, -118.39466)"
3751 W WILSHIRE BLVD,16016 10000 04909,Issued,07/18/2016,Drywall Nailing,Partial Approval,"(34.06186, -118.30818)"
4723 N DUNAS LANE,16014 20000 01821,Issued,07/22/2016,Grading Verification,Not Applicable,"(34.15517, -118.52983)"
9143 N PETIT AVE,15014 20000 03817,CofO in Progress,07/20/2016,Final,Conditional Approval,"(34.23699, -118.49805)"
700 W 9TH ST,15020 10000 00251,Issued,07/20/2016,Deputy Grading,Approved,"(34.04583, -118.26186)"
11655 N HUNNEWELL AVE,16014 10000 00028,Issued,07/19/2016,Smoke Detectors,Not Ready for Inspection,"(34.2816, -118.39872)"
4424 N VAN NOORD AVE,15010 20000 03081,Issued,07/19/2016,Green Building Rough,Not Ready for Inspection,"(34.15114, -118.41483)"
1630 N SAN PABLO ST,15030 10000 01851,Permit Finaled,07/19/2016,Bottom/Toe,Approved,"(34.06498, -118.20218)"
2215 E ALCAZAR ST,14030 10000 07455,Permit Finaled,07/19/2016,Bottom/Toe,Approved,"(34.06357, -118.20153)"
10501 W EASTBORNE AVE,16030 10000 02477,Issued,07/18/2016,Sub-Drain,Partial Inspection,"(34.05644, -118.42774)"
23706 W VICTORY BLVD,15010 20000 02802,Issued,07/22/2016,Floor/Roof Diaphrgm/Shear Wall,Insp Scheduled,"(34.18645, -118.64336)"
530 N LA JOLLA AVE,14010 10000 03716,Issued,07/19/2016,PLUMBING-Rough,Approved,"(34.08096, -118.36785)"
1225 S ARMACOST AVE 303,16042 90000 10013,Permit Finaled,07/20/2016,Final,Permit Finaled,"(34.0459, -118.4639)"
19550 W NORDHOFF ST,15041 10000 12192,Issued,07/19/2016,Inspection,Permit Finaled,"(34.23529, -118.55947)"
900 N CAHUENGA BLVD,15016 10000 21094,Issued,07/20/2016,Footing/Foundation/Slab,Partial Inspection,"(34.0873, -118.32862)"
380 WORLD WAY,14041 10000 22825,Issued,07/22/2016,Final,Partial Approval,"(33.94354, -118.4085)"
13131 W MUSCATINE ST,16016 20000 07390,Issued,07/20/2016,ELECTRICAL-Rough,Not Ready for Inspection,"(34.23485, -118.41883)"
601 N FULLER AVE,15030 20000 01100,Issued,07/21/2016,METHANE-Rough,Cancelled,"(34.08203, -118.34994)"
3350 W WILSHIRE BLVD 1-216,13016 10000 26033,Issued,07/22/2016,Deputy Shotcrete,Insp Scheduled,"(34.0616, -118.29586)"
16223 W DORILEE LANE,10014 20000 04336,CofO in Progress,07/18/2016,Service/Power Release,Approved,"(34.13273, -118.48556)"
1633 S GRAMERCY PL #1-4,16042 20000 04542,Issued,07/21/2016,Gas Test,Not Ready for Inspection,"(34.04244, -118.31368)"
5105 N RADFORD AVE,15010 10000 03877,Issued,07/20/2016,Green Building Final,Approved,"(34.16349, -118.39226)"
1121 S WILTON PL,14014 10000 05225,Issued,07/18/2016,HVAC-Rough,Corrections Issued,"(34.05005, -118.3147)"
1601 N VINE ST,14010 10000 01878,Issued,07/22/2016,Deputy Steel/Welding,Insp Scheduled,"(34.09998, -118.32695)"
900 W WILSHIRE BLVD,12010 10000 01270,Issued,07/20/2016,Deputy Fireproofing,Conditional Approval,"(34.04999, -118.2596)"
900 W WILSHIRE BLVD,12010 10000 01270,Issued,07/20/2016,Deputy Fireproofing,Conditional Approval,"(34.04999, -118.2596)"
900 W WILSHIRE BLVD,12010 10000 01270,Issued,07/20/2016,Deputy Fireproofing,Conditional Approval,"(34.04999, -118.2596)"
1700 N BENEDICT CANYON DR,16020 20001 00449,Issued,07/21/2016,Rough,Insp Cancelled,"(34.10187, -118.43631)"
12690 W SANDHILL LANE # 1-3,15041 10000 22038,Issued,07/22/2016,Rough,Insp Scheduled,"(33.97692, -118.41538)"
9215 W MONTE MAR DR,15010 20000 04632,Issued,07/21/2016,METHANE-Barrier,Approved,"(34.04785, -118.39032)"
900 W WILSHIRE BLVD,12010 10000 01270,Issued,07/19/2016,Deputy Fireproofing,Conditional Approval,"(34.04999, -118.2596)"
900 W WILSHIRE BLVD,12010 10000 01270,Issued,07/19/2016,Deputy Fireproofing,Conditional Approval,"(34.04999, -118.2596)"
900 W WILSHIRE BLVD,12010 10000 01270,Issued,07/19/2016,Deputy Fireproofing,Conditional Approval,"(34.04999, -118.2596)"
10505 N FERNGLEN AVE,16016 20000 11056,Issued,07/19/2016,ELECTRICAL-Rough,Approved,"(34.25973, -118.29445)"
1101 W 23RD ST,16042 10000 12688,Issued,07/21/2016,Water Heater or Vent,Corrections Issued,"(34.03511, -118.28354)"
1435 W 7TH ST,15030 30000 02192,Issued,07/21/2016,Bottom/Toe,Not Ready for Inspection,"(33.7377, -118.30896)"
41 E OZONE AVE,14014 10001 02160,Issued,07/22/2016,Wood Frame,Insp Scheduled,"(33.99605, -118.48001)"
907 W BURRELL PL,16016 20000 11702,Issued,07/22/2016,Final,Insp Scheduled,"(33.9865, -118.44996)"
12121 W VIEWCREST ROAD,16047 20000 00279,Issued,07/21/2016,SGSOV-Seismic Gas S/O Valve,SGSOV Approved,"(34.13909, -118.39671)"
13131 W MUSCATINE ST,16016 20000 07390,Issued,07/20/2016,HVAC-Rough,Not Ready for Inspection,"(34.23485, -118.41883)"
2561 N ROSCOMARE ROAD,16014 20000 00194,Issued,07/19/2016,BUILDING-Rough-Frame,Conditional Approval,"(34.12446, -118.46273)"
1800 S CRESCENT HEIGHTS BLVD,16014 20000 02432,Issued,07/18/2016,Insulation,Approved,"(34.0439, -118.37441)"
10777 W WILSHIRE BLVD,13010 10000 03895,Issued,07/22/2016,Deputy Drilled-In Anchors,Insp Scheduled,"(34.06035, -118.439)"
14647 W VALLEY VISTA BLVD,16041 90000 22462,Permit Finaled,07/21/2016,Service/Power Release,Approved,"(34.14607, -118.4537)"
5939 N TOPEKA DR,16041 10000 03575,Permit Finaled,07/21/2016,Service/Power Release,Approved,"(34.17832, -118.54628)"
601 S FIGUEROA ST SUITE 3575,16043 10000 03082,Issued,07/18/2016,Rough,Approved,"(34.05076, -118.25881)"
662 S SANTA FE AVE,16016 10000 01808,Issued,07/22/2016,Excavation/Setback/Form/Re-Bar,Insp Scheduled,"(34.03577, -118.2301)"
17707 W RINALDI ST,13016 20000 06242,Issued,07/19/2016,Final,Conditional Approval,"(34.27958, -118.51964)"
601 N FULLER AVE,15047 20001 01545,Issued,07/21/2016,Final,Insp Scheduled,"(34.08203, -118.34994)"
19520 W TULSA ST,16016 90000 16402,Issued,07/21/2016,PLUMBING-Rough,Corrections Issued,"(34.26865, -118.55827)"
10250 W SANTA MONICA BLVD,13010 10000 02346,Issued,07/21/2016,Deputy Reinf. Concrete,Approved,"(34.05949, -118.42045)"
