Address,Type,Datetime,Latitude,Longitude,Report Location,Incident Number
2801 Perkins Ln W,Aid Response,07/30/2019 04:51:00 PM,47.64508,-122.416681,POINT (-122.416681 47.64508),F190080750
5th Av W / W Halladay St,Aid Response,07/30/2019 04:53:00 PM,47.642023,-122.363584,POINT (-122.363584 47.642023),F190080753
1701 Broadway,Medic Response,07/10/2019 02:48:00 PM,47.616403,-122.320817,POINT (-122.320817 47.616403),F190072656
5605 Corson Av S,Trans to AMR,11/02/2019 05:19:00 AM,47.552034,-122.319794,POINT (-122.319794 47.552034),F190116766
4700 12th Av Ne,Aid Response,08/09/2019 06:53:00 PM,47.663106,-122.315263,POINT (-122.315263 47.663106),F190084820
1118 5th Av,Trans to AMR,11/02/2019 05:52:00 AM,47.60739,-122.332564,POINT (-122.332564 47.60739),F190116770
4601 S Graham St,Aid Response,08/09/2019 06:57:00 PM,47.546032,-122.27532,POINT (-122.27532 47.546032),F190084821
1400 Nw 56th St,Aid Response,08/09/2019 06:58:00 PM,47.669441,-122.373587,POINT (-122.373587 47.669441),F190084822
116 Stewart St,Trans to AMR,05/02/2019 08:26:00 PM,47.610387,-122.341198,POINT (-122.341198 47.610387),F190044333
2600 Sw Holden St,Aid Response,08/09/2019 07:09:00 PM,47.533703,-122.365816,POINT (-122.365816 47.533703),F190084827
600 Broadway,Medic Response,07/10/2019 03:33:00 PM,47.607218,-122.320752,POINT (-122.320752 47.607218),F190072668
2326 California Av Sw,Aid Response,07/10/2019 03:33:00 PM,47.582838,-122.386485,POINT (-122.386485 47.582838),F190072669
2301 3rd Av,Trans to AMR,07/10/2019 03:33:00 PM,47.614705,-122.344794,POINT (-122.344794 47.614705),F190072670
1709 S Angeline St,Aid Response,05/02/2019 08:50:00 PM,47.560521,-122.310451,POINT (-122.310451 47.560521),F190044340
25th Av Ne / Ne 80th St,Aid Response,05/02/2019 08:51:00 PM,47.686674,-122.300869,POINT (-122.300869 47.686674),F190044341
8532 15th Av Nw,Medic Response,05/02/2019 08:59:00 PM,47.690901,-122.376806,POINT (-122.376806 47.690901),F190044342
325 5th Av N,Aid Response,05/02/2019 08:59:00 PM,47.621487,-122.347597,POINT (-122.347597 47.621487),F190044343
3130 Alaskan Way,Rubbish Fire,05/02/2019 09:03:00 PM,47.616824,-122.357604,POINT (-122.357604 47.616824),F190044346
9000 20th Av Sw,Aid Response,05/02/2019 09:03:00 PM,47.522863,-122.359142,POINT (-122.359142 47.522863),F190044344
1918 8th Av,Aid Response,05/02/2019 09:13:00 PM,47.615086,-122.335521,POINT (-122.335521 47.615086),F190044347
1300 E Pine St,Aid Response,11/23/2019 04:14:00 PM,47.615273,-122.315549,POINT (-122.315549 47.615273),F190124500
12721 4th Ave Nw,Low Acuity Response,06/29/2020 09:59:00 PM,47.721579,-122.362306,POINT (-122.362306 47.721579),F200063836
1124 Columbia St,Aid Response,05/15/2019 11:02:00 PM,47.608025,-122.323562,POINT (-122.323562 47.608025),F190049595
6526 18th Av Ne,Illegal Burn,05/15/2019 11:03:00 PM,47.675936,-122.308717,POINT (-122.308717 47.675936),F190049596
Terry Av / Lenora St,Aid Response,06/30/2019 07:36:00 PM,47.617818,-122.336177,POINT (-122.336177 47.617818),F190068677
9th Av / Howell St,Trans to AMR,06/20/2019 09:13:00 AM,47.614821,-122.333167,POINT (-122.333167 47.614821),F190064417
6514 40th Av Ne,1RED 1 Unit,06/20/2019 09:14:00 AM,47.675866,-122.284906,POINT (-122.284906 47.675866),F190064418
10507 Aurora Av N,Trans to AMR,06/20/2019 09:15:00 AM,47.705096,-122.344695,POINT (-122.344695 47.705096),F190064419
8233 22ND PL NE,Medic Response,06/30/2019 07:39:00 PM,47.688989,-122.303359,POINT (-122.303359 47.688989),F190068678
12521 33rd Ave Ne,Aid Response,03/03/2020 11:53:00 AM,47.719406,-122.292729,POINT (-122.292729 47.719406),F200022418
811 Maynard Av S,Aid Response,06/30/2019 07:54:00 PM,47.595741,-122.325068,POINT (-122.325068 47.595741),F190068682
4600 Union Bay Pl Ne,MVI - Motor Vehicle Incident,02/09/2020 03:42:00 PM,47.662152,-122.293613,POINT (-122.293613 47.662152),F200014262
9804 63rd Av S,Aid Response Yellow,06/30/2019 08:01:00 PM,47.513311,-122.254678,POINT (-122.254678 47.513311),F190068684
12500 30th Av Ne,MVI - Motor Vehicle Incident,06/29/2020 10:20:00 PM,47.719285,-122.296314,POINT (-122.296314 47.719285),F200063838
2100 3rd Av,Aid Response Yellow,06/29/2020 10:21:00 PM,47.613167,-122.342193,POINT (-122.342193 47.613167),F200063837
501 RAINIER AV S,Trans to AMR,06/29/2020 10:24:00 PM,47.598322,-122.3134,POINT (-122.3134 47.598322),F200063839
26th Av Nw / Nw Market St,MVI - Motor Vehicle Incident,05/02/2019 07:23:00 PM,47.668668,-122.390145,POINT (-122.390145 47.668668),F190044307
517 3rd Av,Aid Response,05/02/2019 07:25:00 PM,47.602172,-122.330863,POINT (-122.330863 47.602172),F190044308
2721 4th Av,Auto Fire Alarm,09/24/2020 04:54:00 AM,47.617908,-122.34823,POINT (-122.34823 47.617908),F200095366
9262 Rainier Av S,Aid Response,05/02/2019 07:26:00 PM,47.519853,-122.268364,POINT (-122.268364 47.519853),F190044309
11050 8TH AV NE,Aid Response,05/30/2019 02:02:00 PM,47.708935,-122.320569,POINT (-122.320569 47.708935),F190056092
23rd Av S / S Hill St,Investigate Out Of Service,05/30/2019 02:03:00 PM,47.584542,-122.30291,POINT (-122.30291 47.584542),F190056093
3516 32nd Av W,Aid Response,05/30/2019 02:47:00 PM,47.651486,-122.398245,POINT (-122.398245 47.651486),F190056111
4500 15th Av Nw,MVI Freeway,05/30/2019 02:48:00 PM,47.661872,-122.376106,POINT (-122.376106 47.661872),F190056113
2001 W Garfield St,Aid Response,05/30/2019 02:50:00 PM,47.633255,-122.378853,POINT (-122.378853 47.633255),F190056116
2020 S Jackson St,Alarm Bell,05/02/2019 08:03:00 PM,47.599261,-122.305258,POINT (-122.305258 47.599261),F190044327
2709 3rd Av,Aid Response,05/02/2019 08:14:00 PM,47.617176,-122.348974,POINT (-122.348974 47.617176),F190044328
222 5th Av N,Aid Response,05/02/2019 08:26:00 PM,47.619989,-122.347609,POINT (-122.347609 47.619989),F190044331
328 N 104th St,Aid Response Yellow,05/02/2019 08:26:00 PM,47.704358,-122.355065,POINT (-122.355065 47.704358),F190044332
1634 19th Av,Auto Fire Alarm,05/02/2019 08:29:00 PM,47.615761,-122.307433,POINT (-122.307433 47.615761),F190044334
621 3rd Av,Aid Response,05/02/2019 08:36:00 PM,47.602915,-122.331542,POINT (-122.331542 47.602915),F190044336
140 Broadway E,Aid Response,05/02/2019 08:49:00 PM,47.619205,-122.320862,POINT (-122.320862 47.619205),F190044339
3501 Rainier Av S,Triaged Incident,10/07/2020 02:45:00 AM,47.571853,-122.293193,POINT (-122.293193 47.571853),F200099673
4002 Wallingford Av N,Trans to AMR,01/07/2020 09:20:00 AM,47.655661,-122.336257,POINT (-122.336257 47.655661),F200002247
401 E Mercer St,Aid Response,01/07/2020 09:21:00 AM,47.624286,-122.326586,POINT (-122.326586 47.624286),F200002248
3RD AVE / PIKE ST,Triaged Incident,01/18/2020 04:44:00 PM,47.60975,-122.337793,POINT (-122.337793 47.60975),F200006308
1719 27th Ave,Triaged Incident,03/28/2020 01:19:00 PM,47.616677,-122.297463,POINT (-122.297463 47.616677),F200031068
2707 RAINIER AV S,MVI - Motor Vehicle Incident,10/22/2019 10:32:00 AM,47.579157,-122.298767,POINT (-122.298767 47.579157),F190112757
RAINIER AVE S / S JACKSON ST,Aid Response,09/24/2020 02:54:00 AM,47.59921,-122.314137,POINT (-122.314137 47.59921),F200095346
919 Stewart St,Trans to AMR,10/22/2019 10:37:00 AM,47.615745,-122.334269,POINT (-122.334269 47.615745),F190112758
1020 Ne 63rd St,Aid Response,04/25/2019 08:25:38 PM,47.674157,-122.317191,POINT (-122.317191 47.674157),F190041557
11409 Cornell Av S,Triaged Incident,10/22/2019 10:45:00 AM,47.501309,-122.241404,POINT (-122.241404 47.501309),F190112759
13000 Linden Av N,Aid Response,10/22/2019 10:46:00 AM,47.723218,-122.348195,POINT (-122.348195 47.723218),F190112760
6958 24th Av Sw,Aid Response,10/22/2019 10:48:00 AM,47.540149,-122.36298,POINT (-122.36298 47.540149),F190112762
1561 Alaskan Way S,Aid Response,10/22/2019 10:48:00 AM,47.589965,-122.3376,POINT (-122.3376 47.589965),F190112763
7920 Renton Av S,Aid Response,10/22/2019 10:49:00 AM,47.530938,-122.278128,POINT (-122.278128 47.530938),F190112764
1020 Ne 63rd St,Auto Fire Alarm,11/02/2019 05:10:00 AM,47.674157,-122.317191,POINT (-122.317191 47.674157),F190116765
4th Av S / S Orcas St,Aid Response,11/02/2019 07:25:00 AM,47.551875,-122.329565,POINT (-122.329565 47.551875),F190116785
3928 S Graham St,Auto Fire Alarm,08/09/2019 06:58:00 PM,47.546018,-122.283106,POINT (-122.283106 47.546018),F190084823
2nd Av Sw / 1st Av S,Hang-Up- Aid,08/09/2019 07:14:00 PM,47.534271,-122.336702,POINT (-122.336702 47.534271),F190084830
1205 Queen Anne Av N,Alarm Bell,08/09/2019 07:24:00 PM,47.629608,-122.356621,POINT (-122.356621 47.629608),F190084832
1501 17th Av,Aid Response,08/09/2019 07:35:00 PM,47.614106,-122.310161,POINT (-122.310161 47.614106),F190084836
4th Av / Lenora St,Aid Response,08/09/2019 07:41:00 PM,47.613831,-122.341333,POINT (-122.341333 47.613831),F190084837
2701 E Cherry St,Medic Response,08/09/2019 07:41:00 PM,47.608,-122.297838,POINT (-122.297838 47.608),F190084838
401 Lenora St,Aid Response,08/09/2019 07:41:00 PM,47.613838,-122.341324,POINT (-122.341324 47.613838),F190084839
1200 12th Av S,Rescue Elevator,08/09/2019 07:48:00 PM,47.592105,-122.317281,POINT (-122.317281 47.592105),F190084841
ROOSEVELT WAY NE / NE 130TH ST,MVI - Motor Vehicle Incident,06/30/2019 11:25:00 PM,47.722857,-122.323083,POINT (-122.323083 47.722857),F190068756
1635 11th Av,Trans to AMR,05/30/2019 05:23:00 PM,47.615659,-122.318166,POINT (-122.318166 47.615659),F190056177
Terry Av / Marion St,Aid Response,05/30/2019 05:31:00 PM,47.60816,-122.325598,POINT (-122.325598 47.60816),F190056178
2621 NE 46TH ST,Rescue Elevator,05/30/2019 05:33:00 PM,47.661793,-122.299062,POINT (-122.299062 47.661793),F190056180
5427 Beach Dr Sw,Aid Response,06/30/2019 11:32:00 PM,47.553979,-122.399267,POINT (-122.399267 47.553979),F190068757
1509 Broadway,Auto Fire Alarm,06/30/2019 11:34:00 PM,47.614171,-122.320782,POINT (-122.320782 47.614171),F190068758
1701 Dexter Av N,Rescue Elevator,08/09/2019 08:44:00 PM,47.633969,-122.342284,POINT (-122.342284 47.633969),F190084864
13000 LINDEN AV N,Aid Response,08/09/2019 08:44:00 PM,47.723218,-122.348195,POINT (-122.348195 47.723218),F190084865
2425 Sw Webster St,Aid Response,06/30/2019 11:36:00 PM,47.535522,-122.364086,POINT (-122.364086 47.535522),F190068760
700 Pike St,Trans to AMR,06/30/2019 11:58:00 PM,47.611606,-122.333354,POINT (-122.333354 47.611606),F190068768
1510 38th Av E,Medic Response,10/22/2019 10:12:00 AM,47.632289,-122.284067,POINT (-122.284067 47.632289),F190112750
13523 Linden Av N,Aid Response,10/22/2019 10:13:00 AM,47.726962,-122.347715,POINT (-122.347715 47.726962),F190112751
Broadway / E Pine St,Aid Response,11/29/2020 12:58:00 PM,47.615235,-122.320799,POINT (-122.320799 47.615235),F200117011
2547 13th Av W,Investigate Out Of Service,11/29/2020 01:01:00 PM,47.64242,-122.373678,POINT (-122.373678 47.64242),F200117012
8500 20th Ave Ne,Aid Response,03/28/2020 10:18:00 AM,47.690303,-122.306854,POINT (-122.306854 47.690303),F200031010
6517 36th Ave Sw,Aid Response,07/25/2020 09:31:00 AM,47.544551,-122.377795,POINT (-122.377795 47.544551),F200072807
7919 Wallingford Av N,Investigate Out Of Service,07/25/2020 09:32:00 AM,47.685867,-122.336758,POINT (-122.336758 47.685867),F200072808
2501 N Northlake Way,Auto Fire Alarm,06/16/2020 12:48:00 PM,47.651994,-122.329083,POINT (-122.329083 47.651994),F200059073
8509 9th Ave Nw,Investigate Out Of Service,03/15/2020 10:05:00 AM,47.690704,-122.368323,POINT (-122.368323 47.690704),F200026573
8699 26TH AVE NW,Aid Response,03/15/2020 10:47:00 AM,47.692042,-122.390321,POINT (-122.390321 47.692042),F200026580
E Pine St / 10th Av,Trans to AMR,04/25/2019 08:24:50 PM,47.615245,-122.319465,POINT (-122.319465 47.615245),F190041556
11311 31st Av Ne,Aid Response,05/02/2019 07:35:00 PM,47.710288,-122.294831,POINT (-122.294831 47.710288),F190044312
1601 E Yesler Way,Trans to AMR,05/02/2019 07:37:00 PM,47.601683,-122.311556,POINT (-122.311556 47.601683),F190044315
325 9th Av,Aid Response,05/02/2019 07:37:00 PM,47.603588,-122.322949,POINT (-122.322949 47.603588),F190044314
8201 Lake City Way Ne,Auto Fire Alarm,05/02/2019 07:37:00 PM,47.688503,-122.31076,POINT (-122.31076 47.688503),F190044313
424 Minor Av N,Aid Response,08/09/2019 10:03:00 PM,47.622242,-122.332995,POINT (-122.332995 47.622242),F190084884
7100 42nd Av S,Aid Response,05/02/2019 07:40:00 PM,47.538758,-122.280767,POINT (-122.280767 47.538758),F190044316
1701 18th Av S,Aid Response,05/02/2019 07:42:00 PM,47.588414,-122.309467,POINT (-122.309467 47.588414),F190044317
3rd Av / Columbia St,Aid Response,05/02/2019 07:43:00 PM,47.604197,-122.332714,POINT (-122.332714 47.604197),F190044318
Ne 65th St / Roosevelt Way Ne,Aid Response,07/30/2019 04:59:00 PM,47.675829,-122.317363,POINT (-122.317363 47.675829),F190080754
3204 Sw Morgan St,Aid Response,05/02/2019 07:46:00 PM,47.544669,-122.373777,POINT (-122.373777 47.544669),F190044319
8332 Beacon Av S,Aid Response,05/02/2019 07:48:00 PM,47.5291,-122.2878,POINT (-122.2878 47.5291),F190044320
2100 14th Av S,Aid Response,07/30/2019 05:04:00 PM,47.584548,-122.314684,POINT (-122.314684 47.584548),F190080755
3001 S Myrtle St,Aid Response,07/30/2019 05:04:00 PM,47.538902,-122.293225,POINT (-122.293225 47.538902),F190080756
Broadway E / E John St,Aid Response,07/30/2019 05:05:00 PM,47.619908,-122.320873,POINT (-122.320873 47.619908),F190080757
12311 32nd Av Ne,Rescue Elevator,07/30/2019 05:09:00 PM,47.717461,-122.293978,POINT (-122.293978 47.717461),F190080758
12020 5th Av Ne,Aid Response Yellow,12/16/2019 12:04:00 AM,47.715975,-122.323489,POINT (-122.323489 47.715975),F190132242
326 W Mercer St,Aid Response,07/30/2019 05:10:00 PM,47.6246,-122.360961,POINT (-122.360961 47.6246),F190080759
4800 Sand Point Way Ne,Aid Response,07/30/2019 05:13:00 PM,47.664275,-122.283475,POINT (-122.283475 47.664275),F190080760
511 Olive Way,Aid Response,07/30/2019 05:14:00 PM,47.612717,-122.337269,POINT (-122.337269 47.612717),F190080761
1522 Taylor Av N,Aid Response Yellow,12/16/2019 12:07:00 AM,47.632483,-122.345953,POINT (-122.345953 47.632483),F190132243
5433 Leary Av Nw,Aid Response Yellow,05/02/2019 08:00:00 PM,47.66749,-122.383093,POINT (-122.383093 47.66749),F190044323
415 10th Av,Aid Response,05/02/2019 08:02:00 PM,47.605346,-122.319413,POINT (-122.319413 47.605346),F190044324
219 Broadway E,Aid Response,05/02/2019 08:02:00 PM,47.620123,-122.320876,POINT (-122.320876 47.620123),F190044325
2611 S Dearborn St,Aid Response,05/02/2019 08:02:00 PM,47.595541,-122.298643,POINT (-122.298643 47.595541),F190044326
12th Ave / E Pine St,Aid Response,01/29/2020 09:13:00 PM,47.615264,-122.316854,POINT (-122.316854 47.615264),F200010304
Madison St / Western Ave,Rubbish Fire,11/29/2020 12:52:00 PM,47.60423,-122.337349,POINT (-122.337349 47.60423),F200117007
1520 4th Av,Aid Response,06/20/2019 09:18:00 AM,47.610393,-122.336847,POINT (-122.336847 47.610393),F190064420
4547 Renton Av S,Aid Response,05/09/2019 07:42:00 AM,47.562114,-122.291689,POINT (-122.291689 47.562114),F190046852
720 3rd Av,Aid Response,05/09/2019 07:42:00 AM,47.603622,-122.332188,POINT (-122.332188 47.603622),F190046853
5301 Leary Av Nw,Medic Response,12/27/2019 08:46:00 AM,47.666675,-122.382133,POINT (-122.382133 47.666675),F190136350
116 Pike St,Aid Response,08/19/2019 11:16:00 PM,47.608897,-122.339832,POINT (-122.339832 47.608897),F190088814
1410 Western Av,Bark Fire,08/19/2019 11:19:00 PM,47.607455,-122.340299,POINT (-122.340299 47.607455),F190088815
2100 3rd Av,Aid Response,08/19/2019 11:20:00 PM,47.613167,-122.342193,POINT (-122.342193 47.613167),F190088816
401 Ne Northgate Way,Aid Response,05/23/2019 01:40:00 PM,47.708602,-122.324588,POINT (-122.324588 47.708602),F190052354
15th Av Ne / Ne 145th St,Aid Response,05/23/2019 01:41:00 PM,47.733952,-122.312749,POINT (-122.312749 47.733952),F190052355
2542 57th Av Sw,Aid Response,05/23/2019 01:42:00 PM,47.580392,-122.405219,POINT (-122.405219 47.580392),F190052356
3811 NE 95TH ST,Medic Response,05/23/2019 01:42:00 PM,47.697433,-122.287248,POINT (-122.287248 47.697433),F190052357
3501 Rainier Av S,Aid Response,12/27/2019 08:48:00 AM,47.571853,-122.293193,POINT (-122.293193 47.571853),F190136351
Ne 80th St / Lake City Way Ne,MVI - Motor Vehicle Incident,09/11/2020 04:30:00 PM,47.686689,-122.313357,POINT (-122.313357 47.686689),F200090825
4700 Phinney Av N,Medic Response,12/27/2019 08:54:00 AM,47.66288,-122.353974,POINT (-122.353974 47.66288),F190136353
411 Ne 80th St,Medic Response,12/27/2019 08:58:00 AM,47.686801,-122.324175,POINT (-122.324175 47.686801),F190136354
200 S Holgate St,MVI - Motor Vehicle Incident,12/15/2019 09:50:00 PM,47.586176,-122.331999,POINT (-122.331999 47.586176),F190132218
803 S LANE ST,Medic Response,05/09/2019 07:47:00 AM,47.59667,-122.32229,POINT (-122.32229 47.59667),F190046855
9600 College Way N,Electrical Problem,05/09/2019 07:51:00 AM,47.698678,-122.33505,POINT (-122.33505 47.698678),F190046856
5520 S Juniper St,Medic Response,05/09/2019 08:02:00 AM,47.495575,-122.264034,POINT (-122.264034 47.495575),F190046858
8909 14th Av S,Trans to AMR,11/02/2019 03:51:00 AM,47.523814,-122.314954,POINT (-122.314954 47.523814),F190116748
1416 Nw 46th St,AFA4 - Auto Alarm 2 + 1 + 1,11/02/2019 03:54:00 AM,47.662203,-122.373988,POINT (-122.373988 47.662203),F190116750
6017 19th Av S,Medic Response,11/02/2019 03:57:00 AM,47.548572,-122.308762,POINT (-122.308762 47.548572),F190116752
504 5th Av,Trans to AMR,11/02/2019 04:10:00 AM,47.603007,-122.328555,POINT (-122.328555 47.603007),F190116754
1020 S Myrtle St,Aid Response,07/10/2019 03:01:00 PM,47.539433,-122.320138,POINT (-122.320138 47.539433),F190072659
4800 Sand Point Way Ne,Aid Response,07/10/2019 03:01:00 PM,47.664275,-122.283475,POINT (-122.283475 47.664275),F190072660
308 14th Av E,Auto Fire Alarm,07/10/2019 03:03:00 PM,47.62118,-122.314685,POINT (-122.314685 47.62118),F190072661
1923 3rd Av,Aid Response,07/10/2019 03:06:00 PM,47.611802,-122.339884,POINT (-122.339884 47.611802),F190072662
13355 Lake City Way Ne,Aid Response,07/10/2019 03:12:00 PM,47.72518,-122.292456,POINT (-122.292456 47.72518),F190072664
2120 Rainier Av S,Trans to AMR,07/10/2019 03:29:00 PM,47.584361,-122.302765,POINT (-122.302765 47.584361),F190072665
8432 10th Av Sw,Medic Response,07/10/2019 03:31:00 PM,47.528013,-122.348028,POINT (-122.348028 47.528013),F190072666
9600 9th Av Nw,Automatic Medical Alarm,11/12/2019 06:08:00 PM,47.699243,-122.368727,POINT (-122.368727 47.699243),F190120684
Rainier Av S / S Charles St,Aid Response,11/12/2019 06:17:00 PM,47.594072,-122.31015,POINT (-122.31015 47.594072),F190120687
20th Av Nw / Nw 57th St,Aid Response,05/30/2019 05:33:00 PM,47.67018,-122.382134,POINT (-122.382134 47.67018),F190056179
4103 21st Av Sw,Aid Response,05/30/2019 05:35:00 PM,47.566592,-122.360116,POINT (-122.360116 47.566592),F190056181
12701 Greenwood Av N,Aid Response,05/30/2019 05:41:00 PM,47.721418,-122.355543,POINT (-122.355543 47.721418),F190056182
10500 51st Av S,Aid Response,09/21/2019 01:04:00 AM,47.506583,-122.270133,POINT (-122.270133 47.506583),F190101089
318 2nd Av Et S,Trans to AMR,10/12/2019 06:51:00 AM,47.600194,-122.330541,POINT (-122.330541 47.600194),F190108976
270 S Hanford St,Triaged Incident,01/18/2020 04:54:00 PM,47.575571,-122.33052,POINT (-122.33052 47.575571),F200006314
1200 University St,Aid Response,09/21/2019 01:07:00 AM,47.611943,-122.325987,POINT (-122.325987 47.611943),F190101090
16th Av / E Yesler Way,Activated CO Detector,09/21/2019 01:08:00 AM,47.601683,-122.311569,POINT (-122.311569 47.601683),F190101091
1020 S Myrtle St,Trans to AMR,06/29/2020 10:26:00 PM,47.539433,-122.320138,POINT (-122.320138 47.539433),F200063840
E Howell St / Harvard Av,4RED - 2 + 1 + 1,11/02/2019 03:16:00 AM,47.617563,-122.322168,POINT (-122.322168 47.617563),F190116743
221 W Mercer St,Aid Response,11/12/2019 03:08:00 PM,47.624593,-122.359588,POINT (-122.359588 47.624593),F190120638
3955 S Pilgrim St,Food On The Stove,06/29/2020 10:49:00 PM,47.515708,-122.283664,POINT (-122.283664 47.515708),F200063841
2721 4th Av,Aid Response,02/09/2020 03:44:00 PM,47.617908,-122.34823,POINT (-122.34823 47.617908),F200014263
Summit Av / Madison St,Aid Response,06/30/2019 08:07:00 PM,47.610267,-122.322918,POINT (-122.322918 47.610267),F190068686
308 14TH AV E,Triaged Incident,02/09/2020 03:46:00 PM,47.62118,-122.314685,POINT (-122.314685 47.62118),F200014264
2600 Sw Barton St,Aid Response,08/09/2019 07:50:00 PM,47.521022,-122.365894,POINT (-122.365894 47.521022),F190084842
517 3rd Av,Aid Response,02/21/2020 06:50:00 AM,47.602172,-122.330863,POINT (-122.330863 47.602172),F200018522
317 Marion St,Aid Response,05/21/2020 09:33:00 PM,47.604991,-122.333174,POINT (-122.333174 47.604991),F200048436
2701 4TH AV S,4RED - 2 + 1 + 1,03/15/2020 10:52:00 AM,47.579798,-122.329057,POINT (-122.329057 47.579798),F200026581
411 11th Av,Aid Response,03/15/2020 11:24:00 AM,47.605302,-122.318108,POINT (-122.318108 47.605302),F200026588
915 E PINE ST,Rescue Elevator,12/15/2019 09:55:00 PM,47.615237,-122.320554,POINT (-122.320554 47.615237),F190132219
450 Ne 100th St,Aid Response,12/15/2019 09:59:00 PM,47.701329,-122.323684,POINT (-122.323684 47.701329),F190132220
Roosevelt Way Ne / Ne 112th St,Aid Response,12/15/2019 10:06:00 PM,47.709789,-122.317871,POINT (-122.317871 47.709789),F190132221
Lake City Way Ne / 15th Av Ne,MVI - Motor Vehicle Incident,05/09/2019 08:17:00 AM,47.687516,-122.312173,POINT (-122.312173 47.687516),F190046859
42nd Av Sw / Sw Alaska St,Car Fire,05/09/2019 08:30:00 AM,47.561101,-122.385457,POINT (-122.385457 47.561101),F190046860
8th Av Nw / Nw 57th St,Aid Response,05/09/2019 08:48:00 AM,47.67016,-122.366174,POINT (-122.366174 47.67016),F190046864
400 Mercer St,Aid Response,05/16/2019 05:05:00 AM,47.624564,-122.348877,POINT (-122.348877 47.624564),F190049639
1711 23rd Av S,Medic Response,05/16/2019 05:06:00 AM,47.58821,-122.302596,POINT (-122.302596 47.58821),F190049640
2020 S Jackson St,Automatic Medical Alarm,05/09/2019 08:51:00 AM,47.599261,-122.305258,POINT (-122.305258 47.599261),F190046865
3rd Av / James St,Aid Response,05/09/2019 08:52:00 AM,47.602769,-122.331409,POINT (-122.331409 47.602769),F190046866
4th Av / Columbia St,Aid Response,05/09/2019 08:54:00 AM,47.604662,-122.331604,POINT (-122.331604 47.604662),F190046868
2056 Nw Market St,Aid Response,05/09/2019 08:57:00 AM,47.668677,-122.383462,POINT (-122.383462 47.668677),F190046869
Stewart St / Boren Av,Aid Response,05/09/2019 09:00:00 AM,47.616945,-122.332718,POINT (-122.332718 47.616945),F190046871
14th Av Nw / Nw 54th St,Aid Response,05/09/2019 09:06:00 AM,47.66789,-122.373589,POINT (-122.373589 47.66789),F190046872
2720 E Madison St,Trans to AMR,05/09/2019 09:10:00 AM,47.623153,-122.296667,POINT (-122.296667 47.623153),F190046873
13653 26th Av Ne,Medic Response,10/22/2019 10:17:00 AM,47.728039,-122.300489,POINT (-122.300489 47.728039),F190112752
1201 Ne Campus Pkwy,Aid Response,05/15/2019 11:18:00 PM,47.656013,-122.315699,POINT (-122.315699 47.656013),F190049597
28th Ave Nw / Nw Esplanade,Investigate Out Of Service,11/02/2020 12:46:00 PM,47.7003,-122.393493,POINT (-122.393493 47.7003),F200108493
1420 Western Av,Bark Fire,08/19/2019 11:21:00 PM,47.607557,-122.340392,POINT (-122.340392 47.607557),F190088817
3rd Av / Virginia St,Aid Response,08/19/2019 11:23:00 PM,47.612398,-122.340892,POINT (-122.340892 47.612398),F190088818
Aurora Av N / N 93rd St,MVI - Motor Vehicle Incident,07/20/2019 03:34:00 PM,47.69636,-122.344591,POINT (-122.344591 47.69636),F190076724
5611 University Way Ne,AFA4 - Auto Alarm 2 + 1 + 1,06/03/2020 05:39:00 PM,47.6696,-122.313025,POINT (-122.313025 47.6696),F200054804
1301 1st Av,Auto Fire Alarm,09/10/2019 03:21:00 PM,47.606835,-122.338197,POINT (-122.338197 47.606835),F190097188
2611 S Dearborn St,Aid Response,09/10/2019 03:25:00 PM,47.595541,-122.298643,POINT (-122.298643 47.595541),F190097189
1915 Terry Av,Aid Response,03/03/2020 11:59:00 AM,47.616391,-122.333763,POINT (-122.333763 47.616391),F200022424
516 3rd Av,Aid Response,03/03/2020 11:59:00 AM,47.602165,-122.330856,POINT (-122.330856 47.602165),F200022422
4th Av S / S Horton St,Aid Response,07/20/2019 03:37:00 PM,47.574384,-122.329059,POINT (-122.329059 47.574384),F190076727
503 S Royal Brougham Way,Trans to AMR,04/25/2019 08:32:17 PM,47.592399,-122.327256,POINT (-122.327256 47.592399),F190041558
1200 Boylston Av,Aid Response,11/02/2019 04:33:00 AM,47.612158,-122.323113,POINT (-122.323113 47.612158),F190116756
1811 Eastlake Av,Trans to AMR,07/20/2019 03:41:00 PM,47.618002,-122.329182,POINT (-122.329182 47.618002),F190076729
3rd Av W / W Mcgraw St,Aid Response,11/02/2019 04:37:00 AM,47.639597,-122.360931,POINT (-122.360931 47.639597),F190116757
8511 15th Av Ne,Aid Response,02/09/2020 04:48:00 PM,47.690434,-122.31223,POINT (-122.31223 47.690434),F200014279
10th Ave / E Pine St,Aid Response,01/18/2020 02:43:00 PM,47.615245,-122.319465,POINT (-122.319465 47.615245),F200006281
1513 Nw 90th St,1RED 1 Unit,01/18/2020 02:46:00 PM,47.694687,-122.377392,POINT (-122.377392 47.694687),F200006282
Occidental Av S / S Massachusetts St,Aid Response,07/20/2019 03:48:00 PM,47.588228,-122.333264,POINT (-122.333264 47.588228),F190076731
Elliott Av W / W Roy St,Aid Response,07/20/2019 03:48:00 PM,47.626585,-122.368357,POINT (-122.368357 47.626585),F190076732
13000 Linden Av N,Aid Response Yellow,02/09/2020 05:55:00 PM,47.723218,-122.348195,POINT (-122.348195 47.723218),F200014293
