Incident #,Alarm Time,Call Type,Incident Type,Response Time (Median),Incident Duration,Stations,Units,Unit Count,GeoJSON,geo_point_2d
18-1000264,2018-10-11,Medical,Alcohol or drug related,5.17,24.93,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.596615484917, 44.264358270793416]}","44.2643582708,-76.5966154849"
18-1000265,2018-10-11,Other,Gas Leak - Natural Gas,5.5,18.6,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.51850490041886, 44.23150094111301]}","44.2315009411,-76.5185049004"
18-1000269,2018-10-12,Medical,Alcohol or drug related,3.8,10.07,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49186708903308, 44.232707831420015]}","44.2327078314,-76.491867089"
18-1000278,2018-10-12,Motor Vehicle Accident,Vehicle Collision,0.07,28.27,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.55657731188035, 44.25763302566094]}","44.2576330257,-76.5565773119"
18-1000280,2018-10-12,Medical,Medical/resuscitator call no action required,8.87,9.37,GORE RD,"P231,U231",2,"{""type"": ""Point"", ""coordinates"": [-76.42820397027947, 44.30237901804025]}","44.302379018,-76.4282039703"
18-1000290,2018-10-12,False Fire Call,"Human - Malicious intent, prank",4.13,11.38,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.4976086702093, 44.22439704544648]}","44.2243970454,-76.4976086702"
18-1000305,2018-10-13,Other,Gas Leak - Natural Gas,7.56,103.98,"BROCK ST,DAYS RD,WOODBINE RD","A271,C241,P201,P241",4,"{""type"": ""Point"", ""coordinates"": [-76.55633238386064, 44.21410037608304]}","44.2141003761,-76.5563323839"
18-1000309,2018-10-13,Fire,Other Cooking/toasting/smoke/steam (no fire),5.5,31.02,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.52408602818419, 44.240785614553424]}","44.2407856146,-76.5240860282"
18-1000315,2018-10-13,Medical,Alcohol or drug related,3.28,11.93,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49798690605803, 44.232269894315145]}","44.2322698943,-76.4979869061"
18-1000329,2018-10-14,Other,Other Response,13.73,26.63,"38 HY,UNITY RD","C281,P291",2,"{""type"": ""Point"", ""coordinates"": [-76.69153873774309, 44.3424868039436]}","44.3424868039,-76.6915387377"
18-1000332,2018-10-14,Medical,Alcohol or drug related,5.7,9.68,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.52047410024477, 44.2559472826595]}","44.2559472827,-76.5204741002"
18-1000334,2018-10-15,Fire,Other pre fire conditions (no fire),5.13,38.88,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48485598825677, 44.22940311648343]}","44.2294031165,-76.4848559883"
18-1000343,2018-10-15,False Fire Call,Alarm System Equipment - Accidental activation (ex,6.07,14.8,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.51125300100507, 44.23919004772462]}","44.2391900477,-76.511253001"
18-1000347,2018-10-15,Water Rescue,Water Rescue,5.57,39.73,"BROCK ST,PALACE RD","C241,P241,P261,TE241",4,"{""type"": ""Point"", ""coordinates"": [-76.48200350759053, 44.226648922109504]}","44.2266489221,-76.4820035076"
18-1000348,2018-10-15,Other,"CO incident, CO present (exc false alarms)",14.43,50.28,GORE RD,"P231,U231",2,"{""type"": ""Point"", ""coordinates"": [-76.41018343754462, 44.27039697156926]}","44.2703969716,-76.4101834375"
18-1000375,2018-10-16,Motor Vehicle Accident,Vehicle Collision,9.3,31.05,"GORE RD,JOYCEVILLE RD,UNITY RD","A231,C281,P211,P231",4,"{""type"": ""Point"", ""coordinates"": [-76.37426866299397, 44.3210090251372]}","44.3210090251,-76.374268663"
18-1000377,2018-10-16,False Fire Call,Human - Accidental (alarm accidentally activated b,3.45,22.13,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.47920263232331, 44.230504170821824]}","44.2305041708,-76.4792026323"
18-1000379,2018-10-16,Other,Assistance not required by other agency,6.07,8.13,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.51319965440864, 44.23384046564428]}","44.2338404656,-76.5131996544"
18-1000381,2018-10-16,False Fire Call,Human - Accidental (alarm accidentally activated b,3.35,26.32,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50120273625757, 44.23543924918894]}","44.2354392492,-76.5012027363"
18-1000389,2018-10-17,Motor Vehicle Accident,Vehicle Collision,5.62,29.08,"PALACE RD,WOODBINE RD","P262,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.55738705018226, 44.228376037240146]}","44.2283760372,-76.5573870502"
18-1000390,2018-10-17,Medical,Oxygen administered,3.88,28.05,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.5789322283414, 44.244718902637686]}","44.2447189026,-76.5789322283"
18-1000399,2018-10-17,Medical,Medical/resuscitator call no action required,3.28,6.35,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48010758725934, 44.2316722900237]}","44.23167229,-76.4801075873"
18-1000407,2018-10-18,False Fire Call,Other False Fire Call,5.38,10.72,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.49153001242641, 44.24374896145938]}","44.2437489615,-76.4915300124"
18-1000416,2018-10-18,False Fire Call,Other False Fire Call,4.1,28.3,GORE RD,"P231,U231",2,"{""type"": ""Point"", ""coordinates"": [-76.46107072507472, 44.24007822884638]}","44.2400782288,-76.4610707251"
18-1000417,2018-10-18,Other,"Power Lines Down, Arcing",3.33,7.38,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.4855511725725, 44.244128890092156]}","44.2441288901,-76.4855511726"
18-1000421,2018-10-18,Motor Vehicle Accident,Vehicle Collision,3.73,22.13,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.48565728162359, 44.23960000686023]}","44.2396000069,-76.4856572816"
18-1000425,2018-10-19,Other,Other Response,6.93,14.87,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48549076343687, 44.260036764541525]}","44.2600367645,-76.4854907634"
18-1000428,2018-10-19,False Fire Call,Human - Perceived Emergency,5.5,31.83,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.50463608904582, 44.240642621808604]}","44.2406426218,-76.504636089"
18-1000430,2018-10-19,Medical,Medical/resuscitator call no action required,8.32,17.58,38 HY,P291,1,"{""type"": ""Point"", ""coordinates"": [-76.70633905485549, 44.34809183864721]}","44.3480918386,-76.7063390549"
18-1000432,2018-10-19,Medical,CPR administered,2.18,12.52,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48806362669652, 44.23290384925047]}","44.2329038493,-76.4880636267"
18-1000434,2018-10-19,Medical,Oxygen administered,6.82,26.98,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49007769162112, 44.26045329546309]}","44.2604532955,-76.4900776916"
18-1000440,2018-10-19,Medical,Other Medical/Resuscitator Call,2.12,10.12,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.488440756298, 44.22487880616146]}","44.2248788062,-76.4884407563"
18-1000442,2018-10-19,Fire,Other Cooking/toasting/smoke/steam (no fire),3.62,8.75,BROCK ST,"L241,P241,P242",3,"{""type"": ""Point"", ""coordinates"": [-76.48691801639073, 44.22709620073853]}","44.2270962007,-76.4869180164"
18-1000447,2018-10-19,Motor Vehicle Accident,Vehicle Collision,15.12,17.62,"38 HY,BROCK ST,WOODBINE RD","B241,P271,P272,P291",4,"{""type"": ""Point"", ""coordinates"": [-76.59970306133334, 44.28376894939159]}","44.2837689494,-76.5997030613"
18-1000450,2018-10-19,Fire,NO LOSS OUTDOOR fire (see exclusions),6.62,19.17,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50546048734185, 44.24200350673503]}","44.2420035067,-76.5054604873"
18-1000454,2018-10-20,Medical,Alcohol or drug related,4.65,13.68,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51888402841605, 44.22044812352836]}","44.2204481235,-76.5188840284"
18-1000459,2018-10-20,Medical,"Accident or illness related - cuts, fractures, per",0.03,7.42,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49432521698368, 44.232796239790154]}","44.2327962398,-76.494325217"
18-1000467,2018-10-20,False Fire Call,"Human - Malicious intent, prank",2.37,8.62,BROCK ST,"L241,P241,P242",3,"{""type"": ""Point"", ""coordinates"": [-76.49477621863522, 44.23375245795316]}","44.233752458,-76.4947762186"
18-1000470,2018-10-20,Medical,Alcohol or drug related,3.08,11.63,BROCK ST,P242,1,"{""type"": ""Point"", ""coordinates"": [-76.49498619845988, 44.23112134220132]}","44.2311213422,-76.4949861985"
18-1000471,2018-10-20,Medical,Alcohol or drug related,3.9,18.42,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51233768124928, 44.2317155092788]}","44.2317155093,-76.5123376812"
18-1000475,2018-10-20,Medical,Alcohol or drug related,2.33,18.93,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49426262775239, 44.231967173263115]}","44.2319671733,-76.4942626278"
18-1000482,2018-10-20,False Fire Call,Alarm System Equipment - Accidental activation (ex,3.43,8.08,"BROCK ST,PALACE RD","P241,P261",2,"{""type"": ""Point"", ""coordinates"": [-76.48323173375704, 44.23529269354535]}","44.2352926935,-76.4832317338"
18-1000488,2018-10-21,CO Alarm,CO false alarm - perceived emergency (no CO presen,5.6,21.7,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.57900177540876, 44.26039632787021]}","44.2603963279,-76.5790017754"
18-1000490,2018-10-21,Other,Public Hazard call false alarm,5.03,14.7,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48293473366418, 44.23306251564361]}","44.2330625156,-76.4829347337"
18-1000498,2018-10-21,Medical,Medical/resuscitator call no action required,4.07,9.45,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48849912994768, 44.2549441930629]}","44.2549441931,-76.4884991299"
18-1000500,2018-10-22,Other,Incident not found,5.37,16.9,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48849912994768, 44.2549441930629]}","44.2549441931,-76.4884991299"
18-1000502,2018-10-22,Medical,"Vital signs absent, DOA",4.8,12.38,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.53406408178425, 44.236419988627574]}","44.2364199886,-76.5340640818"
18-1000503,2018-10-22,False Fire Call,Other False Fire Call,4.03,6.52,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49768586403857, 44.22611906685335]}","44.2261190669,-76.497685864"
18-1000504,2018-10-22,Medical,Seizure,4.38,18.85,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.48404628837437, 44.23934877631241]}","44.2393487763,-76.4840462884"
18-1000528,2018-10-22,False Fire Call,Human - Accidental (alarm accidentally activated b,8.01,42.22,"BROCK ST,GORE RD","A231,C231,L241,P231,P241",5,"{""type"": ""Point"", ""coordinates"": [-76.45710129758896, 44.24421751241507]}","44.2442175124,-76.4571012976"
18-1000540,2018-10-23,False Fire Call,Alarm System Equipment - Accidental activation (ex,3.88,9.48,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.48744605659597, 44.2318809566744]}","44.2318809567,-76.4874460566"
18-1000560,2018-10-23,Medical,Medical/resuscitator call no action required,5.03,8.52,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.50220111389214, 44.23058972307636]}","44.2305897231,-76.5022011139"
18-1000562,2018-10-23,False Fire Call,Human - Perceived Emergency,9.8,25.78,"38 HY,GORE RD,RAILWAY ST,UNITY RD","C231,P231,P251,P281,P291,R231,T231,T281,T291",9,"{""type"": ""Point"", ""coordinates"": [-76.46998784613207, 44.31122936190935]}","44.3112293619,-76.4699878461"
18-1000564,2018-10-23,Motor Vehicle Accident,Vehicle Collision,3.88,8.35,"PALACE RD,WOODBINE RD","P262,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.57144827918368, 44.256764884199164]}","44.2567648842,-76.5714482792"
18-1000565,2018-10-23,Fire,Other Cooking/toasting/smoke/steam (no fire),6.83,22.4,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.50553261998584, 44.268836394310775]}","44.2688363943,-76.50553262"
18-1000568,2018-10-23,Medical,Oxygen administered,5.08,23.82,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.61095406216268, 44.24827857714117]}","44.2482785771,-76.6109540622"
18-1000591,2018-10-24,False Fire Call,Human - Accidental (alarm accidentally activated b,3.89,8.58,BROCK ST,"L241,P241,P242",3,"{""type"": ""Point"", ""coordinates"": [-76.5075610520104, 44.23853023606058]}","44.2385302361,-76.507561052"
18-1000595,2018-10-24,Motor Vehicle Accident,Vehicle Collision,,5.95,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.52414817403951, 44.24879457292734]}","44.2487945729,-76.524148174"
18-1000600,2018-10-24,False Fire Call,Other False Fire Call,3.07,15.73,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49640078708119, 44.230774477450375]}","44.2307744775,-76.4964007871"
18-1000604,2018-10-25,Fire,Other Cooking/toasting/smoke/steam (no fire),5.8,29.08,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P242,P251",5,"{""type"": ""Point"", ""coordinates"": [-76.52414817403951, 44.24879457292734]}","44.2487945729,-76.524148174"
18-1000605,2018-10-25,Fire,Fire,4.38,41.4,"BROCK ST,PALACE RD,RAILWAY ST","C241,L261,P241,P242,P251",5,"{""type"": ""Point"", ""coordinates"": [-76.49531426367324, 44.23958166188643]}","44.2395816619,-76.4953142637"
18-1000611,2018-10-25,CO Alarm,CO false alarm - equipment malfunction (no CO pres,4.53,13.78,PALACE RD,P262,1,"{""type"": ""Point"", ""coordinates"": [-76.57808060855655, 44.23222183474671]}","44.2322218347,-76.5780806086"
18-1000616,2018-10-25,Medical,Alcohol or drug related,3.15,10.92,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.49426262775239, 44.231967173263115]}","44.2319671733,-76.4942626278"
18-1000621,2018-10-25,False Fire Call,Human - Accidental (alarm accidentally activated b,3.38,22.3,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49782923975242, 44.23073212241198]}","44.2307321224,-76.4978292398"
18-1000626,2018-10-25,False Fire Call,Alarm System Equipment - Malfunction,4.48,8.13,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50811872946198, 44.23508663230796]}","44.2350866323,-76.5081187295"
18-1000627,2018-10-25,False Fire Call,Human - Perceived Emergency,7.52,63.33,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48846891692068, 44.26729899222168]}","44.2672989922,-76.4884689169"
18-1000637,2018-10-26,Medical,Medical Aid Not Required on Arrival,4.0,17.42,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.57145448442652, 44.2629129783371]}","44.2629129783,-76.5714544844"
18-1000639,2018-10-26,Other,Spill - Toxic Chemical,6.08,24.05,"BROCK ST,RAILWAY ST","C241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.50889349420783, 44.264219570851594]}","44.2642195709,-76.5088934942"
18-1000659,2018-10-27,Other,Other Public Service,4.72,13.0,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51892407016906, 44.22833487881462]}","44.2283348788,-76.5189240702"
18-1000663,2018-10-27,False Fire Call,Alarm System Equipment - Malfunction,6.55,39.7,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.53408992854744, 44.2542029442182]}","44.2542029442,-76.5340899285"
18-1000664,2018-10-27,Other,Call cancelled on route,,3.6,"PALACE RD,RAILWAY ST,WOODBINE RD","P251,P262,P271",3,"{""type"": ""Point"", ""coordinates"": [-76.49768586403857, 44.22611906685335]}","44.2261190669,-76.497685864"
18-1000666,2018-10-27,Motor Vehicle Accident,Vehicle Collision,6.38,41.48,"PALACE RD,WOODBINE RD","P262,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.60587739695531, 44.245449907958836]}","44.245449908,-76.605877397"
18-1000676,2018-10-28,Other,Other Response,9.5,117.02,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.49095854615207, 44.25233246463797]}","44.2523324646,-76.4909585462"
18-1000678,2018-10-28,False Fire Call,Alarm System Equipment - Malfunction,5.7,25.72,BROCK ST,"L241,P241,P242",3,"{""type"": ""Point"", ""coordinates"": [-76.51646871396082, 44.24004854395998]}","44.240048544,-76.516468714"
18-1000679,2018-10-28,Other,Other Public Hazard,9.07,29.68,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.61510419146181, 44.24547922752041]}","44.2454792275,-76.6151041915"
18-1000680,2018-10-29,Motor Vehicle Accident,Vehicle Collision,3.45,15.52,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.48203749236336, 44.256283139836825]}","44.2562831398,-76.4820374924"
18-1000695,2018-10-29,Fire,Open air burning/unauthorized controlled burning (,5.23,18.28,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.49430232270093, 44.265852498343556]}","44.2658524983,-76.4943023227"
18-1000698,2018-10-29,Fire,Other Cooking/toasting/smoke/steam (no fire),3.78,39.47,"BROCK ST,RAILWAY ST,WOODBINE RD","C241,L241,P241,P251,P271",5,"{""type"": ""Point"", ""coordinates"": [-76.47761378371699, 44.235350832127565]}","44.2353508321,-76.4776137837"
18-1000699,2018-10-29,False Fire Call,Alarm System Equipment - Accidental activation (ex,3.93,17.47,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.49709302509763, 44.240269547664106]}","44.2402695477,-76.4970930251"
18-1000701,2018-10-29,False Fire Call,"Human - Malicious intent, prank",4.97,23.58,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.52672115281999, 44.23819485440534]}","44.2381948544,-76.5267211528"
18-1000705,2018-10-30,Medical,Medical Aid Not Required on Arrival,3.82,14.87,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.48404628837437, 44.23934877631241]}","44.2393487763,-76.4840462884"
18-1000714,2018-10-30,Medical,Medical Aid Not Required on Arrival,7.65,8.42,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.51546083508327, 44.22186977894822]}","44.2218697789,-76.5154608351"
18-1000720,2018-10-30,Fire,NO LOSS OUTDOOR fire (see exclusions),7.43,54.83,"PALACE RD,WOODBINE RD","P262,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.55487970543875, 44.27639726571657]}","44.2763972657,-76.5548797054"
18-1000722,2018-10-30,Other,Public Hazard call false alarm,12.58,27.13,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.59182865034411, 44.23798969743276]}","44.2379896974,-76.5918286503"
18-1000723,2018-10-30,False Fire Call,Alarm System Equipment - Malfunction,3.72,14.82,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49341646208595, 44.22367897651186]}","44.2236789765,-76.4934164621"
18-1000725,2018-10-31,False Fire Call,Other False Fire Call,4.37,9.67,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50419204094995, 44.238499976571134]}","44.2384999766,-76.5041920409"
18-1000747,2018-10-31,False Fire Call,Alarm System Equipment - Malfunction,5.05,21.08,WOODBINE RD,P271,1,"{""type"": ""Point"", ""coordinates"": [-76.59758695266868, 44.26339669535723]}","44.2633966954,-76.5975869527"
18-1000751,2018-10-31,Motor Vehicle Accident,Vehicle Collision,3.47,16.62,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.48203749236336, 44.256283139836825]}","44.2562831398,-76.4820374924"
18-1000755,2018-10-31,Motor Vehicle Accident,Vehicle Collision,9.16,45.38,WOODBINE RD,"P271,P272",2,"{""type"": ""Point"", ""coordinates"": [-76.61630536464135, 44.26093661113263]}","44.2609366111,-76.6163053646"
18-1100001,2018-11-01,Other,Incident not found,5.39,13.65,"BROCK ST,RAILWAY ST","P241,P251",2,"{""type"": ""Point"", ""coordinates"": [-76.50039854888178, 44.25479612302121]}","44.254796123,-76.5003985489"
18-1100005,2018-11-01,Motor Vehicle Accident,Vehicle Collision,3.98,14.13,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.50270709241339, 44.239362368433596]}","44.2393623684,-76.5027070924"
18-1100009,2018-11-01,False Fire Call,Alarm System Equipment - Malfunction,9.89,17.52,"BROCK ST,GORE RD,RAILWAY ST,WOODBINE RD","A231,L241,P231,P251,P272",5,"{""type"": ""Point"", ""coordinates"": [-76.46890237740269, 44.22886253613484]}","44.2288625361,-76.4689023774"
18-1100027,2018-11-01,Motor Vehicle Accident,Vehicle Collision,1.13,8.73,"PALACE RD,RAILWAY ST","P251,P262",2,"{""type"": ""Point"", ""coordinates"": [-76.51646871396082, 44.24004854395998]}","44.240048544,-76.516468714"
18-1100029,2018-11-01,False Fire Call,Alarm System Equipment - Accidental activation (ex,4.92,23.32,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49125871434813, 44.22417261426931]}","44.2241726143,-76.4912587143"
18-1100033,2018-11-01,Motor Vehicle Accident,Vehicle Collision,6.56,18.75,GORE RD,"A231,P231",2,"{""type"": ""Point"", ""coordinates"": [-76.45892368048052, 44.24195853301773]}","44.241958533,-76.4589236805"
18-1100039,2018-11-01,Medical,Seizure,5.15,9.75,PALACE RD,P262,1,"{""type"": ""Point"", ""coordinates"": [-76.53789815673714, 44.2277436254534]}","44.2277436255,-76.5378981567"
18-1100043,2018-11-01,False Fire Call,"Human - Malicious intent, prank",5.13,15.22,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50030639410143, 44.22360219018496]}","44.2236021902,-76.5003063941"
18-1100044,2018-11-02,Medical,Alcohol or drug related,4.65,9.18,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.50030639410143, 44.22360219018496]}","44.2236021902,-76.5003063941"
18-1100045,2018-11-02,Fire,Other pre fire conditions (no fire),3.55,49.03,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.51850490041886, 44.23150094111301]}","44.2315009411,-76.5185049004"
18-1100050,2018-11-02,Other,Other Response,0.0,5.53,PALACE RD,P262,1,"{""type"": ""Point"", ""coordinates"": [-76.51399301413385, 44.231640447768655]}","44.2316404478,-76.5139930141"
18-1100053,2018-11-02,False Fire Call,Alarm System Equipment - Accidental activation (ex,4.92,19.32,"BROCK ST,PALACE RD,RAILWAY ST","L241,P251,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.52586519905587, 44.26296684662303]}","44.2629668466,-76.5258651991"
18-1100054,2018-11-02,Medical,Alcohol or drug related,3.25,23.73,RAILWAY ST,P251,1,"{""type"": ""Point"", ""coordinates"": [-76.49709302509763, 44.240269547664106]}","44.2402695477,-76.4970930251"
18-1100056,2018-11-02,Other,"Ruptured Water, Steam Pipe",2.88,31.92,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.49434497966882, 44.22940607995824]}","44.22940608,-76.4943449797"
18-1100057,2018-11-02,Motor Vehicle Accident,Vehicle Collision,12.1,62.15,"BROCK ST,GORE RD,RAILWAY ST","B241,P231,P241,P251,U231",5,"{""type"": ""Point"", ""coordinates"": [-76.46102760112113, 44.280711026220985]}","44.2807110262,-76.4610276011"
18-1100062,2018-11-03,False Fire Call,Alarm System Equipment - Accidental activation (ex,6.6,15.93,"BROCK ST,PALACE RD,WOODBINE RD","A271,L241,P261,P262",4,"{""type"": ""Point"", ""coordinates"": [-76.55738705018226, 44.228376037240146]}","44.2283760372,-76.5573870502"
18-1100071,2018-11-03,Fire,Other Cooking/toasting/smoke/steam (no fire),7.12,16.18,"BROCK ST,RAILWAY ST","L241,P241,P251",3,"{""type"": ""Point"", ""coordinates"": [-76.50553261998584, 44.268836394310775]}","44.2688363943,-76.50553262"
18-1100075,2018-11-04,Medical,Alcohol or drug related,3.17,16.93,PALACE RD,P261,1,"{""type"": ""Point"", ""coordinates"": [-76.50451688569771, 44.232082534871246]}","44.2320825349,-76.5045168857"
18-1100078,2018-11-04,Medical,Medical/resuscitator call no action required,9.22,11.07,GORE RD,P231,1,"{""type"": ""Point"", ""coordinates"": [-76.41413595704408, 44.30847107807189]}","44.3084710781,-76.414135957"
18-1100080,2018-11-04,Fire,Other pre fire conditions (no fire),9.28,38.72,WOODBINE RD,"P271,P272",2,"{""type"": ""Point"", ""coordinates"": [-76.63686580253218, 44.25822300237458]}","44.2582230024,-76.6368658025"
18-1100091,2018-11-04,Fire,"Overheat (no fire, e.g. engines, mechanical device",7.15,31.45,"BROCK ST,PALACE RD,RAILWAY ST","C241,L241,P241,P251,P261",5,"{""type"": ""Point"", ""coordinates"": [-76.48570828138186, 44.26726739428387]}","44.2672673943,-76.4857082814"
18-1100093,2018-11-05,Fire,Other Cooking/toasting/smoke/steam (no fire),5.2,25.33,"BROCK ST,PALACE RD,WOODBINE RD","A271,L241,P262,P271",4,"{""type"": ""Point"", ""coordinates"": [-76.59037773957081, 44.2520216421315]}","44.2520216421,-76.5903777396"
18-1100096,2018-11-05,Medical,CPR administered,9.92,30.37,GORE RD,P231,1,"{""type"": ""Point"", ""coordinates"": [-76.42165559015535, 44.304633049054495]}","44.3046330491,-76.4216555902"
18-1100100,2018-11-05,False Fire Call,Other False Fire Call,6.0,16.83,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.51403117937677, 44.21911219984546]}","44.2191121998,-76.5140311794"
18-1100108,2018-11-05,Motor Vehicle Accident,Vehicle Collision,5.67,15.53,"PALACE RD,WOODBINE RD","P262,P271",2,"{""type"": ""Point"", ""coordinates"": [-76.56818779073342, 44.27428152085256]}","44.2742815209,-76.5681877907"
18-1100128,2018-11-06,Medical,Medical/resuscitator call no action required,3.57,10.53,BROCK ST,P241,1,"{""type"": ""Point"", ""coordinates"": [-76.49048023706384, 44.23628343031316]}","44.2362834303,-76.4904802371"
18-1100129,2018-11-07,False Fire Call,Alarm System Equipment - Malfunction,4.58,11.78,"BROCK ST,PALACE RD","L241,P241,P261",3,"{""type"": ""Point"", ""coordinates"": [-76.50811872946198, 44.23508663230796]}","44.2350866323,-76.5081187295"
