"YEAR";"MONTH_NUMBER";"MONTH";"REPORT_PERIOD";"NEIGHBOURHOOD";"NEIGHBOURHOOD_ID";"COMPLAINT";"INITIATED_BY";"STATUS";"COUNT";"LATITUDE";"LONGITUDE";"LOCATION"
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Allard";"5458";"Unlicensed Business";"Citizen";"Resolved Complaint";"5";"53.40116";"-113.52664103089808";"(53.40116440487528, -113.52664103089808)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Bonnie Doon";"6040";"Nuisance Property";"Citizen";"Under Investigation";"1";"53.52377";"-113.46729006225137";"(53.523768960098934, -113.46729006225137)"
"2020";"12";"DECEMBER";"DECEMBER-2020";"Prince Charles";"3350";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.57547";"-113.53598781792246";"(53.57546939176514, -113.53598781792246)"
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Garneau";"5200";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.52014";"-113.51466073815163";"(53.520137013740865, -113.51466073815163)"
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Pollard Meadows";"6580";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.44982";"-113.4110364921575";"(53.44981637796563, -113.4110364921575)"
"2020";"10";"OCTOBER";"OCTOBER-2020";"Griesbach";"3111";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.60677";"-113.50422993669426";"(53.60676746701015, -113.50422993669426)"
"2020";"10";"OCTOBER";"OCTOBER-2020";"Queen Alexandra";"5330";"Nuisance Property";"Citizen";"Resolved Complaint";"7";"53.51233";"-113.50484705945985";"(53.51233223489751, -113.50484705945985)"
"2020";"10";"OCTOBER";"OCTOBER-2020";"Suder Greens";"4730";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.52458";"-113.67727644729212";"(53.52458442915894, -113.67727644729212)"
"2019";"3";"MARCH";"MARCH-2019";"University of Alberta, River Valley Walterdale";"5520, 5390";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"";"";""
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Davies Industrial West, Davies Industrial East, Lambton Industrial, Gainer Industrial, Coronet Industrial, Eastgate Business Park";"6170, 6160, 6380, 6250, 6100, 6180";"Graffiti";"Citizen";"Under Investigation";"1";"";"";""
"2016";"9";"SEPTEMBER";"SEPTEMBER-2016";"Bonnie Doon";"6040";"Nuisance Property";"By-law Officer";"Resolved Complaint";"12";"53.52377";"-113.46729006225137";"(53.523768960098934, -113.46729006225137)"
"2019";"7";"JULY";"JULY-2019";"Terwillegar Towne";"5640";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.45063";"-113.5777377735933";"(53.4506293105283, -113.5777377735933)"
"2019";"9";"SEPTEMBER";"SEPTEMBER-2019";"Allard";"5458";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.40116";"-113.52664103089808";"(53.40116440487528, -113.52664103089808)"
"2014";"9";"SEPTEMBER";"SEPTEMBER-2014";"Glastonbury";"4720";"Nuisance Property";"Citizen";"Resolved Complaint";"3";"53.50320";"-113.66989495602218";"(53.50319644152367, -113.66989495602218)"
"2011";"6";"JUNE";"JUNE-2011";"Hudson";"3480";"Weeds";"Citizen";"Resolved Complaint";"7";"53.60456";"-113.55333788802359";"(53.604564247518006, -113.55333788802359)"
"2016";"9";"SEPTEMBER";"SEPTEMBER-2016";"Fraser";"2280";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.61121";"-113.36978447542182";"(53.61120506312749, -113.36978447542182)"
"2014";"1";"JANUARY";"JANUARY-2014";"The Hamptons";"4461";"Nuisance Property";"Citizen";"Resolved Complaint";"3";"53.48746";"-113.67547969431835";"(53.487464793746575, -113.67547969431835)"
"2017";"10";"OCTOBER";"OCTOBER-2017";"Kenilworth";"6350";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"1";"53.52159";"-113.430948477946";"(53.52158941202619, -113.430948477946)"
"2014";"1";"JANUARY";"JANUARY-2014";"Miller";"2541";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.61153";"-113.41107568315196";"(53.611531651705164, -113.41107568315196)"
"2011";"10";"OCTOBER";"OCTOBER-2011";"Strathcona Industrial Park";"6700";"Unlicensed Business";"Citizen";"Resolved Complaint";"6";"53.47410";"-113.47877411944343";"(53.474102538509335, -113.47877411944343)"
"2018";"5";"MAY";"MAY-2018";"Charlesworth";"6661";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.42849";"-113.41812994244616";"(53.42849324961296, -113.41812994244616)"
"2014";"9";"SEPTEMBER";"SEPTEMBER-2014";"Lendrum Place";"5270";"Weeds";"Citizen";"Resolved Complaint";"1";"53.49299";"-113.52274707189989";"(53.49298579625277, -113.52274707189989)"
"2017";"1";"JANUARY";"JANUARY-2017";"Beverly Heights";"2100";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"1";"53.56651";"-113.40606788022531";"(53.566514917420214, -113.40606788022531)"
"2019";"8";"AUGUST";"AUGUST-2019";"Summerlea";"4520";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.52528";"-113.6228280592803";"(53.5252835835766, -113.6228280592803)"
"2019";"7";"JULY";"JULY-2019";"York";"2720";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.60290";"-113.43020574343895";"(53.602895378014146, -113.43020574343895)"
"2018";"6";"JUNE";"JUNE-2018";"Ritchie";"6610";"Weeds";"Citizen";"Resolved Complaint";"10";"53.51329";"-113.4802306338554";"(53.513293804114674, -113.4802306338554)"
"2019";"5";"MAY";"MAY-2019";"Canora";"4090";"Weeds";"Citizen";"Resolved Complaint";"1";"53.54617";"-113.58420793540262";"(53.546166670601956, -113.58420793540262)"
"2013";"5";"MAY";"MAY-2013";"Kildare";"2400";"Weeds";"By-law Officer";"Resolved Complaint";"1";"53.60326";"-113.4551504751856";"(53.60325645574856, -113.4551504751856)"
"2015";"7";"JULY";"JULY-2015";"Baturyn";"3030";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.63098";"-113.50432990230655";"(53.63098479629288, -113.50432990230655)"
"2014";"7";"JULY";"JULY-2014";"Wilson Industrial";"4640";"Unlicensed Business";"Citizen";"Resolved Complaint";"5";"53.55408";"-113.63356366270007";"(53.55407629702009, -113.63356366270007)"
"2012";"5";"MAY";"MAY-2012";"Roper Industrial";"6640";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.49446";"-113.43041743189828";"(53.494456380560386, -113.43041743189828)"
"2011";"11";"NOVEMBER";"NOVEMBER-2011";"Canon Ridge";"2120";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.57881";"-113.3792468001551";"(53.57881086500457, -113.3792468001551)"
"2014";"8";"AUGUST";"AUGUST-2014";"Thorncliff";"4560";"Weeds";"By-law Officer";"Resolved Complaint";"1";"53.51670";"-113.62282975921876";"(53.51669855026152, -113.62282975921876)"
"2019";"1";"JANUARY";"JANUARY-2019";"Crestwood";"3140";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"3";"53.53542";"-113.56904819542947";"(53.53541854779786, -113.56904819542947)"
"2014";"10";"OCTOBER";"OCTOBER-2014";"West Sheffield Industrial";"4600";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.55950";"-113.60904479710891";"(53.55949719098015, -113.60904479710891)"
"2015";"6";"JUNE";"JUNE-2015";"Blatchford Area";"1111";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.57280";"-113.51706542180057";"(53.57280079686974, -113.51706542180057)"
"2017";"8";"AUGUST";"AUGUST-2017";"Coronet Industrial";"6100";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"2";"53.49396";"-113.4789791683215";"(53.49395869528816, -113.4789791683215)"
"2018";"11";"NOVEMBER";"NOVEMBER-2018";"Killarney";"2420";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"5";"53.58849";"-113.47956789304071";"(53.58849024821234, -113.47956789304071)"
"2017";"10";"OCTOBER";"OCTOBER-2017";"Beacon Heights";"2040";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.57353";"-113.40604017904667";"(53.57353309911853, -113.40604017904667)"
"2014";"5";"MAY";"MAY-2014";"Delton";"1080";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.57900";"-113.48244953229602";"(53.57900463350049, -113.48244953229602)"
"2011";"6";"JUNE";"JUNE-2011";"Leger";"5630";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.45772";"-113.57740906861547";"(53.4577181888475, -113.57740906861547)"
"2012";"7";"JULY";"JULY-2012";"Cumberland";"3150";"Unlicensed Business";"Citizen";"Resolved Complaint";"4";"53.61061";"-113.55318828997665";"(53.610605092147075, -113.55318828997665)"
"2019";"7";"JULY";"JULY-2019";"Ormsby Place";"4380";"Unlicensed Business";"Citizen";"Under Investigation";"1";"53.49908";"-113.64275185892338";"(53.49908335379451, -113.64275185892338)"
"2020";"11";"NOVEMBER";"NOVEMBER-2020";"Alberta Avenue";"1010";"Nuisance Property";"Citizen";"Resolved Complaint";"10";"53.56848";"-113.48516811507994";"(53.56847906718172, -113.48516811507994)"
"2017";"4";"APRIL";"APRIL-2017";"Bisset";"6030";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.45910";"-113.40137552327023";"(53.45909651679703, -113.40137552327023)"
"2016";"10";"OCTOBER";"OCTOBER-2016";"Beverly Heights";"2100";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.56651";"-113.40606788022531";"(53.566514917420214, -113.40606788022531)"
"2015";"4";"APRIL";"APRIL-2015";"Ermineskin";"5180";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.45765";"-113.50572907665476";"(53.45764638821457, -113.50572907665476)"
"2016";"3";"MARCH";"MARCH-2016";"Carlisle";"3090";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.60351";"-113.52591439426728";"(53.603513394520945, -113.52591439426728)"
"2012";"1";"JANUARY";"JANUARY-2012";"Allendale";"5010";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"23";"53.50229";"-113.50482116295773";"(53.50229282517935, -113.50482116295773)"
"2012";"7";"JULY";"JULY-2012";"Kennedale Industrial";"2380";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.58814";"-113.42706778517515";"(53.58813633013027, -113.42706778517515)"
"2017";"4";"APRIL";"APRIL-2017";"Royal Gardens";"5430";"Nuisance Property";"Citizen";"Resolved Complaint";"3";"53.47945";"-113.52810321138851";"(53.47945373050392, -113.52810321138851)"
"2020";"5";"MAY";"MAY-2020";"Queen Alexandra";"5330";"Nuisance Property";"By-law Officer";"Resolved Complaint";"8";"53.51233";"-113.50484705945985";"(53.51233223489751, -113.50484705945985)"
"2013";"12";"DECEMBER";"DECEMBER-2013";"Griesbach";"3111";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.60677";"-113.50422993669426";"(53.60676746701015, -113.50422993669426)"
"2018";"1";"JANUARY";"JANUARY-2018";"Kirkness";"2430";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"7";"53.61141";"-113.38838887879497";"(53.611408522704465, -113.38838887879497)"
"2018";"1";"JANUARY";"JANUARY-2018";"Ellerslie Industrial";"6214";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.41398";"-113.48816218491919";"(53.413984084525396, -113.48816218491919)"
"2017";"5";"MAY";"MAY-2017";"Pleasantview";"5320";"Weeds";"By-law Officer";"Resolved Complaint";"8";"53.49318";"-113.507116596";"(53.49318018561233, -113.507116596)"
"2015";"8";"AUGUST";"AUGUST-2015";"Windermere";"5570";"Nuisance Property";"Citizen";"Resolved Complaint";"3";"53.43259";"-113.62604011598293";"(53.43258506576373, -113.62604011598293)"
"2012";"7";"JULY";"JULY-2012";"Forest Heights";"6230";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.54454";"-113.45126745011629";"(53.54454288128656, -113.45126745011629)"
"2014";"11";"NOVEMBER";"NOVEMBER-2014";"Chambery";"3120";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"2";"53.64069";"-113.51052242385325";"(53.64068695025469, -113.51052242385325)"
"2014";"11";"NOVEMBER";"NOVEMBER-2014";"Silver Berry";"6442";"Nuisance Property";"By-law Officer";"Resolved Complaint";"5";"53.46113";"-113.3814064224138";"(53.46112685122182, -113.3814064224138)"
"2016";"9";"SEPTEMBER";"SEPTEMBER-2016";"Leger";"5630";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.45772";"-113.57740906861547";"(53.4577181888475, -113.57740906861547)"
"2017";"11";"NOVEMBER";"NOVEMBER-2017";"Alberta Avenue";"1010";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.56848";"-113.48516811507994";"(53.56847906718172, -113.48516811507994)"
"2017";"9";"SEPTEMBER";"SEPTEMBER-2017";"Boyle Street";"1020";"Nuisance Property";"By-law Officer";"Resolved Complaint";"8";"53.54763";"-113.47931390645527";"(53.54762829917662, -113.47931390645527)"
"2014";"8";"AUGUST";"AUGUST-2014";"West Jasper Place";"4580";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.53640";"-113.58416326264262";"(53.5364030666796, -113.58416326264262)"
"2013";"2";"FEBRUARY";"FEBRUARY-2013";"Clareview Town Centre";"2145";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"2";"53.60195";"-113.40686218293196";"(53.60194995351143, -113.40686218293196)"
"2013";"12";"DECEMBER";"DECEMBER-2013";"Glenora";"3200";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.54492";"-113.55704249426053";"(53.54492281054309, -113.55704249426053)"
"2020";"8";"AUGUST";"AUGUST-2020";"Abbottsfield";"2010";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.57351";"-113.38888495817957";"(53.57351149052783, -113.38888495817957)"
"2020";"2";"FEBRUARY";"FEBRUARY-2020";"Strathearn";"6710";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.53131";"-113.46408997230512";"(53.531312823810254, -113.46408997230512)"
"2017";"2";"FEBRUARY";"FEBRUARY-2017";"Balwin";"2020";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.58800";"-113.45507523743639";"(53.58800047738987, -113.45507523743639)"
"2016";"9";"SEPTEMBER";"SEPTEMBER-2016";"South Terwillegar";"5642";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.44023";"-113.57902105126114";"(53.440231798863046, -113.57902105126114)"
"2019";"5";"MAY";"MAY-2019";"Athlone";"3010";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.58801";"-113.55099337489854";"(53.58801194057851, -113.55099337489854)"
"2019";"10";"OCTOBER";"OCTOBER-2019";"McQueen";"3300";"Graffiti";"Citizen";"Resolved Complaint";"2";"53.55495";"-113.57185410775001";"(53.55494667630298, -113.57185410775001)"
"2015";"7";"JULY";"JULY-2015";"Oxford";"3320";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.62218";"-113.5473255798242";"(53.62217562769456, -113.5473255798242)"
"2013";"8";"AUGUST";"AUGUST-2013";"Bannerman";"2030";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.60393";"-113.37864928309097";"(53.60392714000134, -113.37864928309097)"
"2013";"8";"AUGUST";"AUGUST-2013";"Greenfield";"5220";"Graffiti";"Citizen";"Resolved Complaint";"1";"53.47108";"-113.52750535276493";"(53.47107961781133, -113.52750535276493)"
"2011";"8";"AUGUST";"AUGUST-2011";"Boyle Street";"1020";"Weeds";"Citizen";"Resolved Complaint";"8";"53.54763";"-113.47931390645527";"(53.54762829917662, -113.47931390645527)"
"2016";"1";"JANUARY";"JANUARY-2016";"Calgary Trail South";"5120";"Unlicensed Business";"Citizen";"Resolved Complaint";"3";"53.47129";"-113.49356543687642";"(53.471286041679114, -113.49356543687642)"
"2011";"11";"NOVEMBER";"NOVEMBER-2011";"Brintnell";"2110";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.62184";"-113.40593551917826";"(53.621837223937895, -113.40593551917826)"
"2018";"7";"JULY";"JULY-2018";"Wellington";"3430";"Nuisance Property";"Citizen";"Resolved Complaint";"4";"53.59581";"-113.55269525115219";"(53.595808482311625, -113.55269525115219)"
"2019";"4";"APRIL";"APRIL-2019";"Dovercourt";"3170";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.57568";"-113.55759021866957";"(53.57567554087078, -113.55759021866957)"
"2017";"6";"JUNE";"JUNE-2017";"Highlands";"2330";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.56599";"-113.43018811476921";"(53.56599492653518, -113.43018811476921)"
"2020";"1";"JANUARY";"JANUARY-2020";"Garneau";"5200";"Graffiti";"Citizen";"Resolved Complaint";"3";"53.52014";"-113.51466073815163";"(53.520137013740865, -113.51466073815163)"
"2014";"2";"FEBRUARY";"FEBRUARY-2014";"Canora";"4090";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"6";"53.54617";"-113.58420793540262";"(53.546166670601956, -113.58420793540262)"
"2019";"10";"OCTOBER";"OCTOBER-2019";"Bulyea Heights";"5100";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.47776";"-113.56917224481626";"(53.47776108214907, -113.56917224481626)"
"2016";"10";"OCTOBER";"OCTOBER-2016";"Rosedale Industrial";"6650";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.49854";"-113.47885452360319";"(53.49854142373892, -113.47885452360319)"
"2014";"1";"JANUARY";"JANUARY-2014";"Northmount";"2580";"Unlicensed Business";"Citizen";"Resolved Complaint";"4";"53.60321";"-113.47962816354354";"(53.60320753140844, -113.47962816354354)"
"2013";"7";"JULY";"JULY-2013";"Yellowhead Corridor East";"1270";"Weeds";"By-law Officer";"Resolved Complaint";"2";"53.57919";"-113.45198764445469";"(53.579190382006885, -113.45198764445469)"
"2013";"12";"DECEMBER";"DECEMBER-2013";"Weir Industrial";"6780";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"3";"53.51176";"-113.40610816593045";"(53.511758050509485, -113.40610816593045)"
"2013";"5";"MAY";"MAY-2013";"Norwester Industrial";"4350";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.56674";"-113.60888344726754";"(53.566736057389, -113.60888344726754)"
"2014";"11";"NOVEMBER";"NOVEMBER-2014";"Strathcona Junction";"5151";"Nuisance Property";"By-law Officer";"Resolved Complaint";"1";"53.50781";"-113.49466554530919";"(53.50780623037144, -113.49466554530919)"
"2016";"3";"MARCH";"MARCH-2016";"Satoo";"6680";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.44581";"-113.45737054779553";"(53.44580812696508, -113.45737054779553)"
"2019";"5";"MAY";"MAY-2019";"Fraser";"2280";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.61121";"-113.36978447542182";"(53.61120506312749, -113.36978447542182)"
"2018";"8";"AUGUST";"AUGUST-2018";"The Hamptons";"4461";"Unlicensed Business";"Citizen";"Resolved Complaint";"10";"53.48746";"-113.67547969431835";"(53.487464793746575, -113.67547969431835)"
"2012";"2";"FEBRUARY";"FEBRUARY-2012";"Strathcona Junction";"5151";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.50781";"-113.49466554530919";"(53.50780623037144, -113.49466554530919)"
"2011";"10";"OCTOBER";"OCTOBER-2011";"Parkview";"3330";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.52406";"-113.56789426478038";"(53.52406400115492, -113.56789426478038)"
"2013";"1";"JANUARY";"JANUARY-2013";"Canossa";"3080";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.63619";"-113.52269260038258";"(53.636193038119806, -113.52269260038258)"
"2017";"2";"FEBRUARY";"FEBRUARY-2017";"Sheffield Industrial";"4490";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.56082";"-113.59659560213069";"(53.56081670709968, -113.59659560213069)"
"2019";"5";"MAY";"MAY-2019";"Clareview Town Centre";"2145";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.60195";"-113.40686218293196";"(53.60194995351143, -113.40686218293196)"
"2019";"4";"APRIL";"APRIL-2019";"Parkview";"3330";"Nuisance Property";"By-law Officer";"Resolved Complaint";"3";"53.52406";"-113.56789426478038";"(53.52406400115492, -113.56789426478038)"
"2016";"4";"APRIL";"APRIL-2016";"Jackson Heights";"6330";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.48166";"-113.41087835651263";"(53.48166081943661, -113.41087835651263)"
"2014";"2";"FEBRUARY";"FEBRUARY-2014";"Jackson Heights";"6330";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.48166";"-113.41087835651263";"(53.48166081943661, -113.41087835651263)"
"2013";"1";"JANUARY";"JANUARY-2013";"Downtown";"1090";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.54088";"-113.49924372443917";"(53.54087526522481, -113.49924372443917)"
"2011";"4";"APRIL";"APRIL-2011";"Rosslyn";"3390";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.59579";"-113.50428793128688";"(53.59579371675283, -113.50428793128688)"
"2011";"2";"FEBRUARY";"FEBRUARY-2011";"Twin Brooks";"5511";"Unlicensed Business";"Citizen";"Resolved Complaint";"6";"53.44464";"-113.53065310200358";"(53.44463806942246, -113.53065310200358)"
"2012";"9";"SEPTEMBER";"SEPTEMBER-2012";"Kenilworth";"6350";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.52159";"-113.430948477946";"(53.52158941202619, -113.430948477946)"
"2019";"1";"JANUARY";"JANUARY-2019";"Athlone";"3010";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.58801";"-113.55099337489854";"(53.58801194057851, -113.55099337489854)"
"2019";"7";"JULY";"JULY-2019";"Inglewood";"3240";"Unlicensed Business";"Citizen";"Resolved Complaint";"5";"53.56461";"-113.54083440615169";"(53.56461022950754, -113.54083440615169)"
"2015";"7";"JULY";"JULY-2015";"Killarney";"2420";"Unlicensed Business";"By-law Officer";"Resolved Complaint";"1";"53.58849";"-113.47956789304071";"(53.58849024821234, -113.47956789304071)"
"2014";"6";"JUNE";"JUNE-2014";"Glastonbury";"4720";"Weeds";"Citizen";"Resolved Complaint";"3";"53.50320";"-113.66989495602218";"(53.50319644152367, -113.66989495602218)"
"2018";"8";"AUGUST";"AUGUST-2018";"Laurel";"6444";"Unlicensed Business";"Citizen";"Resolved Complaint";"5";"53.44580";"-113.38147072766459";"(53.44580464601288, -113.38147072766459)"
"2014";"3";"MARCH";"MARCH-2014";"Griesbach";"3111";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.60677";"-113.50422993669426";"(53.60676746701015, -113.50422993669426)"
"2011";"7";"JULY";"JULY-2011";"Wellington";"3430";"Nuisance Property";"Citizen";"Resolved Complaint";"12";"53.59581";"-113.55269525115219";"(53.595808482311625, -113.55269525115219)"
"2020";"7";"JULY";"JULY-2020";"Crystallina Nera East";"2462";"Weeds";"By-law Officer";"Resolved Complaint";"1";"53.64077";"-113.44812122624316";"(53.64077105387258, -113.44812122624316)"
"2016";"4";"APRIL";"APRIL-2016";"Klarvatten";"2440";"Unlicensed Business";"Citizen";"Resolved Complaint";"6";"53.63722";"-113.47671578038138";"(53.637224731005645, -113.47671578038138)"
"2013";"3";"MARCH";"MARCH-2013";"Belle Rive";"2050";"Snow/Ice On Walk";"By-law Officer";"Resolved Complaint";"1";"53.62230";"-113.47355749819154";"(53.62229893381064, -113.47355749819154)"
"2015";"6";"JUNE";"JUNE-2015";"McIntyre Industrial";"6430";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.49034";"-113.45491422159984";"(53.4903431973886, -113.45491422159984)"
"2015";"8";"AUGUST";"AUGUST-2015";"Meyonohk";"6470";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.45533";"-113.45724296139875";"(53.4553258838742, -113.45724296139875)"
"2015";"5";"MAY";"MAY-2015";"Carlton";"3470";"Weeds";"By-law Officer";"Resolved Complaint";"1";"53.62165";"-113.55935872878088";"(53.62165146983823, -113.55935872878088)"
"2019";"3";"MARCH";"MARCH-2019";"Wellington";"3430";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"2";"53.59581";"-113.55269525115219";"(53.595808482311625, -113.55269525115219)"
"2011";"3";"MARCH";"MARCH-2011";"Baturyn";"3030";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"10";"53.63098";"-113.50432990230655";"(53.63098479629288, -113.50432990230655)"
"2013";"8";"AUGUST";"AUGUST-2013";"Downtown";"1090";"Unlicensed Business";"Citizen";"Resolved Complaint";"19";"53.54088";"-113.49924372443917";"(53.54087526522481, -113.49924372443917)"
"2018";"11";"NOVEMBER";"NOVEMBER-2018";"Davies Industrial West";"6170";"Unlicensed Business";"Citizen";"Resolved Complaint";"8";"53.49842";"-113.4503400715518";"(53.49841676467056, -113.4503400715518)"
"2015";"3";"MARCH";"MARCH-2015";"Beverly Heights";"2100";"Nuisance Property";"Citizen";"Resolved Complaint";"2";"53.56651";"-113.40606788022531";"(53.566514917420214, -113.40606788022531)"
"2016";"1";"JANUARY";"JANUARY-2016";"Kenilworth";"6350";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.52159";"-113.430948477946";"(53.52158941202619, -113.430948477946)"
"2016";"2";"FEBRUARY";"FEBRUARY-2016";"Alberta Park Industrial";"4010";"Snow/Ice On Walk";"Citizen";"Resolved Complaint";"1";"53.56674";"-113.59661353590003";"(53.566735080051636, -113.59661353590003)"
"2019";"6";"JUNE";"JUNE-2019";"Rosslyn";"3390";"Weeds";"Citizen";"Under Investigation";"1";"53.59579";"-113.50428793128688";"(53.59579371675283, -113.50428793128688)"
"2019";"6";"JUNE";"JUNE-2019";"Hollick-Kenyon";"2340";"Nuisance Property";"Citizen";"Under Investigation";"1";"53.62224";"-113.42231558564893";"(53.622244970022614, -113.42231558564893)"
"2018";"5";"MAY";"MAY-2018";"Hazeldean";"6290";"Weeds";"By-law Officer";"Resolved Complaint";"1";"53.50419";"-113.4778890044809";"(53.50418528831584, -113.4778890044809)"
"2016";"10";"OCTOBER";"OCTOBER-2016";"Westwood";"1250";"Nuisance Property";"By-law Officer";"Resolved Complaint";"2";"53.57593";"-113.49856633573037";"(53.57592737297088, -113.49856633573037)"
"2017";"7";"JULY";"JULY-2017";"McIntyre Industrial";"6430";"Unlicensed Business";"Citizen";"Resolved Complaint";"4";"53.49034";"-113.45491422159984";"(53.4903431973886, -113.45491422159984)"
"2018";"6";"JUNE";"JUNE-2018";"Maple";"6441";"Unlicensed Business";"Citizen";"Resolved Complaint";"1";"53.47551";"-113.354170140503";"(53.4755089357063, -113.354170140503)"
"2018";"6";"JUNE";"JUNE-2018";"Bulyea Heights";"5100";"Nuisance Property";"Citizen";"Resolved Complaint";"1";"53.47776";"-113.56917224481626";"(53.47776108214907, -113.56917224481626)"
"2011";"6";"JUNE";"JUNE-2011";"Balwin";"2020";"Weeds";"Citizen";"Resolved Complaint";"4";"53.58800";"-113.45507523743639";"(53.58800047738987, -113.45507523743639)"
"2019";"9";"SEPTEMBER";"SEPTEMBER-2019";"Highlands";"2330";"Weeds";"Citizen";"Resolved Complaint";"1";"53.56599";"-113.43018811476921";"(53.56599492653518, -113.43018811476921)"
"2016";"12";"DECEMBER";"DECEMBER-2016";"Jackson Heights";"6330";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.48166";"-113.41087835651263";"(53.48166081943661, -113.41087835651263)"
"2017";"3";"MARCH";"MARCH-2017";"Balwin";"2020";"Unlicensed Business";"Citizen";"Resolved Complaint";"2";"53.58800";"-113.45507523743639";"(53.58800047738987, -113.45507523743639)"
