occupant_code,debtor_number,category_code,category_description,bill_code,utility_type,start_date,end_date,current_read_date,last_read_date,usage_hcf,usage_gallons,net,bill_date,batch_number,street_name,block_address,street_side,zip_code,census_block_id,street_centroid_lat,street_centroid_lon,street_centroid_wkt,street_centroid,street_segment_wkt,id
1,10281,CL,CITY LANDSCAPE,WANR1,W,2000/07/24,,2012/08/20,2012/06/19,49,36652,154.84,2012/08/31,6227,ARIZONA AVE,2900BLK ARIZONA AVE,,90404,,,,,,,1512901622712012-08-20
7,72622,CO,COMMERCIAL,WANR4,W,2007/12/17,2019/01/31,2012/07/11,2012/05/14,16,11968,50.56,2012/07/27,6124,3RD ST,1400BLK 3RD ST,,90401,,,,,,,241027612412012-07-11
5,47195,CO,COMMERCIAL,WANR1,W,1998/04/21,,2012/05/14,2012/03/15,9,6732,28.44,2012/05/25,6018,3RD ST,1200BLK 3RD ST,,90401,,,,,,,218225601812012-05-14
1,10281,CL,CITY LANDSCAPE,WANR5,W,1999/11/12,,2012/07/16,2012/05/14,1239,926772,3915.24,2012/08/03,6158,OCEAN AVE,300BLK OCEAN AVE,,90403,,,,,,,6018291615812012-07-16
4,72056,SF,SINGLE FAMILY,WASF3,W,2007/07/06,2015/04/28,2012/04/11,2012/02/14,7,5236,15.47,2012/04/30,5942,PALISADES BEACH RD,1300BLK PALISADES BEACH RD,,90401,060377019023036,,,,,,115514594212012-04-11
6,26181,CO,COMMERCIAL,WANR1,W,1997/05/27,,2012/03/15,2012/01/17,0,0,0.00,2012/03/30,5858,3RD ST,1400BLK 3RD ST,,90401,,,,,,,240826585812012-03-15
3,75539,FI,FIRE,WAFI7,W,2010/09/23,2013/12/24,2012/03/13,2012/01/11,0,0,270.56,2012/03/30,5863,3RD ST,1300BLK 3RD ST,,90401,,,,,,,5595303586312012-03-13
5,23812,SF,SINGLE FAMILY,WASF2,W,1996/03/12,,2012/04/02,2012/02/01,12,8976,26.52,2012/04/19,5896,4TH ST,600BLK 4TH ST,odd,90402,060377013042009,34.0258447458665,-118.506169236496,POINT (-118.506169236496 34.0258447458665),"(34.0258447458665, -118.506169236496)",,2667465589612012-04-02
1,10281,CL,CITY LANDSCAPE,WANR1,W,2000/08/08,,2012/04/03,2012/02/06,1,748,3.16,2012/04/19,5900,23RD ST,2100BLK 23RD ST,,90405,,,,,,,3640801590012012-04-03
1,36693,MX,MULTI UNIT DWELLING,WAMF3,W,2006/07/01,,2012/05/02,2012/03/05,93,69564,255.48,2012/05/14,5988,CENTINELA AVE,2600BLK CENTINELA AVE,,90405,060377023001007,,,,,,3304131598812012-05-02
1,10281,MU,MUNICIPAL,WANR4,W,1994/01/03,,2012/03/13,2012/01/11,149,111452,470.84,2012/03/30,5863,OCEAN AVE,200BLK OCEAN AVE,,90403,,,,,,,6018201586312012-03-13
1,10281,CL,CITY LANDSCAPE,WANR4,W,2006/07/01,,2012/04/11,2012/02/15,120,89760,379.20,2012/04/30,5942,OCEAN FRONT WALK,1600BLK OCEAN FRONT WALK,,90401,,,,,,,118811594212012-04-11
3,56907,FI,FIRE,WAFI7,W,1992/11/03,,2012/03/13,2012/01/11,0,0,270.56,2012/03/30,5863,3RD ST,1400BLK 3RD ST,,90401,,,,,,,5500453586312012-03-13
1,52444,LC,LANDSCAPE COMMERCIAL,WANR4,W,1988/10/19,2017/10/03,2012/04/10,2012/02/13,171,127908,540.36,2012/04/26,5936,DONALD DOUGLAS LP N,2800BLK DONALD DOUGLAS LP N,,90405,,,,,,,4454641593612012-04-10
1,10281,CL,CITY LANDSCAPE,WANR4,W,2006/07/01,,2012/04/24,2012/02/27,138,103224,436.08,2012/05/07,5966,SAN VICENTE BLVD,2200BLK SAN VICENTE BLVD,,90402,,,,,,,1985391596612012-04-24
1,71149,FI,FIRE,WAFI8,W,2006/07/01,,2012/03/13,2012/01/11,0,0,427.49,2012/03/30,5863,PALISADES BEACH RD,200BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,5505501586312012-03-13
2,10281,CL,CITY LANDSCAPE,WANR2,W,1991/07/25,,2012/03/15,2012/01/17,2,1496,6.32,2012/03/30,5858,3RD CT,1200BLK 3RD CT,,90401,,,,,,,217532585812012-03-15
5,22627,FI,FIRE,WAFI6,W,1997/06/02,2015/07/15,2012/03/13,2012/01/11,0,0,139.79,2012/03/30,5863,3RD ST,1200BLK 3RD ST,,90401,,,,,,,5513405586312012-03-13
8,19576,SF,SINGLE FAMILY,WASF1,W,1991/12/05,,2012/04/09,2012/02/06,18,13464,44.22,2012/04/26,5935,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,4375838593512012-04-09
1,63106,FI,FIRE,WAFI6,W,2003/06/05,2013/03/11,2012/03/13,2012/01/11,0,0,139.79,2012/03/30,5863,3RD ST,1200BLK 3RD ST,,90401,,,,,,,5502871586312012-03-13
1,10281,CL,CITY LANDSCAPE,WANR2,W,2001/09/28,,2011/01/31,2010/12/02,3,2244,8.61,2011/02/17,4724,MONTANA AVE,2200BLK MONTANA AVE,,90403,,,,,,,1200111472412011-01-31
1,37531,SF,SINGLE FAMILY,WASF1,W,2006/07/01,2012/04/19,2012/03/28,2012/02/01,24,17952,64.14,2012/04/19,5895,SAN VICENTE BLVD,1100BLK SAN VICENTE BLVD,even,90402,060377013041003,34.0371049591479,-118.505769050287,POINT (-118.505769050287 34.0371049591479),"(34.0371049591479, -118.505769050287)","LINESTRING (-118.505906048433 34.0366340616654, -118.505903599165 34.0366418089269, -118.505901445162 34.0366493160436, -118.505900147561 34.0366580474665, -118.505897697209 34.0366657947324, -118.505895247939 34.0366735419937, -118.505894245602 34.0366820332718, -118.505891796332 34.0366897805331, -118.505890498724 34.0366985110545, -118.505888049452 34.0367062583156, -118.505885599098 34.0367140055813, -118.505884302577 34.0367227369996, -118.505881852221 34.0367304842651, -118.505879698214 34.0367379913815, -118.505878400609 34.0367467228042, -118.505875951335 34.0367544700651, -118.505873500978 34.0367622173306, -118.505872204449 34.0367709478472, -118.505869754097 34.0367786960141, -118.505867304821 34.0367864432749, -118.505866007209 34.0367951737961, -118.505863557933 34.0368029210568, -118.505861107573 34.0368106683219, -118.505859811048 34.03681939974, -118.505857360687 34.0368271470051, -118.505854616143 34.0368351344103, -118.505853318529 34.0368438649314, -118.50585086925 34.0368516121918, -118.505848418887 34.0368593594568, -118.505845969613 34.0368671076187, -118.505844671997 34.0368758381396, -118.505842222716 34.0368835853999, -118.505839477086 34.0368915728093, -118.505837027804 34.0368993200696, -118.505835730192 34.0369080514919, -118.50583328091 34.0369157987521, -118.505830535272 34.0369237852598, -118.505828085994 34.0369315334213, -118.50582563671 34.0369392806813, -118.505824339091 34.0369480112021, -118.505821593457 34.0369559986111, -118.505819144172 34.036963745871, -118.505816694886 34.0369714931308, -118.50581394925 34.0369794805397, -118.505811499964 34.0369872277994, -118.505809907076 34.0369961984645, -118.505807456705 34.0370039457287, -118.505805007417 34.0370116929884, -118.505802262862 34.0370196803924, -118.50579981249 34.0370274276565, -118.505797067934 34.0370354150605, -118.505794617561 34.0370431623244, -118.505793025753 34.0370521329848, -118.505790575385 34.0370598811502, -118.505787830822 34.0370678676524, -118.505785380447 34.0370756149162, -118.505782635888 34.0370836023199, -118.505780185512 34.0370913495835, -118.505777440952 34.0370993369871, -118.505774696391 34.0371073243906, -118.505772246014 34.0371150716541, -118.505769501453 34.0371230590575, -118.505766755807 34.0371310464653, -118.505765458179 34.0371397769855, -118.505762713616 34.0371477643887, -118.505759969052 34.0371557517919, -118.505757518673 34.0371634990552, -118.505754774108 34.0371714864582, -118.50575202846 34.0371794738658, -118.505749579161 34.0371872211244, -118.505746833507 34.0371952076302, -118.50574408894 34.0372031950331, -118.50574134329 34.0372111824404, -118.505738893989 34.0372189296987, -118.505736149421 34.0372269171014, -118.505733403769 34.0372349045085, -118.5057306592 34.0372428919111, -118.505727913542 34.0372508784166, -118.505725168971 34.037258865819, -118.505722423317 34.0372668532259, -118.505719974014 34.0372746004839, -118.505717228359 34.0372825878907, -118.505713331029 34.0372895911341, -118.505710586456 34.0372975785361, -118.505707840799 34.0373055659427, -118.505705096225 34.0373135533447, -118.505702350568 34.0373215407511, -118.505699605987 34.0373295272515, -118.505696860328 34.0373375146579, -118.505694115752 34.0373455020596, -118.505691371175 34.0373534894613, -118.505688625515 34.0373614768675, -118.505685880932 34.0373694633675, -118.505681982518 34.037376467516, -118.505679237939 34.0373844549174, -118.505676493359 34.0373924423187, -118.505673452422 34.0374006689673, -118.505670707842 34.0374086563685, -118.505667962178 34.0374166437742, -118.505665217591 34.0374246302739, -118.505661319173 34.0374316344216, -118.50565857459 34.0374396218226, -118.505655533649 34.0374478484707, -118.505652789066 34.0374558358716, -118.505650044481 34.0374638232724, -118.505646146055 34.0374708265182, -118.505643401469 34.0374788139188, -118.505640360531 34.0374870414681, -118.505637615939 34.0374950279671, -118.505634870269 34.0375030153721, -118.505630677653 34.037510258757, -118.505627933065 34.0375182461573, -118.505625187393 34.0375262335621, -118.505622442804 34.0375342209623, -118.505618250185 34.0375414643467, -118.505615504512 34.0375494517513, -118.505606441576 34.0375702467142)",2480441589512012-03-28
7,32772,SF,SINGLE FAMILY,WASF1,W,2006/01/20,,2012/04/09,2012/02/06,16,11968,37.58,2012/04/26,5935,LINDA LN,3000BLK LINDA LN,,90405,060377022024012,,,,,,4376837593512012-04-09
3,44948,SF,SINGLE FAMILY,WASF3,W,1996/09/10,,2012/04/11,2012/02/14,148,110704,654.02,2012/04/30,5942,PALISADES BEACH RD,700BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,106413594212012-04-11
2,30029,CO,COMMERCIAL,WANR4,W,2000/08/08,,2012/03/15,2012/01/17,267,199716,843.72,2012/03/30,5858,3RD ST,1300BLK 3RD ST,,90401,,,,,,,222422585812012-03-15
5,43891,CO,COMMERCIAL,WANR4,W,1996/05/03,,2012/03/15,2012/01/17,515,385220,1627.40,2012/03/30,5858,3RD ST,1200BLK 3RD ST,,90401,,,,,,,217625585812012-03-15
1,10281,CL,CITY LANDSCAPE,WANR4,W,1986/07/31,,2012/03/12,2012/01/09,51,38148,161.16,2012/03/26,5842,4TH ST,2300BLK 4TH ST,,90405,,,,,,,4503951584212012-03-12
1,50837,FI,FIRE,WAFI6,W,2005/09/30,,2011/01/10,2010/11/10,0,0,127.08,2011/01/31,4653,3RD ST,1400BLK 3RD ST,,90401,,,,,,,5500861465312011-01-10
2,23726,FI,FIRE,WAFI6,W,1981/12/02,,2012/03/14,2012/01/12,0,0,139.79,2012/03/30,5863,CENTINELA AVE,2600BLK CENTINELA AVE,,90405,060377023001007,,,,,,5519652586312012-03-14
1,18095,PS,PUBLIC SCHOOL,WANR5,W,2006/07/01,,2012/03/13,2012/01/11,379,283492,1197.64,2012/03/30,5863,MICHIGAN AVE,500BLK MICHIGAN AVE,,90401,,,,,,,6024791586312012-03-13
1,10281,CL,CITY LANDSCAPE,WANR3,W,2000/08/02,,2012/04/10,2012/02/13,0,0,0.00,2012/04/26,5936,DONALD DOUGLAS LOOP,3500BLK DONALD DOUGLAS LOOP,,90405,,,,,,,4454401593612012-04-10
3,77644,SF,SINGLE FAMILY,,W,2012/01/19,,2012/04/11,2012/02/14,7,5236,15.47,2012/04/30,5942,SEAVIEW TERR,0BLK SEAVIEW TERR,,90401,,,,,,,132213594212012-04-11
2,43423,CO,COMMERCIAL,WANR1,W,1980/06/23,,2012/04/12,2012/02/13,2,1496,6.32,2012/04/30,5941,MAIN ST,2800BLK MAIN ST,even,90405,,33.999844484315,-118.481418471476,POINT (-118.481418471476 33.999844484315),,"LINESTRING (-118.481727462674 34.0001538864681, -118.481168736838 33.9995944293675, -118.48110956438 33.9995350242309)",4812182594112012-04-12
4,39353,FI,FIRE,WAFI7,W,2000/02/10,2018/01/03,2012/03/13,2012/01/12,0,0,270.56,2012/03/30,5863,3RD ST,1200BLK 3RD ST,,90401,,,,,,,5502854586312012-03-13
9,33258,SF,SINGLE FAMILY,WASF1,W,2000/05/16,,2012/04/09,2012/02/06,22,16456,57.50,2012/04/26,5935,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,4375039593512012-04-09
6,40846,CO,COMMERCIAL,WANR3,W,1996/09/06,2019/06/07,2012/03/15,2012/01/17,9,6732,28.44,2012/03/30,5858,3RD ST,1300BLK 3RD ST,,90401,,,,,,,223426585812012-03-15
1,10281,CL,CITY LANDSCAPE,WANR3,W,2008/10/27,,2012/02/22,2011/12/27,4,2992,12.64,2012/03/12,5806,COLORADO AVE,3000BLK COLORADO AVE,,90404,,,,,,,10001171580612012-02-22
2,41659,SF,SINGLE FAMILY,WASF1,W,2005/03/24,2012/07/24,2012/04/09,2012/02/06,13,9724,28.73,2012/04/26,5935,LINDA LN,3000BLK LINDA LN,,90405,060377022024012,,,,,,4376032593512012-04-09
3,10281,MU,MUNICIPAL,WANR4,W,2011/07/28,,2012/05/10,2012/03/14,129,96492,407.64,2012/05/25,6015,BARNARD WAY,2800BLK BARNARD WAY,,90405,,,,,,,4916393601512012-05-10
1,10281,CL,CITY LANDSCAPE,WANR3,W,1988/10/26,,2012/04/02,2012/02/01,21,15708,66.36,2012/04/19,5896,4TH ST,500BLK 4TH ST,,90402,,,,,,,2668361589612012-04-02
1,10281,CL,CITY LANDSCAPE,WANR1,W,2003/07/29,,2012/02/21,2011/12/20,7,5236,22.12,2012/02/29,5773,WILSHIRE BLVD,1500BLK WILSHIRE BLVD,,90403,,,,,,,913011577312012-02-21
6,74502,CO,COMMERCIAL,WANR1,W,2009/12/01,2017/03/31,2012/04/03,2012/02/02,20,14960,63.20,2012/04/19,5898,MICHIGAN AVE,2400BLK MICHIGAN AVE,,90404,,,,,,,3219936589812012-04-03
4,71806,CO,COMMERCIAL,,W,1997/06/23,,2012/03/15,2012/01/17,248,185504,958.86,2012/03/30,5858,3RD ST,1300BLK 3RD ST,,90401,,,,,,,247824585812012-03-15
1,10281,CL,CITY LANDSCAPE,WANR1,W,2008/09/25,,2012/04/03,2012/02/02,9,6732,28.44,2012/04/19,5898,DELAWARE AVE,2800BLK DELAWARE AVE,,90404,,,,,,,10001221589812012-04-03
1,10281,CL,CITY LANDSCAPE,WANR3,W,2003/03/10,,2012/04/03,2012/02/06,18,13464,56.88,2012/04/19,5899,PICO BLVD,2500BLK PICO BLVD,,90405,,,,,,,3561201589912012-04-03
3,69868,CO,COMMERCIAL,WANR1,W,1981/03/17,2019/01/30,2012/03/15,2012/01/17,54,40392,170.64,2012/03/30,5858,3RD ST,1400BLK 3RD ST,,90401,,,,,,,225223585812012-03-15
7,25806,SF,SINGLE FAMILY,WASF1,W,1997/11/21,,2012/04/09,2012/02/06,28,20944,77.42,2012/04/26,5935,MARGARET LN,3000BLK MARGARET LN,,90405,060377022024010,,,,,,4377137593512012-04-09
6,63004,SF,SINGLE FAMILY,WASF2,W,2002/01/03,2015/05/15,2012/03/27,2012/01/31,32,23936,90.70,2012/04/13,5885,20TH ST,200BLK 20TH ST,odd,90402,060377012014001,34.0432631158482,-118.497600253461,POINT (-118.497600253461 34.0432631158482),"(34.0432631158482, -118.497600253461)",,2033006588512012-03-27
7,78189,MX,MULTI UNIT DWELLING,WAMF3,W,2012/03/30,2016/06/15,2012/05/02,2012/03/30,67,50116,169.16,2012/05/14,5988,CENTINELA AVE,2600BLK CENTINELA AVE,,90405,060377023001007,,,,,,3304937598812012-05-02
4,18660,TX,TRIPLEX,WAMF3,W,1985/09/20,2012/10/08,2012/04/11,2012/02/14,35,26180,116.08,2012/04/30,5942,OCEAN FRONT WALK,1300BLK OCEAN FRONT WALK,,90401,,,,,,,115914594212012-04-11
1,10281,CL,CITY LANDSCAPE,WANR1,W,2008/09/25,,2012/05/03,2012/03/05,17,12716,53.72,2012/05/21,5999,VIRGINIA AVE,3100BLK VIRGINIA AVE,,90404,,,,,,,10000961599912012-05-03
1,10281,CL,CITY LANDSCAPE,WANR2,W,1991/11/13,,2012/03/14,2012/01/10,4,2992,12.64,2012/03/26,5843,OCEAN PARK BLVD,200BLK OCEAN PARK BLVD,,90405,,,,,,,4731171584312012-03-14
5,32952,CO,COMMERCIAL,WANR2,W,2006/04/25,2019/06/03,2012/03/15,2012/01/17,3,2244,9.48,2012/03/30,5858,3RD ST,1200BLK 3RD ST,,90401,,,,,,,250425585812012-03-15
6,50371,SF,SINGLE FAMILY,WASF1,W,1987/08/18,,2012/04/09,2012/02/06,21,15708,54.18,2012/04/26,5935,LINDA LN,3000BLK LINDA LN,,90405,060377022024012,,,,,,4376236593512012-04-09
9,74483,OC,OUTSIDE CITY,WASF1,W,2009/12/11,,2012/03/27,2012/01/30,21,15708,54.18,2012/04/13,5884,MONTANA AVE,12600BLK MONTANA AVE,,90403,,,,,,,1817589588412012-03-27
8,33511,SF,SINGLE FAMILY,WASF3,W,2006/07/24,2015/05/28,2012/04/11,2012/02/14,18,13464,44.22,2012/04/30,5942,PALISADES BEACH RD,1300BLK PALISADES BEACH RD,,90401,060377019023036,,,,,,115418594212012-04-11
1,10281,CL,CITY LANDSCAPE,WANR4,W,2004/06/30,,2012/03/12,2012/01/09,90,67320,284.40,2012/03/26,5842,4TH ST,2300BLK 4TH ST,,90405,,,,,,,4503981584212012-03-12
8,74497,SF,SINGLE FAMILY,WASF2,W,2009/11/18,2012/09/26,2012/04/09,2012/02/06,12,8976,26.52,2012/04/26,5935,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,4374438593512012-04-09
5,10281,MU,MUNICIPAL,WANR4,W,2009/05/07,,2012/03/13,2012/01/11,244,182512,771.04,2012/04/05,5869,PALISADES BEACH RD,400BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,6021095586912012-03-13
13,73846,SF,SINGLE FAMILY,WASF3,W,2009/05/07,,2012/04/11,2012/02/14,7,5236,15.47,2012/04/30,5942,PALISADES BEACH RD,700BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,1056113594212012-04-11
1,18095,FI,FIRE,WAFI6,W,2006/07/01,,2012/03/13,2012/01/11,0,0,139.79,2012/03/30,5863,MICHIGAN AVE,500BLK MICHIGAN AVE,,90401,,,,,,,5502551586312012-03-13
1,10281,CL,CITY LANDSCAPE,WANR1,W,2000/08/08,,2012/04/09,2012/02/06,1,748,3.16,2012/04/26,5935,MARINE ST,900BLK MARINE ST,,90405,,,,,,,4346601593512012-04-09
2,76123,FI,FIRE,WAFI6,W,2011/02/24,,2012/03/13,2012/01/11,0,0,139.79,2012/03/30,5863,3RD ST,1400BLK 3RD ST,,90401,,,,,,,10000632586312012-03-13
1,10281,RW,RECLAIMED WATER,WARW6,W,2006/07/01,,2012/03/14,2012/01/12,472,353056,1406.56,2012/03/30,5863,15TH ST,1800BLK 15TH ST,,90404,,,,,,,6028591586312012-03-14
4,19396,SF,SINGLE FAMILY,,W,2003/06/13,,2012/04/11,2012/02/14,0,0,0.00,2012/04/30,5942,OCEAN FRONT WALK,1300BLK OCEAN FRONT WALK,odd,90401,,34.0139197675992,-118.499674950297,POINT (-118.499674950297 34.0139197675992),"(34.0139197675992, -118.499674950297)","LINESTRING (-118.50044123392 34.0146187737302, -118.498908679471 34.013220756632)",113414594212012-04-11
4,76734,SF,SINGLE FAMILY,WASF2,W,2011/07/05,,2012/02/28,2011/12/28,49,36652,161.99,2012/03/12,5810,16TH ST,500BLK 16TH ST,,90402,060377012015010,,,,,,2338434581012012-02-28
2,69623,CO,COMMERCIAL,WANR3,W,1996/08/14,,2012/03/15,2012/01/17,10,7480,31.60,2012/03/30,5858,3RD ST,1400BLK 3RD ST,,90401,,,,,,,224822585812012-03-15
3,10281,MU,MUNICIPAL,WANR4,W,2011/07/27,,2012/03/14,2012/01/10,0,0,0.00,2012/03/26,5843,OCEAN FRONT WALK,2800BLK OCEAN FRONT WALK,,90405,,,,,,,4749573584312012-03-14
4,57430,FI,FIRE,WAFI6,W,2008/01/22,2017/03/07,2012/03/13,2012/01/11,0,0,139.79,2012/03/30,5863,3RD ST,1300BLK 3RD ST,,90401,,,,,,,5510214586312012-03-13
9,39103,CO,COMMERCIAL,WANR2,W,2004/03/23,2011/10/03,2011/07/19,2011/05/18,4,2992,11.48,2011/07/28,5162,3RD ST,1200BLK 3RD ST,,90401,,,,,,,250629516212011-07-19
1,10281,CL,CITY LANDSCAPE,WANR1,W,2000/08/08,,2012/02/06,2011/12/07,6,4488,18.96,2012/02/17,5750,PEARL ST,1100BLK PEARL ST,,90405,,,,,,,3921221575012012-02-06
8,19576,SF,SINGLE FAMILY,WASF1,W,1991/12/05,,2011/02/17,2010/12/20,17,12716,37.20,2011/02/28,4750,LINDA LN,3000BLK LINDA LN,,90405,060377022024010,,,,,,4375838475012011-02-17
3,58876,FI,FIRE,WAFI6,W,2006/11/01,,2012/01/12,2011/11/15,0,0,139.79,2012/01/31,5686,20TH ST,900BLK 20TH ST,odd,90403,060377012021012,34.0347840382478,-118.487150317955,POINT (-118.487150317955 34.0347840382478),"(34.0347840382478, -118.487150317955)","LINESTRING (-118.487933774955 34.0354529416093, -118.486366873478 34.0341151298254)",5500423568612012-01-12
2,12358,SF,SINGLE FAMILY,WASF3,W,2005/07/22,,2012/02/01,2011/11/29,110,82280,465.16,2012/02/13,5731,SAN VICENTE BLVD,1100BLK SAN VICENTE BLVD,odd,90402,060377013041001,34.0371049591479,-118.505769050287,POINT (-118.505769050287 34.0371049591479),"(34.0371049591479, -118.505769050287)","LINESTRING (-118.505906048433 34.0366340616654, -118.505903599165 34.0366418089269, -118.505901445162 34.0366493160436, -118.505900147561 34.0366580474665, -118.505897697209 34.0366657947324, -118.505895247939 34.0366735419937, -118.505894245602 34.0366820332718, -118.505891796332 34.0366897805331, -118.505890498724 34.0366985110545, -118.505888049452 34.0367062583156, -118.505885599098 34.0367140055813, -118.505884302577 34.0367227369996, -118.505881852221 34.0367304842651, -118.505879698214 34.0367379913815, -118.505878400609 34.0367467228042, -118.505875951335 34.0367544700651, -118.505873500978 34.0367622173306, -118.505872204449 34.0367709478472, -118.505869754097 34.0367786960141, -118.505867304821 34.0367864432749, -118.505866007209 34.0367951737961, -118.505863557933 34.0368029210568, -118.505861107573 34.0368106683219, -118.505859811048 34.03681939974, -118.505857360687 34.0368271470051, -118.505854616143 34.0368351344103, -118.505853318529 34.0368438649314, -118.50585086925 34.0368516121918, -118.505848418887 34.0368593594568, -118.505845969613 34.0368671076187, -118.505844671997 34.0368758381396, -118.505842222716 34.0368835853999, -118.505839477086 34.0368915728093, -118.505837027804 34.0368993200696, -118.505835730192 34.0369080514919, -118.50583328091 34.0369157987521, -118.505830535272 34.0369237852598, -118.505828085994 34.0369315334213, -118.50582563671 34.0369392806813, -118.505824339091 34.0369480112021, -118.505821593457 34.0369559986111, -118.505819144172 34.036963745871, -118.505816694886 34.0369714931308, -118.50581394925 34.0369794805397, -118.505811499964 34.0369872277994, -118.505809907076 34.0369961984645, -118.505807456705 34.0370039457287, -118.505805007417 34.0370116929884, -118.505802262862 34.0370196803924, -118.50579981249 34.0370274276565, -118.505797067934 34.0370354150605, -118.505794617561 34.0370431623244, -118.505793025753 34.0370521329848, -118.505790575385 34.0370598811502, -118.505787830822 34.0370678676524, -118.505785380447 34.0370756149162, -118.505782635888 34.0370836023199, -118.505780185512 34.0370913495835, -118.505777440952 34.0370993369871, -118.505774696391 34.0371073243906, -118.505772246014 34.0371150716541, -118.505769501453 34.0371230590575, -118.505766755807 34.0371310464653, -118.505765458179 34.0371397769855, -118.505762713616 34.0371477643887, -118.505759969052 34.0371557517919, -118.505757518673 34.0371634990552, -118.505754774108 34.0371714864582, -118.50575202846 34.0371794738658, -118.505749579161 34.0371872211244, -118.505746833507 34.0371952076302, -118.50574408894 34.0372031950331, -118.50574134329 34.0372111824404, -118.505738893989 34.0372189296987, -118.505736149421 34.0372269171014, -118.505733403769 34.0372349045085, -118.5057306592 34.0372428919111, -118.505727913542 34.0372508784166, -118.505725168971 34.037258865819, -118.505722423317 34.0372668532259, -118.505719974014 34.0372746004839, -118.505717228359 34.0372825878907, -118.505713331029 34.0372895911341, -118.505710586456 34.0372975785361, -118.505707840799 34.0373055659427, -118.505705096225 34.0373135533447, -118.505702350568 34.0373215407511, -118.505699605987 34.0373295272515, -118.505696860328 34.0373375146579, -118.505694115752 34.0373455020596, -118.505691371175 34.0373534894613, -118.505688625515 34.0373614768675, -118.505685880932 34.0373694633675, -118.505681982518 34.037376467516, -118.505679237939 34.0373844549174, -118.505676493359 34.0373924423187, -118.505673452422 34.0374006689673, -118.505670707842 34.0374086563685, -118.505667962178 34.0374166437742, -118.505665217591 34.0374246302739, -118.505661319173 34.0374316344216, -118.50565857459 34.0374396218226, -118.505655533649 34.0374478484707, -118.505652789066 34.0374558358716, -118.505650044481 34.0374638232724, -118.505646146055 34.0374708265182, -118.505643401469 34.0374788139188, -118.505640360531 34.0374870414681, -118.505637615939 34.0374950279671, -118.505634870269 34.0375030153721, -118.505630677653 34.037510258757, -118.505627933065 34.0375182461573, -118.505625187393 34.0375262335621, -118.505622442804 34.0375342209623, -118.505618250185 34.0375414643467, -118.505615504512 34.0375494517513, -118.505606441576 34.0375702467142)",2484242573112012-02-01
1,55443,CO,COMMERCIAL,WANR3,W,1994/12/04,,2012/02/14,2011/12/13,209,156332,660.44,2012/02/27,5764,BROADWAY,100BLK BROADWAY,odd,90401,,34.0131472547658,-118.495955628471,POINT (-118.495955628471 34.0131472547658),"(34.0131472547658, -118.495955628471)","LINESTRING (-118.496438125536 34.0127553897323, -118.495473126891 34.0135391178778)",145821576412012-02-14
2,63550,FI,FIRE,WAFI6,W,2004/02/25,,2010/05/11,2010/03/11,0,0,115.00,2010/05/27,3887,3RD ST,1400BLK 3RD ST,,90401,,,,,,,5597412388712010-05-11
1,21980,CO,COMMERCIAL,WANR3,W,2006/07/01,,2012/01/17,2011/11/16,159,118932,502.44,2012/01/31,5692,3RD ST,1300BLK 3RD ST,,90401,,,,,,,246621569212012-01-17
1,10281,CL,CITY LANDSCAPE,WANR1,W,2003/07/31,,2012/01/30,2011/11/29,2,1496,6.32,2012/02/13,5728,WILSHIRE BLVD,3200BLK WILSHIRE BLVD,,90403,,,,,,,1800741572812012-01-30
6,37728,CO,COMMERCIAL,WANR3,W,1985/07/09,,2012/01/17,2011/11/16,23,17204,72.68,2012/01/31,5692,3RD ST,1300BLK 3RD ST,,90401,,,,,,,222826569212012-01-17
2,23726,FI,FIRE,WAFI6,W,1981/12/02,,2012/01/12,2011/11/15,0,0,139.79,2012/01/31,5686,CENTINELA AVE,2600BLK CENTINELA AVE,,90405,060377023001007,,,,,,5519652568612012-01-12
7,58210,CO,COMMERCIAL,WANR1,W,2008/10/24,,2012/01/17,2011/11/16,23,17204,72.68,2012/01/31,5692,3RD ST,1200BLK 3RD ST,,90401,,,,,,,220227569212012-01-17
1,10281,CL,CITY LANDSCAPE,WANR1,W,2000/08/08,,2012/02/06,2011/12/06,12,8976,37.92,2012/02/17,5749,23RD ST,2300BLK 23RD ST,,90405,,,,,,,3634601574912012-02-06
13,73846,SF,SINGLE FAMILY,WASF3,W,2009/05/07,,2012/02/14,2011/12/13,14,10472,30.94,2012/02/27,5764,PALISADES BEACH RD,700BLK PALISADES BEACH RD,,90402,060377013043023,,,,,,1056113576412012-02-14
4,50360,SF,SINGLE FAMILY,WASF1,W,1991/04/01,2017/06/20,2012/02/06,2011/12/12,13,9724,28.73,2012/02/27,5760,MARGARET LN,3000BLK MARGARET LN,,90405,060377022024010,,,,,,4377234576012012-02-06
4,57056,FI,FIRE,WAFI6,W,1997/04/17,2018/12/17,2012/01/11,2011/11/14,0,0,139.79,2012/01/31,5686,3RD ST,1200BLK 3RD ST,,90401,,,,,,,5594004568612012-01-11
