Category,Trade Name,Address,Licence Number,Licence Status,Issue Date,Expiry Date,Business Improvement Area,Neighbourhood ID,Neighbourhood,Ward,Latitude,Longitude,Location,Count
Tobacco Sales,LUCKY CONVENIENCE,5732 - 75 STREET NW,327553037-002,ISSUED,08/28/2020 12:00:00 AM,09/16/2021 12:00:00 AM,,6430,McIntyre Industrial,Ward 11,53.494283,-113.443781,"(53.49428275093635, -113.44378123402004)",1
Participant Recreation Services,SYNCHRONIZED NUTRITION & TRAINING,"203, 10575 - 115 STREET NW",285495757-002,ISSUED,08/28/2020 12:00:00 AM,08/28/2021 12:00:00 AM,North Edge,1180,Queen Mary Park,Ward 6,53.549301,-113.518979,"(53.549300751973874, -113.51897923583391)",1
General Business,MICROMOVES,,346487673-002,ISSUED,06/22/2020 12:00:00 AM,06/22/2021 12:00:00 AM,,3240,Inglewood,Ward 2,,,,1
General Contractor,PAULA'S ON SITE CLEANING,,92346959-003,ISSUED,12/16/2019 12:00:00 AM,12/20/2020 12:00:00 AM,,6442,Silver Berry,Ward 12,,,,1
Restaurant or Food Service,PANAGO SUMMERSIDE #182,932 - 91 STREET SW,86307975-001,ISSUED,05/07/2020 12:00:00 AM,06/02/2021 12:00:00 AM,,6214,Ellerslie Industrial,Ward 12,53.423658,-113.475592,"(53.42365807501579, -113.47559242574769)",1
Vehicle Sales/Rental,EDDIE'S AUTO SALES,9626 - 111 AVENUE NW,120365842-002,ISSUED,05/07/2020 12:00:00 AM,05/31/2021 12:00:00 AM,,1010,Alberta Avenue,Ward 7,53.559358,-113.491283,"(53.559357513307106, -113.4912829291977)",1
Alcohol Sales (Consumption On Premises/Minors Allowed),LINGNAN RESTAURANT LTD,10582 - 104 STREET NW,7259681-001,ISSUED,12/20/2019 12:00:00 AM,12/31/2020 12:00:00 AM,North Edge,1030,Central McDougall,Ward 6,53.549507,-113.499792,"(53.549506804381586, -113.4997922334398)",1
Delivery/Transportation Services,ROYAL DELIVERY SERVICES,6323 - 76 AVENUE NW,158393333-001,ISSUED,09/08/2020 12:00:00 AM,10/01/2021 12:00:00 AM,,6160,Davies Industrial East,Ward 11,53.511353,-113.428445,"(53.511353422955544, -113.42844520893735)",1
Public Market Vendor,CANEX IMPORTS & EXPORTS,12011 - 111 AVENUE NW,122243900-001,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,Kingsway,1180,Queen Mary Park,Ward 6,53.558002,-113.529861,"(53.55800223935403, -113.52986130235065)",1
General Contractor,TRIDENT LOGISTICS,,284094679-002,ISSUED,08/28/2020 12:00:00 AM,08/28/2021 12:00:00 AM,,6790,Wild Rose,Ward 12,,,,1
General Business,AZON'S BARGAIN ZONE,,281285799-002,ISSUED,05/07/2020 12:00:00 AM,05/07/2021 12:00:00 AM,,1230,Spruce Avenue,Ward 2,,,,1
Personal Service Shop,LIPSTICK EMPIRE,10830 - 124 STREET NW,228345345-002,RENEWAL NOTICE,11/28/2019 12:00:00 AM,11/28/2020 12:00:00 AM,124 Street and Area,3440,Westmount,Ward 6,53.553413,-113.536416,"(53.55341329877608, -113.53641586151107)",1
Vehicle Sales/Rental,WILD ROSE USED AUTO SALES LTD,12420 - 66 STREET NW,167820841-002,ISSUED,05/13/2020 12:00:00 AM,05/27/2021 12:00:00 AM,,2360,Industrial Heights,Ward 7,53.580614,-113.443397,"(53.5806141610016, -113.44339748135639)",1
Minor Retail Store,CO-OP GAS AT CHAPPELLE,14109 - 28 AVENUE SW,341820214-002,ISSUED,08/28/2020 12:00:00 AM,09/25/2021 12:00:00 AM,,5462,Chappelle Area,Ward 9,53.409446,-113.567124,"(53.4094456290435, -113.56712379658252)",1
General Contractor,E.T.G. CONSTRUCTION INC.,,302914828-002,ISSUED,01/22/2020 12:00:00 AM,01/22/2021 12:00:00 AM,,2700,Schonsee,Ward 3,,,,1
General Business,BALANCE IT PERSONAL TRAINING,,144471937-002,ISSUED,08/28/2020 12:00:00 AM,09/30/2021 12:00:00 AM,,5580,Windsor Park,Ward 8,,,,1
Vehicle Repair,SANDY LANE AUTOMOTO,15820 - 111 AVENUE NW,142710084-001,ISSUED,08/28/2020 12:00:00 AM,10/04/2021 12:00:00 AM,,4490,Sheffield Industrial,Ward 1,53.559548,-113.596300,"(53.559548198664544, -113.59629958360487)",1
Vehicle Sales/Rental,OMER'S AUTO SALES,,151324017-002,ISSUED,06/19/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,3430,Wellington,Ward 2,,,,1
Vehicle Fueling Station,7-ELEVEN #37825H,4950 - CALGARY TRAIL NW,226029028-002,ISSUED,10/22/2020 12:00:00 AM,10/22/2021 12:00:00 AM,,5170,Empire Park,Ward 10,53.487105,-113.495543,"(53.48710455937961, -113.49554343191454)",1
Restaurant or Food Service,EUREST SERVICES #63991,9125 - 50 STREET NW,287655874-002,ISSUED,08/28/2020 12:00:00 AM,09/20/2021 12:00:00 AM,,6380,Lambton Industrial,Ward 8,53.525748,-113.416653,"(53.525748357924236, -113.41665325809859)",1
Rental Accommodation,494552 ALBERTA LTD,9020 - 149 STREET NW,7254799-001,ISSUED,12/16/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,4230,Jasper Park,Ward 1,53.523804,-113.578526,"(53.5238035579457, -113.57852605812127)",1
General Business,IMPORT BIBLE,,276643114-002,ISSUED,05/13/2020 12:00:00 AM,05/13/2021 12:00:00 AM,,4200,High Park,Ward 1,,,,1
General Contractor,STONETEC HARDSCAPES,,363571715-002,ISSUED,06/30/2020 12:00:00 AM,06/29/2021 12:00:00 AM,,4013,Anthony Henday Terwillegar,Ward 9,,,,1
General Business,SOKO FOTOHAUS,,114955965-002,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,5642,South Terwillegar,Ward 9,,,,1
General Business,APOGEE COMMERCIAL REALTY INC,10707 - 100 AVENUE NW,7437844-001,ISSUED,12/20/2019 12:00:00 AM,12/31/2020 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.538598,-113.505279,"(53.53859804871964, -113.50527919205553)",1
General Industrial,LIFT BOSS,7912 - YELLOWHEAD TRAIL NW,77690441-001,ISSUED,08/28/2020 12:00:00 AM,08/28/2021 12:00:00 AM,,1270,Yellowhead Corridor East,Ward 7,53.583096,-113.462750,"(53.5830962059825, -113.4627499934268)",1
General Business,TL MAYES,,43782257-002,ISSUED,12/16/2019 12:00:00 AM,12/28/2020 12:00:00 AM,,2145,Clareview Town Centre,Ward 4,,,,1
General Industrial,STREAMLINE LOGISTICS,6708 - 59 STREET NW,227055645-003,ISSUED,08/28/2020 12:00:00 AM,09/27/2021 12:00:00 AM,,6640,Roper Industrial,Ward 11,53.503152,-113.427033,"(53.50315168226646, -113.42703318110688)",1
Pawn Shop,ACTION EXCHANGE,15220 - STONY PLAIN ROAD NW,312828038-002,ISSUED,08/28/2020 12:00:00 AM,08/28/2021 12:00:00 AM,Stony Plain Road and Area,4090,Canora,Ward 1,53.541582,-113.584278,"(53.54158240350203, -113.58427811016496)",1
General Business,JILL KOZIEY COUNSELLING,,131507202-002,ISSUED,12/16/2019 12:00:00 AM,01/12/2021 12:00:00 AM,,6610,Ritchie,Ward 11,,,,1
General Business,SAS CONSULTING,,315921820-002,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,2110,Brintnell,Ward 4,,,,1
Personal Service Shop,SOLAR NAILS,,113562453-002,ISSUED,08/28/2020 12:00:00 AM,10/02/2021 12:00:00 AM,,2241,Eaux Claires,Ward 3,,,,1
General Business,ALBERTA PRINTERS INC,7036 - 68 AVENUE NW,294316868-002,ISSUED,08/28/2020 12:00:00 AM,10/02/2021 12:00:00 AM,,6160,Davies Industrial East,Ward 11,53.505508,-113.434946,"(53.50550815679494, -113.43494606233456)",1
Second Hand Store,BIRKS,"2095, 8882 - 170 STREET NW",175061625-002,ISSUED,08/28/2020 12:00:00 AM,08/28/2021 12:00:00 AM,,4520,Summerlea,Ward 1,53.522653,-113.621915,"(53.52265302089917, -113.62191533321305)",1
Personal Service Shop,TK SHAPERS HAIR STYLING,10803 - 95 STREET NW,7261588-001,ISSUED,12/16/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,1140,McCauley,Ward 6,53.554951,-113.483725,"(53.554950617215844, -113.483725326006)",1
General Contractor,JV PAINTING,,220800520-002,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,3300,McQueen,Ward 6,,,,1
General Contractor,OUTPERFORM CONSTRUCTION INC.,,363058306-002,ISSUED,06/30/2020 12:00:00 AM,06/29/2021 12:00:00 AM,,6390,Larkspur,Ward 12,,,,1
General Business,THE RV FARM,9703 - 199 STREET NW,7271682-002,ISSUED,12/16/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,4011,Anthony Henday,Ward 1,53.535270,-113.663155,"(53.53526971165702, -113.663155252633)",1
Minor Retail Store,LUCKY CONVENIENCE,5732 - 75 STREET NW,327553037-002,ISSUED,08/28/2020 12:00:00 AM,09/16/2021 12:00:00 AM,,6430,McIntyre Industrial,Ward 11,53.494283,-113.443781,"(53.49428275093635, -113.44378123402004)",1
Restaurant or Food Service,PIZZA HUT #4729,14427 - MILLER BOULEVARD NW,178932507-002,ISSUED,08/28/2020 12:00:00 AM,09/29/2021 12:00:00 AM,,2541,Miller,Ward 4,53.607662,-113.413639,"(53.60766191847314, -113.41363879527674)",1
Restaurant or Food Service,ALL HAPPY FAMILY RESTAURANT,10013 - 106 AVENUE NW,115214924-001,ISSUED,09/08/2020 12:00:00 AM,09/14/2021 12:00:00 AM,Chinatown and Area,1140,McCauley,Ward 6,53.549552,-113.492364,"(53.54955165321293, -113.49236350981766)",1
General Contractor,PAUL JOB FINE HOMES,,258982204-002,ISSUED,08/09/2020 12:00:00 AM,08/22/2021 12:00:00 AM,,4430,Rio Terrace,Ward 5,,,,1
General Business,POLYORGANICS,,254801758-002,ISSUED,07/29/2020 12:00:00 AM,08/19/2021 12:00:00 AM,,6211,Ellerslie,Ward 12,,,,1
Minor Retail Store,FIRST CHOICE ORTHOTICS,17508 - STONY PLAIN ROAD NW,142222238-001,ISSUED,09/08/2020 12:00:00 AM,09/08/2021 12:00:00 AM,,4510,Stone Industrial,Ward 1,53.542215,-113.623600,"(53.54221519029111, -113.623600273222)",1
General Contractor,SERENITY,,360873699-002,ISSUED,07/20/2020 12:00:00 AM,07/19/2021 12:00:00 AM,,3030,Baturyn,Ward 3,,,,1
Delivery/Transportation Services,HPC TOWING & RECOVERY LTD.,,364647521-002,ISSUED,08/18/2020 12:00:00 AM,08/17/2021 12:00:00 AM,,4019,Anthony Henday Energy Park,Ward 4,,,,1
Small Animal Breeding/Boarding Establishment,ANDOMO,9909 - 73 AVENUE NW,270178564-003,RENEWAL NOTICE,11/18/2019 12:00:00 AM,12/16/2020 12:00:00 AM,,6610,Ritchie,Ward 11,53.509212,-113.486708,"(53.50921191173525, -113.48670829927651)",1
General Business,HAUSE OF V,,363915650-002,ISSUED,08/28/2020 12:00:00 AM,08/27/2021 12:00:00 AM,,5454,Rutherford,Ward 9,,,,1
Minor Retail Store,SQUISH CANDY,"422, 5015 - 111 STREET NW",276548498-002,ISSUED,06/24/2020 12:00:00 AM,06/24/2021 12:00:00 AM,,5170,Empire Park,Ward 10,53.485721,-113.513544,"(53.48572086708062, -113.51354403884146)",1
General Business,MENTAL ABILITIES ABACUS TRAINING CENTRE,,155423257-002,ISSUED,06/30/2020 12:00:00 AM,07/23/2021 12:00:00 AM,,4730,Suder Greens,Ward 1,,,,1
Restaurant or Food Service,NEW INDIAN EXPRESS,"25, 9777 - 102 AVENUE NW",349051776-002,ISSUED,02/04/2020 12:00:00 AM,02/03/2021 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.542516,-113.486683,"(53.542516187305644, -113.48668346418047)",1
General Business,SLATE PERSONNEL,10072 - JASPER AVENUE NW,178297375-002,RENEWAL NOTICE,11/28/2019 12:00:00 AM,11/28/2020 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.541366,-113.492603,"(53.54136603879489, -113.4926031821947)",1
Minor Retail Store,STOCKHOMME,"124, 1 - LONDONDERRY MALL NW",259644815-002,ISSUED,09/08/2020 12:00:00 AM,09/08/2021 12:00:00 AM,,2400,Kildare,Ward 7,53.602652,-113.446032,"(53.60265220547703, -113.44603196285276)",1
General Business,KOODO MOBILE,"1812, 8882 - 170 STREET NW",83157454-001,RENEWAL NOTICE,12/05/2019 12:00:00 AM,12/16/2020 12:00:00 AM,,4520,Summerlea,Ward 1,53.522271,-113.618482,"(53.52227141812298, -113.61848168763852)",1
Personal Service Shop,FOOTPRINTS LIFECARE INCORPORATED,,323121051-002,ISSUED,06/30/2020 12:00:00 AM,07/07/2021 12:00:00 AM,,4487,Secord,Ward 1,,,,1
Restaurant or Food Service,BOURBON STREET GRILL,"429, 1 - KINGSWAY GARDEN MALL NW",341084481-002,ISSUED,02/11/2020 12:00:00 AM,02/10/2021 12:00:00 AM,Kingsway,1230,Spruce Avenue,Ward 2,53.562490,-113.505674,"(53.56249038050568, -113.50567426381262)",1
Restaurant or Food Service,PIZZA HUT #4702,10809 - 82 AVENUE NW,7455704-003,ISSUED,05/07/2020 12:00:00 AM,05/31/2021 12:00:00 AM,Old Strathcona,5330,Queen Alexandra,Ward 8,53.517779,-113.509724,"(53.51777888358049, -113.50972439427979)",1
General Contractor,MAXWORTH HOMES LTD.,,357675990-002,ISSUED,04/27/2020 12:00:00 AM,04/26/2021 12:00:00 AM,,6140,Crawford Plains,Ward 12,,,,1
Personal Service Shop,A-L-L WEST LAUNDRY EQUIPMENT,"100, 18146 - 105 AVENUE NW",157903094-001,ISSUED,03/02/2020 12:00:00 AM,03/02/2021 12:00:00 AM,,4640,Wilson Industrial,Ward 1,53.549043,-113.635868,"(53.549042601800274, -113.63586756503813)",1
Alcohol Sales (Consumption Off Premises),ACE LIQUOR DISCOUNTER AT MEADOWBROOK,3927 - 34 STREET NW,316163376-002,ISSUED,05/07/2020 12:00:00 AM,06/20/2021 12:00:00 AM,,6390,Larkspur,Ward 12,53.474512,-113.391693,"(53.474511652570406, -113.39169253764906)",1
General Business,AUTOMATED LIVING SOLUTIONS,13073 - 156 STREET NW,78170679-001,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,4320,Mistatim Industrial,Ward 2,53.589126,-113.588792,"(53.58912560975329, -113.58879176304212)",1
Rental Accommodation,B R Z HOLDINGS LTD,10742 - 106 STREET NW,7342576-001,ISSUED,12/27/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,1030,Central McDougall,Ward 6,53.552684,-113.503446,"(53.55268381057854, -113.5034459848517)",1
General Business,KICK POINT,10620 - JASPER AVENUE NW,296243538-002,RENEWAL NOTICE,10/24/2019 12:00:00 AM,11/28/2020 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.541275,-113.503342,"(53.5412750000765, -113.5033423728051)",1
General Contractor,PROFILE ELECTRICAL,10751 - 181 STREET NW,7466403-002,ISSUED,12/16/2019 12:00:00 AM,01/07/2021 12:00:00 AM,,4640,Wilson Industrial,Ward 1,53.554365,-113.632442,"(53.55436532302981, -113.63244238178106)",1
Vehicle Repair,RCM AUTO LTD,17870 - 102 AVENUE NW,115903986-001,ISSUED,09/08/2020 12:00:00 AM,09/12/2021 12:00:00 AM,,4340,Morin Industrial,Ward 1,53.544087,-113.629832,"(53.544087428763916, -113.62983241253805)",1
Alcohol Sales (Consumption On Premises/Minors Allowed),EDMONTON SOCCER ASSOCIATION,12720 - VICTORIA TRAIL NW,7392293-001,ISSUED,12/16/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,2590,Overlanders,Ward 4,53.580548,-113.384808,"(53.58054829003283, -113.38480797943257)",1
General Business,1151435 ALBERTA LTD,,286710672-002,ISSUED,08/28/2020 12:00:00 AM,09/25/2021 12:00:00 AM,,3320,Oxford,Ward 2,,,,1
Rental Accommodation,JENA PROPERTIES,10242 - 120 STREET NW,257969872-002,ISSUED,10/06/2020 12:00:00 AM,10/06/2021 12:00:00 AM,,1150,Oliver,Ward 6,53.544024,-113.529254,"(53.544023749819026, -113.52925367125697)",1
Cannabis Cultivation Facility,ALBERTA ALTITUDE ORGANICS LTD,10663 - 214 STREET NW,310640257-002,ISSUED,06/30/2020 12:00:00 AM,06/29/2021 12:00:00 AM,,4650,Winterburn Industrial Area East,Ward 1,53.550024,-113.686221,"(53.55002416568494, -113.68622080802425)",1
General Business,TATTERED RAGS,13021 - 156 STREET NW,229669422-002,ISSUED,08/28/2020 12:00:00 AM,09/24/2021 12:00:00 AM,,4320,Mistatim Industrial,Ward 2,53.589126,-113.588792,"(53.58912560975329, -113.58879176304212)",1
General Contractor,BAILEY'S BUILDING / ELEMENTZ LANDSCAPING,,71012915-002,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,4390,Patricia Heights,Ward 5,,,,1
General Business,SOLV.X ENTERPRISES INC.,6805 - 82 AVENUE NW,315768830-002,ISSUED,08/18/2020 12:00:00 AM,08/18/2021 12:00:00 AM,,6250,Gainer Industrial,Ward 11,53.517326,-113.432522,"(53.51732573230465, -113.43252229628105)",1
General Contractor,ALL SEASONS LTD,,186188627-002,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,3470,Carlton,Ward 2,,,,1
Delivery/Transportation Services,JS SANDHU TRANSPORT LTD,,177076827-002,ISSUED,08/18/2020 12:00:00 AM,08/18/2021 12:00:00 AM,,6442,Silver Berry,Ward 12,,,,1
General Business,CACTUS TAX & ACCOUNTING SERVICE LTD.,,220145570-002,ISSUED,04/27/2020 12:00:00 AM,05/23/2021 12:00:00 AM,,2230,Delwood,Ward 7,,,,1
General Industrial,WEST EDMONTON SELF STORAGE,12012 - 168 STREET NW,116726075-001,RENEWAL NOTICE,11/01/2019 12:00:00 AM,12/06/2020 12:00:00 AM,,4100,Carleton Square Industrial,Ward 1,53.572748,-113.612903,"(53.572747641952574, -113.61290317168095)",1
Minor Retail Store,MOBIL,1105 - WINDERMERE WAY SW,173708664-002,ISSUED,08/18/2020 12:00:00 AM,08/18/2021 12:00:00 AM,,5570,Windermere,Ward 9,53.437474,-113.617107,"(53.437473685165195, -113.61710729574709)",1
Rental Accommodation,CENTURY CASINO,13103 - FORT ROAD NW,61229159-001,RENEWAL NOTICE,11/20/2019 12:00:00 AM,11/20/2020 12:00:00 AM,Fort Road and Area,2080,Belvedere,Ward 4,53.589839,-113.432399,"(53.58983894449619, -113.43239905315029)",1
Minor Retail Store,ALBERTA WHEELS,7807 - ARGYLL ROAD NW,364914609-002,ISSUED,07/20/2020 12:00:00 AM,07/19/2021 12:00:00 AM,,6090,Coronet Addition Industrial,Ward 11,53.506204,-113.445650,"(53.50620445803249, -113.44564966847594)",1
Tobacco Sales,THE CANADIAN BREWHOUSE,9538 - ELLERSLIE ROAD SW,90441891-001,RENEWAL NOTICE,11/20/2019 12:00:00 AM,11/20/2020 12:00:00 AM,,6214,Ellerslie Industrial,Ward 12,53.425800,-113.478345,"(53.42580037587771, -113.47834534603703)",1
Rental Accommodation,CEDAR DEN APARTMENTS,15809 - 102 AVENUE NW,7247395-002,ISSUED,08/28/2020 12:00:00 AM,08/28/2021 12:00:00 AM,Stony Plain Road and Area,4060,Britannia Youngstown,Ward 1,53.543083,-113.594365,"(53.54308341879706, -113.59436500963261)",1
General Business,CHASE GLOBAL MEDIA,"2020, 10060 - JASPER AVENUE NW",137144248-001,ISSUED,10/06/2020 12:00:00 AM,10/06/2021 12:00:00 AM,Downtown,1090,Downtown,Ward 6,53.541366,-113.492603,"(53.54136603879489, -113.4926031821947)",1
General Industrial,ULINE CANADA,11504 - 186 STREET NW,159070823-001,ISSUED,10/14/2020 12:00:00 AM,11/08/2021 12:00:00 AM,Northwest Industrial,4630,White Industrial,Ward 1,53.565908,-113.648196,"(53.56590823863466, -113.6481959142734)",1
General Business,ALL THINGS BEAUTIFUL BY CARLEEN AND ERIC,,302732597-002,ISSUED,02/04/2020 12:00:00 AM,02/04/2021 12:00:00 AM,,6216,The Orchards At Ellerslie,Ward 12,,,,1
Minor Retail Store,SHELL CANADA,4810 - 142 AVENUE NW,254724695-002,ISSUED,09/08/2020 12:00:00 AM,09/08/2021 12:00:00 AM,,2145,Clareview Town Centre,Ward 4,53.604491,-113.412490,"(53.604491012025186, -113.41248958172498)",1
Restaurant or Food Service,K F C,"1856, 8882 - 170 STREET NW",7262185-001,ISSUED,12/16/2019 12:00:00 AM,01/22/2021 12:00:00 AM,,4520,Summerlea,Ward 1,53.522271,-113.618482,"(53.52227141812298, -113.61848168763852)",1
General Business,SATURN SAFETY LTD,"101, 17868 - 106 AVENUE NW",127396330-001,ISSUED,06/30/2020 12:00:00 AM,07/22/2021 12:00:00 AM,,4640,Wilson Industrial,Ward 1,53.550733,-113.630505,"(53.550732625316094, -113.63050507155207)",1
General Contractor,ULTIMATE STAIR & RAIL,11523 - 120 STREET NW,88788180-001,ISSUED,12/16/2019 12:00:00 AM,12/31/2020 12:00:00 AM,Kingsway,1170,Prince Rupert,Ward 2,53.567442,-113.528547,"(53.56744156609022, -113.5285467406131)",1
General Contractor,CERTIFIED FIRE PROTECTION LTD.,,347018864-002,RENEWAL NOTICE,11/21/2019 12:00:00 AM,11/20/2020 12:00:00 AM,,4240,La Perle,Ward 1,,,,1
Vehicle Repair,SHOPPERS AUTO BODY REFINISHERS INC,14439 - YELLOWHEAD TRAIL NW,7249095-001,ISSUED,12/16/2019 12:00:00 AM,01/07/2021 12:00:00 AM,,3160,Dominion Industrial,Ward 2,53.580798,-113.569704,"(53.58079761431022, -113.56970441246199)",1
General Contractor,INFILL CONSTRUCTION,,114583669-005,RENEWAL NOTICE,11/20/2019 12:00:00 AM,11/20/2020 12:00:00 AM,,4560,Thorncliff,Ward 5,,,,1
General Contractor,ACTSWEST TECH LTD,,54767612-002,ISSUED,07/20/2020 12:00:00 AM,07/20/2021 12:00:00 AM,,5454,Rutherford,Ward 9,,,,1
Personal Service Shop,STITCH IT,"2A, 5015 - 111 STREET NW",55984742-001,ISSUED,05/13/2020 12:00:00 AM,05/30/2021 12:00:00 AM,,5170,Empire Park,Ward 10,53.485721,-113.513544,"(53.48572086708062, -113.51354403884146)",1
General Contractor,C&M PLUMBING,,344010398-002,ISSUED,06/19/2020 12:00:00 AM,06/26/2021 12:00:00 AM,,2080,Belvedere,Ward 4,,,,1
Alcohol Sales (Consumption On Premises/Minors Allowed),BLUE PLATE DINER,12323 - STONY PLAIN ROAD NW,326392156-002,ISSUED,08/18/2020 12:00:00 AM,08/18/2021 12:00:00 AM,124 Street and Area,1150,Oliver,Ward 6,53.546511,-113.535389,"(53.54651086796111, -113.53538870127355)",1
General Industrial,NOPPS WRAPS,11631 - 145 STREET NW,233181112-002,RENEWAL NOTICE,11/17/2019 12:00:00 AM,11/20/2020 12:00:00 AM,,3230,Huff Bremner Estate Industrial,Ward 2,53.568797,-113.569702,"(53.56879667061745, -113.56970247383661)",1
Minor Retail Store,CANADIAN APPLIANCE SOURCE,17231 - 105 AVENUE NW,344047774-002,ISSUED,07/20/2020 12:00:00 AM,03/27/2021 12:00:00 AM,,4510,Stone Industrial,Ward 1,53.548130,-113.619128,"(53.54813024766625, -113.61912823219261)",1
Rental Accommodation,RIVERBEND,103 - RABBIT HILL COURT NW,139392064-001,ISSUED,06/30/2020 12:00:00 AM,07/13/2021 12:00:00 AM,,5190,Falconer Heights,Ward 9,53.470419,-113.591749,"(53.47041862182628, -113.59174933862437)",1
Participant Recreation Services,THE KORE DANCE STUDIO,"2FL, 12510 - 82 STREET NW",142733480-001,ISSUED,07/20/2020 12:00:00 AM,07/20/2021 12:00:00 AM,,1270,Yellowhead Corridor East,Ward 7,53.581662,-113.467874,"(53.58166208578226, -113.46787396116339)",1
Restaurant or Food Service,CHINA COURT,"1848, 8882 - 170 STREET NW",70465678-001,ISSUED,08/28/2020 12:00:00 AM,08/28/2021 12:00:00 AM,,4520,Summerlea,Ward 1,53.522271,-113.618482,"(53.52227141812298, -113.61848168763852)",1
General Business,FURNITURE SUPERSTORE,3909 - 99 STREET NW,35749084-001,RENEWAL NOTICE,11/18/2019 12:00:00 AM,11/20/2020 12:00:00 AM,,6700,Strathcona Industrial Park,Ward 11,53.475108,-113.485396,"(53.475107750736825, -113.48539630205222)",1
General Business,APPLE STORE,"2127, 8882 - 170 STREET NW",81448189-001,ISSUED,02/11/2020 12:00:00 AM,02/11/2021 12:00:00 AM,,4520,Summerlea,Ward 1,53.522653,-113.621915,"(53.52265302089917, -113.62191533321305)",1
Vehicle Repair,HYDRA STEER INC,11603 - 149 STREET NW,7441018-002,ISSUED,12/16/2019 12:00:00 AM,01/26/2021 12:00:00 AM,,3230,Huff Bremner Estate Industrial,Ward 2,53.568142,-113.577420,"(53.56814150937091, -113.57742032021726)",1
General Contractor,ROYAL NORTH CONTRACTING LTD.,,251278587-002,ISSUED,04/27/2020 12:00:00 AM,05/13/2021 12:00:00 AM,,2630,River Valley Hermitage,Ward 4,,,,1
Vehicle Repair,CAP-IT EDMONTON SOUTH,2910 - PARSONS ROAD NW,163905573-005,ISSUED,06/22/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,6570,Parsons Industrial,Ward 11,53.458966,-113.484372,"(53.458966258935725, -113.48437208073427)",1
Rental Accommodation,MALLEEN PROPERTIES INC,10352 - 145 STREET NW,7266814-002,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,3210,Grovenor,Ward 6,53.545784,-113.571364,"(53.545784310888216, -113.57136430934094)",1
Rental Accommodation,JENA PROPERTIES,13530 - 109A AVENUE NW,59458606-001,ISSUED,10/06/2020 12:00:00 AM,10/06/2021 12:00:00 AM,,3310,North Glenora,Ward 6,53.556050,-113.556786,"(53.55604977955743, -113.5567859895658)",1
Rental Accommodation,AVENUE LIVING,14904 - 96 AVENUE NW,314001298-002,ISSUED,06/30/2020 12:00:00 AM,06/30/2021 12:00:00 AM,,4580,West Jasper Place,Ward 1,53.533297,-113.578536,"(53.53329661175173, -113.57853585487054)",1
General Business,WIDER CONSULTING INC.,,360663402-002,ISSUED,04/27/2020 12:00:00 AM,04/26/2021 12:00:00 AM,,6662,Walker,Ward 12,,,,1
Rental Accommodation,2075236 ALBERTA INC.,11821 - 95 STREET NW,362379155-002,ISSUED,06/30/2020 12:00:00 AM,06/29/2021 12:00:00 AM,,1010,Alberta Avenue,Ward 7,53.571023,-113.486886,"(53.571022556722056, -113.48688622186899)",1
General Contractor,ACC DEVELOPMENT INC,,126816220-002,ISSUED,06/30/2020 12:00:00 AM,07/26/2021 12:00:00 AM,,6370,Kiniski Gardens,Ward 11,,,,1
General Contractor,TRIAD ELECTRIC LTD,16049 - 132 AVENUE NW,115687851-001,ISSUED,09/08/2020 12:00:00 AM,09/28/2021 12:00:00 AM,,4320,Mistatim Industrial,Ward 2,53.591158,-113.599341,"(53.591157982711415, -113.5993414636438)",1
Rental Accommodation,FETT INVESTMENTS INC,6510 - 90 AVENUE NW,7250085-001,ISSUED,12/20/2019 12:00:00 AM,12/31/2020 12:00:00 AM,,6550,Ottewell,Ward 8,53.525544,-113.429509,"(53.52554388504455, -113.4295090276819)",1
General Business,LONG ROAD CONSULTING,,325565836-002,ISSUED,06/30/2020 12:00:00 AM,07/21/2021 12:00:00 AM,,3470,Carlton,Ward 2,,,,1
Vehicle Repair,TOP SPEED AUTO LTD,16718D - 111 AVENUE NW,361427182-002,ISSUED,07/20/2020 12:00:00 AM,07/19/2021 12:00:00 AM,,4600,West Sheffield Industrial,Ward 1,53.560428,-113.610234,"(53.560427623521015, -113.61023379714085)",1
