SUMMONS NUMBER,SUMMONS DATE,VIOLATION TIME,VIOLATION DESCRIPTION,ORIGINAL FINE,VIOLATION ADDRESS NUMBER,VIOLATION STREET,VIOLATION FULL ADDRESS,CITY,STATE,LATITUDE,LONGITUDE,LOCATION,COUNCIL DISTRICT,POLICE DISTRICT,CENSUS TRACT,CENSUS BLOCK GROUP,CENSUS BLOCK
U9519890,04/02/2013,0938A,ALTERNATE PARKING,30,1554,VIRGIL,1554 VIRGIL,Buffalo,NY,,,,,,,,
U9521162,04/04/2013,0920A,ALTERNATE PARKING,30,450,HUNTLEY,450 HUNTLEY,Buffalo,NY,,,,,,,,
U9529948,04/24/2013,0157P,METER OVERTIME,30,90,NORT ST EAST,90 NORT ST EAST,Buffalo,NY,,,,,,,,
U9540586,05/17/2013,0134P,METHOD OF PARKING(ALL),35,0,HIGH,HIGH,Buffalo,NY,,,,,,,,
U9551991,06/19/2013,0917A,NO STANDING,35,849,GRIDER,849 GRIDER,Buffalo,NY,,,,,,,,
U9552454,06/19/2013,0138P,METHOD OF PARKING(ALL),35,0,MAIN,MAIN,Buffalo,NY,,,,,,,,
U9562929,07/15/2013,0145P,METHOD OF PARKING(ALL),35,0,NORTH ST EAST,NORTH ST EAST,Buffalo,NY,,,,,,,,
U9563346,07/16/2013,0304P,NO PARKING,35,301,ENGLEWOOD,301 ENGLEWOOD,Buffalo,NY,,,,,,,,
U9565009,07/19/2013,0951A,ALTERNATE PARKING,30,221,MAYER,221 MAYER,Buffalo,NY,,,,,,,,
U9565297,07/19/2013,1123A,METHOD OF PARKING(ALL),35,0,DELAWARE,DELAWARE,Buffalo,NY,,,,,,,,
U9567539,07/24/2013,0201P,NO STANDING,35,279,RING RD,279 RING RD,Buffalo,NY,,,,,,,,
U9569489,08/09/2013,0928A,ALTERNATE PARKING,30,357,MARINER,357 MARINER,Buffalo,NY,,,,,,,,
U9602274,10/23/2013,1101A,EXPIRED INSPECTION STICKER (ALL),35,995,POTOMAC,995 POTOMAC,Buffalo,NY,,,,,,,,
U9605107,10/28/2013,0930A,ALTERNATE PARKING,30,884,RICKERT,884 RICKERT,Buffalo,NY,,,,,,,,
V8854736,08/13/2009,0113P,EXPIRED INSPECTION STICKER (ALL),35,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
V8854971,10/01/2009,0820A,EXPIRED INSPECTION STICKER (ALL),35,0,DELAWARE,DELAWARE,Buffalo,NY,,,,,,,,
V8890532,08/20/2009,1002A,NO STANDING,35,218,CHIPPEWA WEST,218 CHIPPEWA WEST,Buffalo,NY,,,,,,,,
V8890666,08/24/2009,0121P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
V8890812,08/28/2009,0139P,EXPIRED INSPECTION STICKER (ALL),35,0,PEARL,PEARL,Buffalo,NY,,,,,,,,
V8890838,08/31/2009,1134A,EXPIRED INSPECTION STICKER (ALL),35,737,NORTH ST,737 NORTH ST,Buffalo,NY,,,,,,,,
V8895687,09/11/2009,0132P,EXPIRED INSPECTION STICKER (ALL),35,0,PEARL,PEARL,Buffalo,NY,,,,,,,,
V8895824,09/16/2009,1102A,METHOD OF PARKING(ALL),35,0,GOODRICH,GOODRICH,Buffalo,NY,,,,,,,,
V8902602,09/23/2009,0132P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
V8907747,10/08/2009,0205P,"PARKED MORE THAN 12""FROM CURB",30,0,PEARL,PEARL,Buffalo,NY,,,,,,,,
V8917091,10/30/2009,0955A,METER OVERTIME,30,0,W9   SWAN,W9   SWAN,Buffalo,NY,,,,,,,,
V8917324,11/06/2009,0214P,EXPIRED INSPECTION STICKER (ALL),35,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
V8925198,12/01/2009,0740P,EXPIRED INSPECTION STICKER (ALL),35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
V8925651,11/17/2009,0749P,PARKED IN HANDICAPPED AREA,100,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
V8925709,11/18/2009,0742P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
V8931532,12/02/2009,0721P,PARKED IN HANDICAPPED AREA,100,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
V8931611,12/07/2009,0533P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
V8931840,12/11/2009,0650P,EXPIRED INSPECTION STICKER (ALL),35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
V9003968,12/18/2009,0422P,METER OVERTIME,30,0,EAST NORTH ST,EAST NORTH ST,Buffalo,NY,,,,,,,,
V9004446,12/22/2009,0410P,METER OVERTIME,30,0,HERTEL,HERTEL,Buffalo,NY,,,,,,,,
V9009168,01/06/2010,0708P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
V9010540,01/11/2010,1120A,METER OVERTIME,30,0,MAIN,MAIN,Buffalo,NY,,,,,,,,
V9023306,02/05/2010,0425P,NO PARKING,35,1195,NORWALK,1195 NORWALK,Buffalo,NY,,,,,,,,
V9028506,02/18/2010,0935P,ALTERNATE PARKING,30,443,CAMDEN,443 CAMDEN,Buffalo,NY,,,,,,,,
V9031092,02/24/2010,0748P,PARKING WITHOUT CONSENT (ALL),50,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
V9038193,03/10/2010,0656P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
V9050972,04/12/2010,1111A,NO PARKING,35,0,BEAN ALLEY,BEAN ALLEY,Buffalo,NY,,,,,,,,
V9084098,06/30/2010,1117A,METER OVERTIME,30,256,CHIPPEWA WEST,256 CHIPPEWA WEST,Buffalo,NY,,,,,,,,
W9002747,06/27/2012,0837P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9235709,05/31/2011,0559P,NO STANDING,35,2235,ELLER,2235 ELLER,Buffalo,NY,,,,,,,,
W9239919,06/07/2011,0645P,EXPIRED INSPECTION STICKER (ALL),35,107,LOVEJOY ST,107 LOVEJOY ST,Buffalo,NY,,,,,,,,
W9245751,06/29/2012,0543P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9246524,06/20/2011,1029P,ALTERNATE PARKING,30,1124,ZELMER,1124 ZELMER,Buffalo,NY,,,,,,,,
W9253211,07/08/2011,0429P,VEHICLE PARKED ON UNPAVED PORTION OR,50,38,WARREN SPAHN WA,38 WARREN SPAHN WA,Buffalo,NY,,,,,,,,
W9259784,06/29/2012,0828P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9263952,08/02/2011,0824P,EXPIRED INSPECTION STICKER (ALL),35,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9281478,09/13/2011,0747P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9285783,09/23/2011,0408P,EXPIRED INSPECTION STICKER (ALL),35,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9287567,09/27/2011,0414P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9289392,09/30/2011,0714P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9292706,10/07/2011,0651P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9295582,10/14/2011,0656P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
H2252924,03/25/2019,0414P,METER OVERTIME,40,0,",598 WASHINGTON",",598 WASHINGTON",Buffalo,NY,,,,,,,,
W9298887,10/21/2011,0658P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9304170,11/02/2011,0445P,ALTERNATE PARKING,30,17,ROSETTA PETRUZZ,17 ROSETTA PETRUZZ,Buffalo,NY,,,,,,,,
W9307006,11/09/2011,0421P,ALTERNATE PARKING,30,17,SALLY MAC CUNIN,17 SALLY MAC CUNIN,Buffalo,NY,,,,,,,,
W9307467,11/09/2011,0803P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9310126,11/15/2011,0617P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9321317,12/07/2011,0421P,ALTERNATE PARKING,30,5,ROSETTA PETRUZZ,5 ROSETTA PETRUZZ,Buffalo,NY,,,,,,,,
W9322948,12/09/2011,0601P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9327994,12/22/2011,0438P,LESS THAN 20 FT FROM CROSSWALK,30,1228,PIERCE SOUTH,1228 PIERCE SOUTH,Buffalo,NY,,,,,,,,
W9329474,12/23/2011,0952A,SWITCHED PLATES (ALL),35,331,PULASKI,331 PULASKI,Buffalo,NY,,,,,,,,
W9330075,12/27/2011,0816P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9330739,12/28/2011,0501P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9332065,12/30/2011,0643P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9333538,01/03/2012,0833P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9334162,01/04/2012,0623P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9334803,01/06/2012,0436P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9336121,01/10/2012,0833P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9338534,01/13/2012,0833P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9338574,01/17/2012,0626P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9339240,01/17/2012,0810P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9343981,01/27/2012,0717P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9344309,01/27/2012,0831P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9351079,02/14/2012,0510P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9351112,02/14/2012,0759P,NO STANDING,35,8,PRIME,8 PRIME,Buffalo,NY,,,,,,,,
W9351640,02/15/2012,0831P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9354214,02/21/2012,0629P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9354490,02/22/2012,0415P,EXPIRED INSPECTION STICKER (ALL),35,617,ASH,617 ASH,Buffalo,NY,,,,,,,,
W9357163,02/28/2012,0809P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9357211,02/29/2012,0723P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9359728,03/06/2012,0413P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9360936,03/07/2012,0746P,NO STANDING,35,8,PRIME,8 PRIME,Buffalo,NY,,,,,,,,
W9364730,03/16/2012,0542P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9365261,03/16/2012,0838P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9366480,03/21/2012,0825P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9369744,03/28/2012,0714P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9371581,03/30/2012,0804P,NO STANDING,35,8,PRIME ST,8 PRIME ST,Buffalo,NY,,,,,,,,
W9372459,04/03/2012,0516P,VEHICLE PARKED ON UNPAVED PORTION OR,50,18,WARREN SPAHN WA,18 WARREN SPAHN WA,Buffalo,NY,,,,,,,,
W9375489,04/11/2012,0804P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9378472,04/18/2012,0534P,VEHICLE PARKED ON UNPAVED PORTION OR,50,18,WARREN SPAHN WA,18 WARREN SPAHN WA,Buffalo,NY,,,,,,,,
W9379106,04/19/2012,0437P,NO STANDING,35,40,WARREN SPAHN WA,40 WARREN SPAHN WA,Buffalo,NY,,,,,,,,
W9380181,04/20/2012,0813P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9381435,04/25/2012,0629P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9385371,05/03/2012,0457P,VEHICLE PARKED ON UNPAVED PORTION OR,50,16,WARREN SPAHN WA,16 WARREN SPAHN WA,Buffalo,NY,,,,,,,,
W9385960,05/04/2012,0424P,EXPIRED INSPECTION STICKER (ALL),35,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9389182,05/11/2012,0647P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9390961,05/16/2012,0813P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9393899,05/23/2012,0737P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9397608,06/01/2012,0832P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9398804,06/05/2012,0811P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9399855,06/08/2012,0544P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9401680,06/12/2012,0717P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9402507,06/14/2012,0743P,VEHICLE PARKED ON UNPAVED PORTION OR,50,16,WARREN SPAHN WA,16 WARREN SPAHN WA,Buffalo,NY,,,,,,,,
W9402822,06/15/2012,0530P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9402852,06/15/2012,0814P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9404166,06/19/2012,0736P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9404235,06/20/2012,0808P,VEHICLE PARKED ON UNPAVED PORTION OR,50,10,WARREN SPAHN WA,10 WARREN SPAHN WA,Buffalo,NY,,,,,,,,
W9405414,06/22/2012,0451P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9409003,07/03/2012,0702P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9412590,06/24/2013,0325P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9414198,06/25/2013,0751P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9417726,07/24/2012,0846P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9419983,07/31/2012,0836P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9421484,08/03/2012,0802P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9421947,08/05/2012,0446P,ALTERNATE PARKING,30,16,ROSETTA PETRUZZ,16 ROSETTA PETRUZZ,Buffalo,NY,,,,,,,,
W9422370,08/05/2012,0653P,NO STANDING,35,40,WARREN SPAHN WA,40 WARREN SPAHN WA,Buffalo,NY,,,,,,,,
W9424198,08/10/2012,0429P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9424597,08/13/2012,0415P,NO STANDING,35,0,FRITZ ALLEY,FRITZ ALLEY,Buffalo,NY,,,,,,,,
W9425236,08/14/2012,0554P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9425648,08/15/2012,0838P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9429580,08/24/2012,0513P,NO STANDING,35,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9431049,08/28/2012,0805P,NO INSPECTIONS STICKER (ALL),35,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9433219,09/04/2012,0745P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9435728,09/11/2012,0414P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9436098,09/12/2012,0356P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9438553,09/19/2012,0844P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9439945,09/21/2012,0330P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9443317,09/28/2012,0332P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9444460,10/02/2012,0805P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9444916,10/03/2012,0836P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9450268,10/17/2012,0323P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9450299,10/17/2012,0628P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9451226,10/18/2012,0630P,ALTERNATE PARKING,30,505,FENTON,505 FENTON,Buffalo,NY,,,,,,,,
W9451280,10/18/2012,0940P,ALTERNATE PARKING,30,178,ALTURIA,178 ALTURIA,Buffalo,NY,,,,,,,,
W9451294,10/19/2012,0454P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9453764,10/24/2012,0607P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9455001,10/26/2012,0322P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9455028,10/26/2012,0557P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9458378,11/02/2012,0806P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9462087,11/14/2012,0702P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9464828,11/20/2012,0827P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9465453,11/21/2012,0737P,METER OVERTIME,30,0,ALLEN ST LOT,ALLEN ST,Buffalo,NY,,,,,,,,
W9469309,11/30/2012,0341P,METER OVERTIME,30,0,FOREST ST LOT,FOREST ST,Buffalo,NY,,,,,,,,
W9473820,12/11/2012,0747P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9474272,12/12/2012,0810P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9475303,12/14/2012,0606P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9475314,12/14/2012,0829P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9477406,12/19/2012,0652P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9483289,01/04/2013,0803P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9484421,01/08/2013,0446P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9489768,01/18/2013,0708P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9492618,01/25/2013,0654P,ALTERNATE PARKING,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9493108,01/25/2013,0853P,NO STANDING,35,8,PRIME,8 PRIME,Buffalo,NY,,,,,,,,
W9493693,01/29/2013,0456P,PARKING WITHOUT CONSENT (ALL),50,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9500151,02/13/2013,0600P,METER OVERTIME,30,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9502074,02/15/2013,0840P,NO STANDING,35,8,PRIME ST,8 PRIME ST,Buffalo,NY,,,,,,,,
W9502622,02/20/2013,0808P,EXPIRED INSPECTION STICKER (ALL),35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9512262,03/12/2013,0504P,EXPIRED REGISTRATION STICKER,35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9519387,03/27/2013,0435P,ALTERNATE PARKING,30,7,ANTHONY TAURIEL,7 ANTHONY TAURIEL,Buffalo,NY,,,,,,,,
W9519405,03/27/2013,0634P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9522064,04/02/2013,0544P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9524617,04/09/2013,0731P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9525020,04/10/2013,0752P,METER OVERTIME,30,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9530382,04/22/2013,0829P,NO STANDING,35,8,PRIME ST,8 PRIME ST,Buffalo,NY,,,,,,,,
W9533428,04/30/2013,0801P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9536336,05/07/2013,0737P,NO STANDING,35,125,RING RD,125 RING RD,Buffalo,NY,,,,,,,,
W9536820,05/08/2013,0814P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9541814,05/17/2013,0849P,EXPIRED REGISTRATION STICKER,35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9544189,05/24/2013,0831P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9545680,05/31/2013,0447P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9546567,05/31/2013,0757P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9550481,06/12/2013,0507P,ALTERNATE PARKING,30,15,ROSETTA PETRUZZ,15 ROSETTA PETRUZZ,Buffalo,NY,,,,,,,,
W9553405,06/18/2013,0547P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9553848,06/19/2013,0813P,EXPIRED REGISTRATION STICKER,35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9554572,06/21/2013,0736P,NO STANDING,35,140,RING RD,140 RING RD,Buffalo,NY,,,,,,,,
W9554576,06/21/2013,0806P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9555608,07/30/2013,0828P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9556694,07/31/2013,0706P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9558943,07/02/2013,0622P,ALTERNATE PARKING,30,5006,LINWOOD AVE,5006 LINWOOD AVE,Buffalo,NY,,,,,,,,
W9559002,07/03/2013,0739P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9561477,07/10/2013,0704P,EXPIRED REGISTRATION STICKER,35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9561483,07/10/2013,0808P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9564201,07/16/2013,0757P,EXPIRED INSPECTION STICKER (ALL),35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9566179,07/19/2013,0831P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9569319,07/26/2013,0713P,NO STANDING,35,6,RICHMOND,6 RICHMOND,Buffalo,NY,,,,,,,,
W9569362,08/16/2013,0519P,EXPIRED INSPECTION STICKER (ALL),35,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9573700,08/07/2013,0517P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9576450,08/14/2013,0547P,EXPIRED INSPECTION STICKER (ALL),35,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9576465,08/14/2013,0754P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9578353,10/25/2013,0426P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9579726,08/30/2013,0447P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9584942,09/03/2013,0551P,NO STANDING,35,8,PRIME ST,8 PRIME ST,Buffalo,NY,,,,,,,,
W9584999,09/04/2013,0741P,SWITCHED PLATES (ALL),35,0,UTICA STREET LO,UTICA STREET LO,Buffalo,NY,,,,,,,,
W9587971,09/10/2013,0551P,EXPIRED INSPECTION STICKER (ALL),35,0,BRYANT ST LOT,BRYANT ST,Buffalo,NY,,,,,,,,
W9589356,09/15/2013,0435P,PARKED ON SIDEWALK (ALL),35,15,ROSETTA PETRUZZ,15 ROSETTA PETRUZZ,Buffalo,NY,,,,,,,,
W9590873,09/17/2013,0453P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9593377,09/25/2013,0820P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9597587,10/04/2013,0837P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
W9600880,10/11/2013,0745P,METER OVERTIME,30,296,UTICA STREET LO,296 UTICA STREET LO,Buffalo,NY,,,,,,,,
