Ticket Issue Date,Issue Time,Meter,Violation Description,Location,Department
12/18/2018,1899-12-31T18:44:00.000,MAIN-0527,METER EXP,,Traffic & Parking
11/28/2018,1899-12-31T13:21:00.000,THRD-0326,METER EXP,,Traffic & Parking
10/25/2018,1899-12-31T12:01:00.000,MAIN-0389,METER EXP,,Traffic & Parking
01/26/2019,1899-12-31T17:00:00.000,,NO STOPPIN,,Traffic & Parking
12/11/2018,1899-12-31T08:19:00.000,,STREET CLE,,
03/07/2019,1899-12-31T13:51:00.000,,WRNG DIRCT,,Traffic & Parking
01/28/2019,1899-12-31T13:36:00.000,,RESIDENT P,,Traffic & Parking
02/28/2019,1899-12-31T14:08:00.000,,O/T TIME,,Traffic & Parking
11/19/2018,1899-12-31T09:02:00.000,BOW-0041,METER EXP,,Traffic & Parking
01/31/2019,1899-12-31T15:00:00.000,,HYDRANT WI,"FAYETTE
Cambridge, MA",Police
10/06/2018,1899-12-31T19:41:00.000,,HYDRANT WI,,
11/26/2018,1899-12-31T10:38:00.000,FRST-0205,METER EXP,,Traffic & Parking
01/09/2019,1899-12-31T08:51:00.000,ATH-0007,O/T TIME,,Traffic & Parking
04/04/2019,1899-12-31T11:51:00.000,WIND-0004,O/T TIME,,Traffic & Parking
11/16/2018,1899-12-31T11:16:00.000,MASS-1532,METER EXP,,Traffic & Parking
11/23/2018,1899-12-31T10:36:00.000,,O/T TIME,,Traffic & Parking
04/07/2019,1899-12-31T12:29:00.000,,RESIDENT P,,
11/06/2018,1899-12-31T09:03:00.000,ATH-0011,METER EXP,,Traffic & Parking
12/19/2018,1899-12-31T16:31:00.000,,NO STOPPIN,"PINE
Cambridge, MA",
12/13/2018,1899-12-31T12:19:00.000,,RESIDENT P,,
01/25/2019,1899-12-31T11:37:00.000,,BUS STOP,,Traffic & Parking
01/29/2019,1899-12-31T14:04:00.000,HAMP-0019,METER EXP,"ONE KENDALL S
Cambridge, MA",Traffic & Parking
12/20/2018,1899-12-31T08:27:00.000,LINE-0002,O/T TIME,,Traffic & Parking
12/11/2018,1899-12-31T11:24:00.000,MAIN-0391,METER EXP,,Traffic & Parking
02/21/2019,1899-12-31T17:21:00.000,,RESIDENT P,,Traffic & Parking
03/22/2019,1899-12-31T09:58:00.000,CAMB-0117,METER EXP,,Traffic & Parking
02/19/2019,1899-12-31T10:27:00.000,,BUS STOP,,Traffic & Parking
12/27/2018,1899-12-31T08:00:00.000,,STREET CLE,,
02/07/2019,1899-12-31T08:53:00.000,,RESIDENT P,,Traffic & Parking
12/01/2018,1899-12-31T11:49:00.000,,OTHER,,Traffic & Parking
01/05/2019,1899-12-31T11:20:00.000,LOT9-0000,METER EXP,,Traffic & Parking
12/07/2018,1899-12-31T08:30:00.000,,STREET CLE,,Police
02/28/2019,1899-12-31T14:09:00.000,WIND-0038,METER EXP,,Traffic & Parking
12/07/2018,1899-12-31T14:30:00.000,,NO STOPPIN,,Traffic & Parking
12/15/2018,1899-12-31T12:05:00.000,,NO PARKING,,
09/24/2018,1899-12-31T15:31:00.000,LOT8-0000,METER EXP,,Traffic & Parking
11/15/2018,1899-12-31T09:50:00.000,THRD-0322,METER EXP,,Traffic & Parking
11/15/2018,1899-12-31T11:57:00.000,,STREET CLE,,Police
11/13/2018,1899-12-31T08:38:00.000,ATH-0015,METER EXP,,Traffic & Parking
12/18/2018,1899-12-31T12:05:00.000,,BIKE LANE,"MASS
Cambridge, MA",
12/17/2018,1899-12-31T08:17:00.000,MRKT-0001,METER EXP,,Traffic & Parking
03/01/2019,1899-12-31T16:42:00.000,LOT2-013,METER EXP,,Traffic & Parking
11/17/2018,1899-12-31T11:27:00.000,,RESIDENT P,,
11/15/2018,1899-12-31T13:38:00.000,ATH-0031,METER EXP,,Traffic & Parking
11/20/2018,1899-12-31T10:16:00.000,THDK-0059,METER EXP,,Traffic & Parking
02/16/2019,1899-12-31T15:55:00.000,AMES-0129,METER EXP,,Traffic & Parking
11/20/2018,1899-12-31T10:35:00.000,,METER EXP,,
11/20/2018,1899-12-31T16:02:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
11/21/2018,1899-12-31T09:08:00.000,,LOADING ZN,,Traffic & Parking
12/04/2018,1899-12-31T14:09:00.000,HARV-0385,METER EXP,,Traffic & Parking
02/21/2019,1899-12-31T19:03:00.000,THRD-0324,METER EXP,,Traffic & Parking
03/20/2019,1899-12-31T11:11:00.000,HOV-0014,METER EXP,,Traffic & Parking
02/20/2019,1899-12-31T14:09:00.000,SEC-0213,METER EXP,,Traffic & Parking
03/18/2019,1899-12-31T13:46:00.000,,RESIDENT P,,Traffic & Parking
02/20/2019,1899-12-31T13:46:00.000,,METER EXP,,Traffic & Parking
02/08/2019,1899-12-31T09:32:00.000,,RESIDENT P,,Traffic & Parking
09/29/2018,1899-12-31T14:45:00.000,AMES-0131,METER EXP,,Traffic & Parking
01/31/2019,,,HP RAMP,"CARD MED
Cambridge, MA",Police
12/07/2018,1899-12-31T08:56:00.000,,METER EXP,,Traffic & Parking
12/19/2018,1899-12-31T17:38:00.000,MTA-0324,METER EXP,,Traffic & Parking
12/19/2018,1899-12-31T13:48:00.000,BENT-0004,METER EXP,,Traffic & Parking
04/22/2019,1899-12-31T08:15:00.000,,NO STOPPIN,,Traffic & Parking
11/20/2018,1899-12-31T09:15:00.000,FELT-0014,O/T TIME,,Traffic & Parking
01/17/2019,1899-12-31T08:37:00.000,,O/T TIME,,Traffic & Parking
01/02/2019,1899-12-31T13:29:00.000,WIND-0034,METER EXP,,Traffic & Parking
11/01/2019,,,OBSTRUCT,"164 CHARLES ST
Cambridge, MA
(42.36777598100008, -71.08296700299996)",Police
12/13/2018,1899-12-31T11:03:00.000,LOT9-0000,METER EXP,,Traffic & Parking
11/15/2018,1899-12-31T10:49:00.000,,RESIDENT P,,Traffic & Parking
12/19/2018,1899-12-31T09:22:00.000,,LOADING ZN,,Traffic & Parking
12/06/2018,1899-12-31T08:18:00.000,,STREET CLE,,Police
03/20/2019,1899-12-31T16:12:00.000,,RESIDENT P,,
11/08/2018,1899-12-31T16:20:00.000,,NO STOPPIN,,Police
10/01/2018,1899-12-31T15:59:00.000,ESS-0011,METER EXP,,Traffic & Parking
03/01/2019,1899-12-31T09:30:00.000,,STORAGE,,Traffic & Parking
11/26/2018,1899-12-31T14:39:00.000,,LOADING ZN,,Traffic & Parking
10/29/2018,1899-12-31T08:01:00.000,,STREET CLE,,Police
04/08/2019,1899-12-31T21:53:00.000,,NO STOPPIN,"PINE
Cambridge, MA",
12/14/2018,1899-12-31T08:38:00.000,,STREET CLE,,Police
11/27/2018,1899-12-31T10:46:00.000,CAMB-0115,METER EXP,,Traffic & Parking
01/18/2019,1899-12-31T12:18:00.000,FAR-0004,METER EXP,,Traffic & Parking
02/08/2019,1899-12-31T15:49:00.000,PLY-0000,O/T TIME,,Traffic & Parking
04/10/2019,1899-12-31T14:35:00.000,,OBSTRUCT,"32 PINE ST ( EATON ST
Cambridge, MA",Police
12/18/2018,1899-12-31T09:44:00.000,OSB-0003,O/T TIME,,Traffic & Parking
12/18/2018,1899-12-31T15:42:00.000,LOT2-013,METER EXP,,Traffic & Parking
12/22/2018,1899-12-31T12:46:00.000,OSB-0005,METER EXP,,Traffic & Parking
04/19/2019,1899-12-31T13:41:00.000,MAIN-0462,METER EXP,,Traffic & Parking
02/20/2019,1899-12-31T13:11:00.000,MAIN-0513,METER EXP,,Traffic & Parking
09/28/2018,1899-12-31T13:21:00.000,,OTHER,,Traffic & Parking
11/21/2018,1899-12-31T17:41:00.000,BAD-0098,METER EXP,,Traffic & Parking
01/06/2019,1899-12-31T13:29:00.000,,RESIDENT P,,
02/07/2019,1899-12-31T13:59:00.000,LOT2-011,METER EXP,,Traffic & Parking
12/08/2018,1899-12-31T13:42:00.000,SEL-0008,METER EXP,,Traffic & Parking
12/01/2018,1899-12-31T17:02:00.000,GRE-0313,METER EXP,,Traffic & Parking
11/05/2018,1899-12-31T09:31:00.000,SEL-0004,METER EXP,,Traffic & Parking
11/30/2018,1899-12-31T17:23:00.000,,HHP/VETS,,Traffic & Parking
02/02/2019,1899-12-31T17:09:00.000,,FIRE LANE,,
03/24/2019,1899-12-31T15:00:00.000,,RESIDENT P,"2 POSTED
Cambridge, MA",
11/27/2018,1899-12-31T08:03:00.000,,RESIDENT P,,Traffic & Parking
11/15/2019,10:23,OXF-0077,METER EXP,"35 OXFORD ST
Cambridge, MA
(42.37933701500003, -71.11689803699994)",Traffic & Parking
11/15/2019,10:23,JFK-0045,METER EXP,"63 JFK ST
Cambridge, MA
(42.37187699500004, -71.12111103299998)",Traffic & Parking
11/15/2019,10:16,,STREET CLE,"21 SHERMAN ST
Cambridge, MA
(42.384881015000076, -71.13029298899994)",Police
11/15/2019,10:20,JFK-0033,METER EXP,"57 JFK ST
Cambridge, MA
(42.37212698600007, -71.12089201399993)",Traffic & Parking
11/23/2018,1899-12-31T14:42:00.000,MAIN-0393,METER EXP,,Traffic & Parking
11/15/2019,09:58,ALB-0211,METER EXP,"* 230 ALBANY ST
Cambridge, MA
(42.35860400000007, -71.10052700699998)",Traffic & Parking
11/15/2019,10:06,ALB-0262,METER EXP,"270 ALBANY ST
Cambridge, MA
(42.35767101000005, -71.10191798399995)",Traffic & Parking
11/15/2019,10:21,JFK-0041,METER EXP,"59 JFK ST
Cambridge, MA
(42.37187699500004, -71.12111103299998)",Traffic & Parking
11/15/2019,10:06,MASS-0891,METER EXP,"897 MASS AVE
Cambridge, MA
(42.36831799700008, -71.10812796799996)",Traffic & Parking
11/15/2019,10:10,VAS-0039,METER EXP,"51 VASSAR ST
Cambridge, MA
(42.36161302000005, -71.09245900599996)",Traffic & Parking
11/15/2019,10:18,,STREET CLE,"35 RAYMOND ST
Cambridge, MA
(42.38425199500006, -71.12545101499995)",Police
02/20/2019,1899-12-31T09:04:00.000,HAMP-0022,O/T TIME,"ONE KENDALL
Cambridge, MA",Traffic & Parking
02/11/2019,1899-12-31T14:57:00.000,WIND-0040,METER EXP,,Traffic & Parking
10/11/2018,1899-12-31T12:13:00.000,,HYDRANT WI,,Traffic & Parking
11/30/2018,1899-12-31T14:01:00.000,,LOADING ZN,,Traffic & Parking
03/22/2019,1899-12-31T14:27:00.000,,STORAGE,,Traffic & Parking
02/15/2019,1899-12-31T08:47:00.000,FRST-0209,METER EXP,,Traffic & Parking
11/09/2018,1899-12-31T08:52:00.000,,STREET CLE,,
10/27/2018,1899-12-31T12:57:00.000,LOT8-0000,METER EXP,,Traffic & Parking
11/15/2018,1899-12-31T14:01:00.000,LIND-0000,METER EXP,,Traffic & Parking
02/25/2019,1899-12-31T15:48:00.000,,RESIDENT P,,Traffic & Parking
01/10/2019,1899-12-31T10:06:00.000,OSB-0041,O/T TIME,,Traffic & Parking
03/07/2019,1899-12-31T12:30:00.000,,NO STOPPIN,,Traffic & Parking
12/05/2018,1899-12-31T15:36:00.000,CHU-0000,O/T TIME,,Traffic & Parking
02/13/2019,1899-12-31T13:40:00.000,,BIKE LANE,"HARVARD ST
Cambridge, MA",Police
11/14/2018,1899-12-31T19:15:00.000,MASS-1528,METER EXP,,Traffic & Parking
02/20/2019,1899-12-31T13:15:00.000,MAIN-0527,METER EXP,,Traffic & Parking
12/06/2018,1899-12-31T13:01:00.000,LEE-0007,METER EXP,,Traffic & Parking
02/05/2019,1899-12-31T11:08:00.000,HAMP-0024,METER EXP,"ONE KENDALL
Cambridge, MA",Traffic & Parking
02/25/2019,1899-12-31T08:02:00.000,,O/T TIME,,Traffic & Parking
12/10/2018,1899-12-31T11:16:00.000,,LESS THAN,,Traffic & Parking
11/28/2018,1899-12-31T10:38:00.000,PORT-0021,METER EXP,,Traffic & Parking
01/03/2019,1899-12-31T15:32:00.000,CAMB-0119,METER EXP,,Traffic & Parking
11/21/2019,09:03,,RESIDENT P,,Traffic & Parking
01/07/2019,1899-12-31T13:03:00.000,FRAN-0300,O/T TIME,,Traffic & Parking
11/21/2019,10:13,,STREET CLE,,Police
02/12/2019,1899-12-31T07:59:00.000,,RESIDENT P,,Traffic & Parking
11/21/2019,13:13,,RESIDENT P,,Traffic & Parking
12/27/2018,1899-12-31T11:47:00.000,GARD-0025,METER EXP,,Traffic & Parking
11/21/2019,18:36,,RESIDENT P,,Traffic & Parking
02/20/2019,1899-12-31T15:35:00.000,LOT2-009,METER EXP,,Traffic & Parking
11/22/2019,08:52,,RESIDENT P,,Traffic & Parking
11/22/2019,11:45,,OBSTRUCT,,Police
04/23/2019,1899-12-31T14:46:00.000,,NO STOPPIN,,Traffic & Parking
03/08/2019,1899-12-31T17:22:00.000,,LOADING ZN,,Traffic & Parking
11/01/2018,1899-12-31T19:10:00.000,HAMP-0028,METER EXP,"ONE KENDALL
Cambridge, MA",Traffic & Parking
11/23/2019,12:41,,LOADING ZN,,Traffic & Parking
12/12/2018,1899-12-31T14:10:00.000,,RESIDENT P,,Traffic & Parking
11/23/2019,17:40,,NO PARKING,,Traffic & Parking
01/18/2019,1899-12-31T11:22:00.000,MAIN-0393,METER EXP,,Traffic & Parking
11/25/2019,10:31,,NO PARKING,,Traffic & Parking
09/06/2018,1899-12-31T14:03:00.000,,NO STOPPIN,,Traffic & Parking
02/13/2019,1899-12-31T09:07:00.000,HOV-0010,METER EXP,,Traffic & Parking
11/25/2019,13:53,,RESIDENT P,,Traffic & Parking
11/25/2019,14:28,,RESIDENT P,,Traffic & Parking
11/25/2019,16:39,,RESIDENT P,,Traffic & Parking
11/25/2019,17:27,,RESIDENT P,,Traffic & Parking
02/20/2019,1899-12-31T09:56:00.000,,LOADING ZN,,Traffic & Parking
01/25/2019,1899-12-31T17:45:00.000,LINS-0020,METER EXP,,Traffic & Parking
02/05/2019,1899-12-31T15:25:00.000,,RESIDENT P,,
11/09/2018,1899-12-31T09:32:00.000,,NO STOPPIN,,Traffic & Parking
11/27/2019,09:30,,STREET CLE,,Police
04/16/2019,1899-12-31T13:23:00.000,EDCR-0008,METER EXP,,Traffic & Parking
10/26/2018,1899-12-31T14:04:00.000,,NO STOPPIN,,Traffic & Parking
02/14/2019,1899-12-31T14:49:00.000,BRAT-0214,METER EXP,,Traffic & Parking
09/29/2018,1899-12-31T12:48:00.000,GARD-0003,METER EXP,,Traffic & Parking
11/29/2019,12:05,,RESIDENT P,,Traffic & Parking
01/14/2019,1899-12-31T09:03:00.000,,O/T TIME,,Traffic & Parking
09/27/2018,1899-12-31T17:58:00.000,,NO STAND,,Traffic & Parking
02/22/2019,1899-12-31T14:30:00.000,,RESIDENT P,,Traffic & Parking
12/02/2019,08:17,,SIDEWALK,,Traffic & Parking
12/02/2019,10:09,,RESIDENT P,,Traffic & Parking
03/19/2019,1899-12-31T19:04:00.000,CHU-0000,METER EXP,,Traffic & Parking
12/02/2019,15:12,,RESIDENT P,,Traffic & Parking
12/03/2019,10:19,,SIDEWALK,,Police
01/24/2019,1899-12-31T10:26:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
12/03/2019,16:49,,NO STOPPIN,,Traffic & Parking
12/04/2019,08:19,,RESIDENT P,,Traffic & Parking
12/14/2018,1899-12-31T08:22:00.000,,STREET CLE,,
12/04/2019,13:26,,NO PARKING,,Traffic & Parking
12/14/2018,1899-12-31T08:29:00.000,MAIN-0533,METER EXP,,Traffic & Parking
12/04/2019,14:04,,RESIDENT P,,Traffic & Parking
10/25/2018,1899-12-31T11:52:00.000,APP-0036,METER EXP,,Traffic & Parking
12/04/2019,15:57,CHU-0000,METER EXP,,Traffic & Parking
12/04/2019,18:00,,SIDEWALK,,Police
10/26/2018,1899-12-31T13:08:00.000,,RESIDENT P,,Traffic & Parking
12/11/2018,1899-12-31T08:28:00.000,,STREET CLE,,
12/05/2019,11:43,,DOUBLE STO,,Traffic & Parking
02/13/2019,1899-12-31T10:36:00.000,,NO STOPPIN,,Traffic & Parking
02/06/2019,1899-12-31T14:24:00.000,APP-0012,METER EXP,,Traffic & Parking
01/26/2019,1899-12-31T15:39:00.000,,RESIDENT P,,
11/30/2018,1899-12-31T11:52:00.000,,RESIDENT P,,Traffic & Parking
12/06/2019,09:26,,STORAGE,,Traffic & Parking
12/06/2019,13:38,,RESIDENT P,,Traffic & Parking
12/06/2019,21:45,,HHP/VETS,,Police
12/07/2019,14:49,,NO PARKING,,Traffic & Parking
02/06/2019,1899-12-31T11:55:00.000,,RESIDENT P,,Traffic & Parking
04/08/2019,1899-12-31T14:37:00.000,,RESIDENT P,,Traffic & Parking
09/29/2018,1899-12-31T16:13:00.000,,RESIDENT P,,
12/09/2019,08:25,,RESIDENT P,,Traffic & Parking
12/09/2019,08:55,,NO PARKING,,Police
12/09/2019,10:11,,RESIDENT P,,Traffic & Parking
12/09/2019,12:08,,RESIDENT P,,Traffic & Parking
12/26/2018,1899-12-31T10:43:00.000,,STREET CLE,,Police
01/29/2019,1899-12-31T14:23:00.000,FAR-0002,METER EXP,,Traffic & Parking
12/10/2019,09:16,,STREET CLE,,Police
01/22/2019,1899-12-31T14:47:00.000,,O/T TIME,"6750 QUINCY ST
Cambridge, MA",Traffic & Parking
12/10/2019,09:51,,STREET CLE,,Police
12/10/2019,10:51,CAMB-0345,METER EXP,,Traffic & Parking
12/10/2019,11:21,,RESIDENT P,,Traffic & Parking
12/13/2018,1899-12-31T08:36:00.000,,STREET CLE,,
01/28/2019,1899-12-31T17:49:00.000,,RESIDENT P,,Traffic & Parking
10/01/2018,1899-12-31T15:44:00.000,,NO STOPPIN,,Traffic & Parking
12/10/2019,15:27,CAMB-0360,METER EXP,,Traffic & Parking
03/18/2019,1899-12-31T13:01:00.000,,METER EXP,,Traffic & Parking
12/10/2019,22:26,,HYDRANT WI,,Police
03/31/2019,1899-12-31T11:16:00.000,,RESIDENT P,,
12/11/2019,09:28,,FIRE LANE,,Traffic & Parking
12/08/2018,1899-12-31T13:28:00.000,,O/T TIME,"6900 BOW ST
Cambridge, MA",Traffic & Parking
12/11/2019,12:33,,RESIDENT P,,Traffic & Parking
12/10/2018,1899-12-31T11:25:00.000,BAD-0098,METER EXP,,Traffic & Parking
11/13/2018,1899-12-31T12:52:00.000,BOW-0041,METER EXP,,Traffic & Parking
12/12/2019,11:39,,O/T TIME,,Traffic & Parking
12/12/2019,12:50,,HHP/VETS,,Traffic & Parking
01/02/2019,1899-12-31T16:17:00.000,NOR-0005,METER EXP,,Traffic & Parking
12/12/2019,14:01,,RESIDENT P,,Traffic & Parking
12/12/2019,14:14,,RESIDENT P,,Traffic & Parking
12/06/2018,1899-12-31T10:29:00.000,,RESIDENT P,,Traffic & Parking
02/21/2019,1899-12-31T15:25:00.000,HARV-0391,METER EXP,,Traffic & Parking
11/08/2018,1899-12-31T10:09:00.000,BAD-0088,METER EXP,,Traffic & Parking
04/30/2019,1899-12-31T09:30:00.000,,FT INTR,,Traffic & Parking
12/13/2019,09:39,,STREET CLE,,Police
03/19/2019,1899-12-31T14:54:00.000,CHA-0010,METER EXP,,Traffic & Parking
12/13/2019,10:03,,RESIDENT P,,Traffic & Parking
04/03/2019,1899-12-31T15:26:00.000,BENT-0006,METER EXP,,Traffic & Parking
12/13/2019,13:44,,RESIDENT P,,Traffic & Parking
01/27/2019,1899-12-31T15:04:00.000,,RESIDENT P,,
12/13/2019,16:47,,RESIDENT P,,Traffic & Parking
01/14/2019,1899-12-31T19:04:00.000,,RESIDENT P,,Traffic & Parking
11/09/2018,1899-12-31T16:11:00.000,LOT2-032,METER EXP,,Traffic & Parking
12/03/2018,1899-12-31T08:08:00.000,FRNT-0001,METER EXP,,Traffic & Parking
12/05/2018,1899-12-31T17:19:00.000,LOT2-008,METER EXP,,Traffic & Parking
01/16/2019,1899-12-31T11:26:00.000,PORT-0013,METER EXP,,Traffic & Parking
12/14/2019,16:50,,DOUBLE STO,,Police
11/10/2018,1899-12-31T19:51:00.000,,HYDRANT WI,"104 MT
Cambridge, MA",
10/03/2018,1899-12-31T10:54:00.000,PLY-0000,METER EXP,,Traffic & Parking
12/14/2019,19:06,,LOADING ZN,,Traffic & Parking
12/14/2019,19:39,,RESIDENT P,,Traffic & Parking
12/13/2018,1899-12-31T17:42:00.000,CHU-0000,METER EXP,,Traffic & Parking
12/14/2018,1899-12-31T10:58:00.000,,RESIDENT P,,Traffic & Parking
12/16/2019,15:54,,WRNG DIRCT,,Traffic & Parking
12/16/2019,16:49,,NO STOPPIN,,Traffic & Parking
04/09/2019,1899-12-31T12:29:00.000,BNTT-0002,METER EXP,,Traffic & Parking
01/03/2019,1899-12-31T09:44:00.000,SEC-0179,METER EXP,,Traffic & Parking
12/17/2019,17:24,,NO STOPPIN,,Traffic & Parking
12/18/2019,11:24,,NO PARKING,,Traffic & Parking
12/18/2019,13:29,,RESIDENT P,,Traffic & Parking
01/11/2019,1899-12-31T19:14:00.000,APP-0012,METER EXP,,Traffic & Parking
12/19/2019,09:10,,NO PARKING,,Police
12/19/2019,13:02,,RESIDENT P,,Traffic & Parking
12/19/2019,14:27,,RESIDENT P,,Traffic & Parking
11/24/2018,1899-12-31T14:25:00.000,INM-0009,METER EXP,,Traffic & Parking
12/20/2019,08:24,,LOADING ZN,,Traffic & Parking
12/20/2019,11:27,,NO PARKING,,Traffic & Parking
12/20/2019,12:48,,RESIDENT P,,Traffic & Parking
12/13/2018,1899-12-31T08:45:00.000,,LOADING ZN,,Traffic & Parking
12/21/2019,09:54,,HHP/VETS,,Police
12/21/2019,12:41,,STORAGE,,Traffic & Parking
04/18/2019,1899-12-31T11:26:00.000,LOT11-0000,METER EXP,,Traffic & Parking
12/04/2018,1899-12-31T18:59:00.000,MAIN-0539,METER EXP,,Traffic & Parking
01/25/2019,1899-12-31T14:16:00.000,GRE-0004,METER EXP,,Traffic & Parking
12/20/2018,1899-12-31T08:34:00.000,,STREET CLE,,Police
12/23/2019,12:55,,RESIDENT P,,Traffic & Parking
12/23/2019,13:37,,RESIDENT P,,Traffic & Parking
12/05/2018,1899-12-31T13:38:00.000,,STREET CLE,,Police
12/26/2019,08:08,,RESIDENT P,,Traffic & Parking
11/27/2018,1899-12-31T14:01:00.000,,BIKE LANE,,Traffic & Parking
12/26/2019,11:05,,NO STOPPIN,,Traffic & Parking
12/26/2019,13:57,,RESIDENT P,,Traffic & Parking
12/26/2019,16:47,,LOADING ZN,,Traffic & Parking
02/21/2019,1899-12-31T15:50:00.000,CHA-0021,METER EXP,,Traffic & Parking
12/26/2019,23:45,,BUS STOP,,Police
12/27/2019,13:02,,RESIDENT P,,Traffic & Parking
12/29/2019,09:10,,HHP/VETS,,Police
01/26/2019,1899-12-31T22:54:00.000,,NO PARKING,,
12/30/2019,08:48,,RESIDENT P,,Traffic & Parking
12/30/2019,12:45,,BIKE LANE,,Police
04/03/2019,1899-12-31T10:46:00.000,LOT8-0000,METER EXP,,Traffic & Parking
01/14/2019,1899-12-31T16:46:00.000,PLY-0000,METER EXP,,Traffic & Parking
12/31/2019,13:46,,RESIDENT P,,Traffic & Parking
11/30/2018,1899-12-31T12:36:00.000,,NO STOPPIN,,Traffic & Parking
01/18/2019,1899-12-31T16:49:00.000,GRE-0324,METER EXP,,Traffic & Parking
04/12/2019,1899-12-31T10:55:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
01/02/2020,09:58,,RESIDENT P,,Traffic & Parking
01/02/2020,11:07,,RESIDENT P,,Traffic & Parking
01/02/2020,13:40,,RESIDENT P,,Traffic & Parking
12/31/2018,1899-12-31T13:40:00.000,ATH-0019,METER EXP,,Traffic & Parking
01/28/2019,1899-12-31T08:30:00.000,MAIN-0401,O/T TIME,,Traffic & Parking
09/25/2018,1899-12-31T16:04:00.000,LINS-0018,METER EXP,,Traffic & Parking
01/03/2020,08:55,,RESIDENT P,,Traffic & Parking
01/03/2020,14:42,,RESIDENT P,,Traffic & Parking
01/03/2020,15:58,,RESIDENT P,,Traffic & Parking
04/20/2019,1899-12-31T13:20:00.000,ESS-0017,METER EXP,,Traffic & Parking
01/05/2020,01:25,,NO STOPPIN,,Police
01/06/2020,09:19,,NO PARKING,,Police
01/06/2020,10:15,,NO PARKING,,Police
02/12/2019,1899-12-31T08:08:00.000,OSB-0011,METER EXP,,Traffic & Parking
01/06/2020,14:30,,RESIDENT P,,Traffic & Parking
02/25/2019,1899-12-31T10:39:00.000,SPR-0019,METER EXP,,Traffic & Parking
11/21/2018,1899-12-31T17:44:00.000,NOR-0015,METER EXP,,Traffic & Parking
04/20/2019,1899-12-31T17:37:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
04/09/2019,1899-12-31T19:15:00.000,,NO STOPPIN,,Traffic & Parking
01/08/2020,11:54,,HYDRANT WI,,Traffic & Parking
01/08/2020,14:17,,RESIDENT P,,Traffic & Parking
04/09/2019,1899-12-31T10:13:00.000,,STREET CLE,,Police
01/09/2020,07:39,,NO PARKING,,Police
04/04/2019,1899-12-31T13:55:00.000,,RESIDENT P,"235 OPP
Cambridge, MA",Traffic & Parking
01/23/2019,1899-12-31T13:16:00.000,LOT2-004,METER EXP,,Traffic & Parking
01/09/2020,14:15,,RESIDENT P,,Traffic & Parking
11/08/2018,1899-12-31T09:56:00.000,HAMP-0024,METER EXP,"ONE KENDALL
Cambridge, MA",Traffic & Parking
12/07/2018,1899-12-31T14:11:00.000,EDCR-0005,METER EXP,,Traffic & Parking
04/08/2019,1899-12-31T13:27:00.000,SPR-0027,METER EXP,,Traffic & Parking
01/10/2020,11:10,,RESIDENT P,,Traffic & Parking
12/12/2018,1899-12-31T08:32:00.000,BOW-0047,METER EXP,,Traffic & Parking
01/09/2019,1899-12-31T10:33:00.000,,HYDRANT WI,,Traffic & Parking
01/10/2020,19:08,,RESIDENT P,,Traffic & Parking
01/17/2019,1899-12-31T11:39:00.000,SEC-0196,METER EXP,,Traffic & Parking
01/11/2020,19:55,,NO STOPPIN,,Police
03/02/2019,1899-12-31T20:35:00.000,,HHP/VETS,"78 MT
Cambridge, MA",
01/13/2020,13:25,,RESIDENT P,,Traffic & Parking
02/04/2019,1899-12-31T15:18:00.000,,RESIDENT P,,Traffic & Parking
01/11/2019,1899-12-31T15:30:00.000,,BUS STOP,,Traffic & Parking
01/09/2019,1899-12-31T11:24:00.000,CHA-0009,METER EXP,,Traffic & Parking
01/14/2020,09:25,,RESIDENT P,,Traffic & Parking
01/14/2020,13:17,,RESIDENT P,,Traffic & Parking
01/14/2020,13:58,,RESIDENT P,,Traffic & Parking
01/04/2019,1899-12-31T08:25:00.000,LOT5-0000,METER EXP,"1586 LOT 5 CENTRAL SQUARE
Cambridge, MA",Traffic & Parking
01/23/2019,1899-12-31T08:43:00.000,LEE-0005,METER EXP,,Traffic & Parking
01/15/2020,10:05,,RESIDENT P,,Traffic & Parking
10/05/2018,1899-12-31T14:07:00.000,MAIN-0520,METER EXP,,Traffic & Parking
01/15/2020,10:34,,RESIDENT P,,Traffic & Parking
10/29/2018,1899-12-31T13:46:00.000,,NO PARKING,,Traffic & Parking
01/15/2020,13:42,,RESIDENT P,,Traffic & Parking
01/14/2019,1899-12-31T14:24:00.000,MTA-0344,METER EXP,,Traffic & Parking
01/15/2020,14:28,,RESIDENT P,,Traffic & Parking
01/15/2020,15:28,,NO STOPPIN,,Traffic & Parking
04/25/2019,1899-12-31T15:30:00.000,,NO STOPPIN,,
01/27/2019,1899-12-31T13:01:00.000,,RESIDENT P,,
01/16/2020,10:44,,NO STOPPIN,,Traffic & Parking
12/07/2018,1899-12-31T14:39:00.000,MAIN-0535,METER EXP,,Traffic & Parking
01/16/2020,12:12,,RESIDENT P,,Traffic & Parking
